path,bytes,sha256,git_policy
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/causal_cluster_features.csv,4927746,9E4060774DEC77947E94816B3408B257F6A000E5371DFDF3A79B131CC5657620,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/causal_cluster_features.csv.runmeta,1758,587062A756D1E31B38D1F33975A58C54BFD930D0270DCE6E9D3E27734CAB8789,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/compile.log,22686,7F9B404DF4C09E00D9D655B9FA474233AB9CDCE710DB36349D3C5FFBD805CBC4,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/control_candidates.csv,6506136,D3A3319339208A251C462DA7B7A468A36FA42C3AA51029A5984C66E985BAB383,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/control_candidates.csv.runmeta,2156,077160FCA5D1A89A36274E293A914BA9D7FBBB687C48C43CD383276DC1F2A989,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/control_matches.csv,2640816,0696DD6E985025712876680903A10AC9A087498534002A536E811F15A0A2821D,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/control_matches.csv.runmeta,1830,69A7D510A79F7B64E2C3BA053AC3BE329691FBF367E70F3F8C30335A483B46EF,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/decision_checkpoint_features.csv,63032241,A98540609AF255725D46399B7221A991316293D8A5ED169B1469603C6A63EACF,external_evidence_over_50mb
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/decision_checkpoint_features.csv.runmeta,2313,780624F9BA912356E7ED134586222F89D74E2B55F97A09B9083EBEA84A587334,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/detection_time_continuation.set,1800,74B1CB1985B61569EC20EFEFEF5F0E7D3C5CB02409EA1D3F608262837D0DCCE3,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/detection_time_first_touch.csv,21310163,B2667BEBFE48BBE83588DDA917578EEF3261A4FD3B29BA3E1E416CCACD6C5203,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/detection_time_first_touch.csv.runmeta,2140,9DEE8FB82E585F1374E48D41D96A98ACAD2A02A0A93D3E9B503131751859AB37,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/detection_time_snapshots.csv,3207613,FBD754C6325C2FE72B9410E4BC4647717E980834638E05EDD14FD0A5788A1F5F,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/detection_time_snapshots.csv.runmeta,2926,72C9F1D21B4C8E14A7E5F30FAD9CAEA5A90830C140B16A5C388077746A97F984,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/detector_features.csv,17302866,0DFB009A2C8054921FE82CB06E955B142A0B710CD0DAA5145D2B808B3CD5E35B,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/detector_features.csv.runmeta,2480,019D9D270E0E020DEBC2D60311708A3F716FC8831557420CA0866E6C06F2A302,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/economic_first_touch.csv,257869304,6CF8DDD8451D43A2FB742A155E5A6C4BEF8968A47AC1C36861CBAB020A4525D0,external_evidence_over_50mb
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/economic_first_touch.csv.runmeta,2267,6B544B59D99AA4D933D248EA90929B253D43B0716D6B928C7A4CB06CAAE6F79F,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/episode_context_features.csv,4498724,346C1A721C54740E0EEC492EFAE8AD7F0B551BF7F10D667C13B8B64CC3E19469,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/episode_context_features.csv.runmeta,2431,B270D7B16811EFAC41A00A36248D6917ABDCC9BB0DDEE3409781A15769347496,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/event_response.csv,53934224,C9F822D612A3BE07EF3F90484209D7A81905FB723568D508FAB1C450EB1A2181,external_evidence_over_50mb
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/event_response.csv.runmeta,4485,14103F65166CE62A0F94FEB40AAF6CD4131DF5403824274193273CCFA9B7AB5B,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/events.csv,2709233,5CE9C53057EA9E8E6A30B8559B55C112C391068BACBC2C5E67F99623B5AC9882,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/events.csv.runmeta,3572,27FD78346216CFA7EE6B53457DBD3E8E59F2CCF26F201CBEAC72698C8CAD75D4,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/executed_EA.ex5,361758,E2DA06EEDDC2119C7B52CA539CB0917A76553BAE443F4BD5FC8CE94A6F7878E9,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/matched_control_features.csv,11795295,DF12B69B7141B1BD448854D6C5E5725F0651FF853FA0C4FE5E82D0E098CD1985,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/matched_control_features.csv.runmeta,2245,55E0FB694F2931CB168C035DD011B4C15CB42D8DF545AC291F0C681ACD6A1DD6,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/medium_horizon_entry_comparison.csv,29473086,7AE9ADB85B2C16272E343E7CFC58BE82879A8DC5AC830473C97132160DC60244,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/medium_horizon_entry_comparison.csv.runmeta,2889,CD42FB1D62B5957B15482B84324FD6CE5B3754C84EB6375DF6BCB9DD47BDE3E4,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/medium_horizon_episode_summary.csv,1897313,DCAB6FA8A543DA200B4502E57BA11A4449D2AFABF5F0C0818031A423D3F37708,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/medium_horizon_episode_summary.csv.runmeta,2235,8CED891534DF9EB05F408256ECADDEE647D328EAA28B5A63B7DFC9A41D3E1D07,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/medium_horizon_response.csv,16420253,2A3B0C886ED319439335CBA5CCA55FB243213F3C51F9D547DFA3536ADCBF8777,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/medium_horizon_response.csv.runmeta,2090,18597D07788DEBE42A0B3C3B489DCD2B19B4B3968D2D16B66DDDAA2D15156B07,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/path_class_labels.csv,5475291,2C6556BEEFB480742000FFDE96BD5D626CB95476FB5BA81F9F32744CBE6D467C,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/path_class_labels.csv.runmeta,1908,05730E082D7C2AFBB6221C734F441E57EEEBF35E2190AA3F111C2FC517131D18,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/run_command.txt,113,168EEB50C38BCDFF4C51DB41FBCBF0AF4254DA4909F98D766563FB63D022F2D9,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/source_hashes.txt,520,551AA392511BFEBAF75F7651EEB355F97F5C0CE28BD8BD5BE0C6C015FCF9880B,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/strategy_entry_features.csv,21468289,3FEEAB84ABBE83B3243CCABC8E20B0D41846E54A2FB58A8F77817A9CCF3E238B,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/strategy_entry_features.csv.runmeta,1840,312BF6B766B43B44231FA960B914198D5FF1606D3757032F859AEB18370E8FB4,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/strategy_executable_first_passage.csv,24393253,AD1204FCC1FE008CEF5F8CCFE3C49088FF04CEF33F2990734C45329C187F94E4,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/strategy_executable_first_passage.csv.runmeta,1904,3EA781A320A57AE51328365CAF93ECCA04EC1E6E0C38DA1154230D315641849B,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/strategy_funnel.csv,10512691,8E75CCF4B08F286503B7E930C6C185E647AE0AA0E4DD2CE764752E4398DC890D,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/strategy_funnel.csv.runmeta,2213,CD3359E0A0711F14472F616252403602067A306537BD28991F06C84EF0E4CE4D,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/summary.csv,164967,6DC717FC50A3867A3248248F97B978706D17B78ACBF467602E0A109A09668644,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/summary.csv.runmeta,1861,159CA4E7929D3A78D5E6B8DF66D61B8D8E399BD8D41B94700DD83359EB7F0592,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/symbol_specs.csv,1665,F4DC4E5CE97C2624AFE6FB84513900CA0A144F3E95E2F8AEA314B4EF3FD61E05,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/symbol_specs.csv.runmeta,1822,24ABFA9020F1507758419F6CD92A64601B7C36254E351B9BF7A8DE817D0C1D08,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/tester_config.ini,689,C34C851F1FA9D1A9D8C0BF4C025DCFFFABD13E6766A6EBAFB43A82FC71CE89ED,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/tester_report-holding.png,1233,420B97960777DF5CBF9051CA5847F1E510B4B403B710B00C9FA65D88215F2DFC,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/tester_report-hst.png,11978,5B9668EF6D82EA20EEAB5B71848E8888EE466AA0F86591E14A7DC58584E5F2B9,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/tester_report-mfemae.png,2333,2A4950F6229528D0560066BF71D09891FFA6CFEB50C555BDA8DF0896C35C7512,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/tester_report.html,38214,2843660E780EB0A48C4F2DAC9665ACF2ADA633B40F3C367A7C9099380F677D7E,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/tester_report.html.meta.json,5835,ED09328BBBD37B31E699C0AA51D051957E0343869EE81F32E452C65967D42A70,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/tester_report.png,5715,06AA980FBE864302877DDB986E353149C546CFF30EF6FD8B46241A7E63E5C4E4,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/trades.csv,15,69DFAB285053561A1B3B95776103D8CEEB380E1963FE3C407392E6C216A729C6,commit
reports/backtest/runs/20260902_ts15h_detection_time_continuation_r1_202503/trades.csv.runmeta,1654,33B77EA7DDA4E43863006CA6A90717FA646C9C6F0309B762AC13DAF55B7E01B7,commit
