time,metric,value
2026.08.13 23:57:55,h4_prior_trend_candidates,32721
2026.08.13 23:57:55,h4_impulse_candidates,175
2026.08.13 23:57:55,h4_impulses,40
2026.08.13 23:57:55,h4_structure_breaks,40
2026.08.13 23:57:55,h1_mature,1
2026.08.13 23:57:55,h1_trendline_breaks,1
2026.08.13 23:57:55,m15_pullbacks,0
2026.08.13 23:57:55,m15_continuation_failures,0
2026.08.13 23:57:55,m15_structure_breaks,0
2026.08.13 23:57:55,execution_pass,0
2026.08.13 23:57:55,orders,0
2026.08.13 23:57:55,daily_stops,0
2026.08.13 23:57:55,weekly_stops,0
2026.08.13 23:57:55,hard_stops,0
2026.08.13 23:57:55,total_risk_rejects,0
2026.08.13 23:57:55,currency_risk_rejects,0
2026.08.13 23:57:55,reject_h4_opposite_structure_update,32
2026.08.13 23:57:55,reject_h1_wave1_origin_broken,1
