day_of_week,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
1,19,0.736842,1.009728,-1.022668,0.474887,2.764569,9.022846,15.01,1551.32
2,15,0.666667,1.065241,-1.012683,0.372600,2.103799,5.588993,4.98,1384.47
3,21,0.333333,1.360747,-0.837639,-0.104844,0.812251,-2.201718,-0.51,1370.67
4,32,0.562500,1.189884,-0.840755,0.301480,1.819616,9.647351,11.16,1620.66
5,32,0.375000,0.848020,-0.732258,-0.139654,0.694854,-4.468913,-6.72,1716.53
