exit_reason,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
SL,44,0.000000,0.000000,-1.018910,-1.018910,0.000000,-44.832048,-57.32,993.98
TIMEOUT,34,0.588235,0.505919,-0.249098,0.195029,2.901428,6.630995,12.07,2700.00
TP,41,1.000000,1.360722,0.000000,1.360722,inf,55.789612,69.17,1226.37
