month,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
202501,12,0.416667,1.059549,-0.808036,-0.029876,0.936618,-0.358507,0.54,1773.75
202502,9,0.888889,0.968406,-1.023256,0.747110,7.571170,6.723989,7.33,1706.44
202503,11,0.363636,0.666285,-1.023354,-0.408940,0.372046,-4.498336,-5.81,1267.27
202504,40,0.475000,1.108979,-0.829315,0.091375,1.209868,3.654983,8.27,1506.83
202505,11,0.363636,1.350653,-0.669040,0.065394,1.153596,0.719332,0.01,1529.00
202506,8,0.500000,1.374417,-0.878683,0.247867,1.564179,1.982937,3.09,1169.62
202507,7,0.571429,1.117665,-0.721844,0.329304,2.064463,2.305128,2.38,1852.29
202508,5,0.800000,0.919205,-1.007576,0.533849,3.649175,2.669245,3.77,2087.20
202509,5,0.600000,1.352500,-0.311810,0.686776,6.506376,3.433881,2.53,1635.00
202510,7,0.571429,1.051899,-1.009526,0.168432,1.389299,1.179021,1.74,1576.86
202511,4,0.500000,0.907193,-1.018750,-0.055779,0.890496,-0.223114,0.07,1542.25
