group,trades,wins,losses,winrate,expectancy_r,profit_factor,total_r,avg_win_r,avg_loss_r
0.85-1.1,2,2,0,100.0,1.3706170000000002,inf,2.7412340000000004,1.3706170000000002,0
1.1-1.2,1,0,1,0.0,-1.0,0.0,-1.0,0,-1.0
1.2-1.45,24,13,11,54.166666666666664,0.09551770833333333,1.2125628031205333,2.2924249999999997,1.0059323076923077,-0.9804268181818183
1.45-1.6,18,10,8,55.55555555555556,0.21054588888888892,1.5870779602519127,3.7898260000000006,1.0245231,-0.806925625
1.6-1.8,12,6,6,50.0,0.22916599999999998,1.6275795305326317,2.7499919999999998,1.188649,-0.730317
