group,trades,wins,losses,winrate,expectancy_r,profit_factor,total_r,avg_win_r,avg_loss_r
0-0.25,8,6,2,75.0,0.645159375,3.543506125822185,5.161275,1.198412,-1.0145985
0.25-0.35,18,7,11,38.88888888888889,0.09901105555555559,1.2450603238972728,1.7821990000000005,1.2935271428571429,-0.6611355454545454
0.35-0.40,13,9,4,69.23076923076923,0.3202785384615385,2.014486252630558,4.163621,0.9186431111111111,-1.02604175
0.40-0.48,18,9,9,50.0,-0.02964544444444444,0.9420996648599463,-0.5336179999999999,0.9647254444444443,-1.0240163333333332
