episode_id,direction,score,long_score,short_score,symbol,market_cluster_id,t0_msc,signal_processing_msc,horizon_seconds,entry_msc,entry_bid,entry_ask,atr14_m5,pip_size,status,exit_msc,exit_price,gross_r,gross_pips,mfe,mae,time_to_mfe_ms,month,distance,calendar_segment,entry_eligible_msc,stage1_score
202502:two_stage_dev_202502_20260913_USDJPY_mh_2,1,0.31062142936355,0.31062142936355,-0.35486327674078,USDJPY,202502:17,1738553042750,1738553043241,300,1738553043411,155.811,155.818,0.140875404068,0.01,TIME,1738553343791,155.745,-0.518188398343,-7.300000000001,0.015,0.084,2817,202502,0.140875404068,1,1738553043241,0.49208054312671
202502:two_stage_dev_202502_20260913_USDJPY_mh_6,1,0.38919201924916,0.38919201924916,-0.50035279573345,USDJPY,202502:24,1738603965250,1738603965410,300,1738603965484,154.805,154.809,0.181781894666,0.01,TIME,1738604265524,154.611,-1.089217385283,-19.800000000001,0.055,0.231,25645,202502,0.181781894666,1,1738603965410,0.42399233192687
202502:two_stage_dev_202502_20260913_USDJPY_mh_8,1,0.57187487030201,0.57187487030201,-0.55731049702368,USDJPY,202502:38,1738605985000,1738605985300,300,1738605985301,154.66,154.664,0.179770826538,0.01,TIME,1738606285695,154.681,0.094564843069,1.700000000002,0.076,0.05,141724,202502,0.179770826538,1,1738605985300,0.73447143062735
202502:two_stage_dev_202502_20260913_USDJPY_mh_9,1,0.39961944181558,0.39961944181558,-0.43827595715348,USDJPY,202502:43,1738608815250,1738608816051,300,1738608816051,154.659,154.662,0.139791359728,0.01,TIME,1738609116302,154.71,0.343368861232,4.8,0.079,0.021,235781,202502,0.139791359728,1,1738608816051,0.57060748869006
202502:two_stage_dev_202502_20260913_USDJPY_mh_10,-1,0.47495622827104,-0.51900344009123,0.47495622827104,USDJPY,202502:55,1738609844250,1738609844688,300,1738609844689,154.595,154.601,0.128767207039,0.01,TIME,1738610144834,154.608,-0.100957381145,-1.300000000001,0.017,0.034,95844,202502,0.128767207039,1,1738609844688,0.3980302279506
202502:two_stage_dev_202502_20260913_AUDUSD_mh_2,-1,0.91708311530553,-0.98358110181079,0.91708311530553,AUDUSD,202502:56,1738612507500,1738612507541,300,1738612507637,0.61729,0.61734,0.000601078795,0.0001,TIME,1738612807664,0.61776,-0.78192743448,-4.7,0.00071,0.00217,22014,202502,0.000601078795,1,1738612507541,0.98123544481599
202502:two_stage_dev_202502_20260913_USDJPY_mh_16,1,0.22668263412306,0.22668263412306,-0.47406930605327,USDJPY,202502:85,1738635889750,1738635889950,300,1738635890018,155.349,155.356,0.07431114631,0.01,TIME,1738636190286,155.368,0.1614831771,1.2,0.018,0.035,36012,202502,0.07431114631,1,1738635889950,1.2936486239592
202502:two_stage_dev_202502_20260913_USDJPY_mh_17,-1,0.55575880253542,-0.85594968304101,0.55575880253542,USDJPY,202502:86,1738637700500,1738637700620,300,1738637700666,155.282,155.286,0.078620559412,0.01,TIME,1738638000940,155.313,-0.394298898812,-3.099999999998,0.024,0.061,57858,202502,0.078620559412,1,1738637700620,0.80783600273328
202502:two_stage_dev_202502_20260913_USDJPY_mh_18,-1,0.6874421515028,-0.98675462250282,0.6874421515028,USDJPY,202502:90,1738638937250,1738638937626,300,1738638937626,155.179,155.186,0.082258584945,0.01,TIME,1738639238029,155.212,-0.40117393245,-3.299999999999,0.028,0.062,23758,202502,0.082258584945,1,1738638937626,1.0614619798798
202502:two_stage_dev_202502_20260913_USDJPY_mh_20,1,1.2979351342442,1.2979351342442,-1.602197003058,USDJPY,202502:134,1738653471250,1738653472171,300,1738653472172,155.022,155.029,0.083213021348,0.01,TIME,1738653772557,154.996,-0.396572549168,-3.299999999999,0.032,0.054,50702,202502,0.083213021348,1,1738653472171,0.8002743637696
