month,symbol,horizon,episodes,executable_episodes
202501,AUDUSD,300,317,315
202501,AUDUSD,600,317,314
202501,AUDUSD,900,317,314
202501,EURUSD,300,215,214
202501,EURUSD,600,215,214
202501,EURUSD,900,215,214
202501,GBPUSD,300,186,185
202501,GBPUSD,600,186,185
202501,GBPUSD,900,186,185
202501,USDCAD,300,123,122
202501,USDCAD,600,123,122
202501,USDCAD,900,123,122
202501,USDCHF,300,131,128
202501,USDCHF,600,131,128
202501,USDCHF,900,131,128
202501,USDJPY,300,656,656
202501,USDJPY,600,656,656
202501,USDJPY,900,656,655
202502,AUDUSD,300,132,131
202502,AUDUSD,600,132,131
202502,AUDUSD,900,132,131
202502,EURUSD,300,212,212
202502,EURUSD,600,212,212
202502,EURUSD,900,212,212
202502,GBPUSD,300,142,141
202502,GBPUSD,600,142,141
202502,GBPUSD,900,142,141
202502,USDCAD,300,62,60
202502,USDCAD,600,62,60
202502,USDCAD,900,62,60
202502,USDCHF,300,67,67
202502,USDCHF,600,67,67
202502,USDCHF,900,67,67
202502,USDJPY,300,959,952
202502,USDJPY,600,959,952
202502,USDJPY,900,959,952
202503,AUDUSD,300,754,752
202503,AUDUSD,600,754,752
202503,AUDUSD,900,754,752
202503,EURUSD,300,550,548
202503,EURUSD,600,550,548
202503,EURUSD,900,550,548
202503,GBPUSD,300,517,515
202503,GBPUSD,600,517,515
202503,GBPUSD,900,517,515
202503,USDCAD,300,653,648
202503,USDCAD,600,653,648
202503,USDCAD,900,653,648
202503,USDCHF,300,632,629
202503,USDCHF,600,632,629
202503,USDCHF,900,632,629
202503,USDJPY,300,1126,1126
202503,USDJPY,600,1126,1126
202503,USDJPY,900,1126,1126
202504,AUDUSD,300,565,562
202504,AUDUSD,600,565,562
202504,AUDUSD,900,565,562
202504,EURUSD,300,458,458
202504,EURUSD,600,458,458
202504,EURUSD,900,458,458
202504,GBPUSD,300,501,497
202504,GBPUSD,600,501,497
202504,GBPUSD,900,501,497
202504,USDCAD,300,451,446
202504,USDCAD,600,451,446
202504,USDCAD,900,451,446
202504,USDCHF,300,918,913
202504,USDCHF,600,918,913
202504,USDCHF,900,918,913
202504,USDJPY,300,903,902
202504,USDJPY,600,903,902
202504,USDJPY,900,903,902
202505,AUDUSD,300,258,258
202505,AUDUSD,600,258,258
202505,AUDUSD,900,258,258
202505,EURUSD,300,345,345
202505,EURUSD,600,345,345
202505,EURUSD,900,345,345
202505,GBPUSD,300,154,154
202505,GBPUSD,600,154,154
202505,GBPUSD,900,154,154
202505,USDCAD,300,49,49
202505,USDCAD,600,49,49
202505,USDCAD,900,49,49
202505,USDCHF,300,718,714
202505,USDCHF,600,718,714
202505,USDCHF,900,718,714
202505,USDJPY,300,840,836
202505,USDJPY,600,840,836
202505,USDJPY,900,840,836
202506,AUDUSD,300,292,290
202506,AUDUSD,600,292,290
202506,AUDUSD,900,292,290
202506,EURUSD,300,190,190
202506,EURUSD,600,190,190
202506,EURUSD,900,190,190
202506,GBPUSD,300,72,68
202506,GBPUSD,600,72,68
202506,GBPUSD,900,72,68
202506,USDCAD,300,3,3
202506,USDCAD,600,3,3
202506,USDCAD,900,3,3
202506,USDCHF,300,492,492
202506,USDCHF,600,492,492
202506,USDCHF,900,492,492
202506,USDJPY,300,476,475
202506,USDJPY,600,476,475
202506,USDJPY,900,476,475
