check,status,detail
freeze_hash:frozen_model.json,PASS,
freeze_hash:frozen_model.pkl,PASS,
freeze_hash:input_hashes.csv,PASS,
freeze_hash:rolling_seed.csv,PASS,
freeze_hash:selection.json,PASS,
development_only,PASS,
unique_episode,PASS,
realized_time_exit,PASS,
entry_after_recognition,PASS,
time_exit_not_early,PASS,
single_position,PASS,
all_trades_have_source_label,PASS,
source_label:entry_msc,PASS,
source_label:exit_msc,PASS,
source_label:gross_r,PASS,
source_label:gross_pips,PASS,
source_label:pip_size,PASS,
pooled:trades,PASS,2996 vs 2996
pooled:total_r,PASS,-233.28462570084113 vs -233.28462570084113
pooled:expectancy_r,PASS,-0.07786536238345833 vs -0.07786536238345833
pooled:pf,PASS,0.7827414726365186 vs 0.7827414726365186
pooled:maxdd_r,PASS,264.65495713629497 vs 264.65495713629497
pooled:win_rate,PASS,0.4652870493991989 vs 0.4652870493991989
pooled:top5_removed_total_r,PASS,-261.44416107583834 vs -261.44416107583834
month:202502:trades,PASS,
month:202502:total_r,PASS,
month:202502:expectancy_r,PASS,
month:202502:pf,PASS,
month:202502:maxdd_r,PASS,
month:202502:win_rate,PASS,
month:202502:top5_removed_total_r,PASS,
month:202503:trades,PASS,
month:202503:total_r,PASS,
month:202503:expectancy_r,PASS,
month:202503:pf,PASS,
month:202503:maxdd_r,PASS,
month:202503:win_rate,PASS,
month:202503:top5_removed_total_r,PASS,
month:202504:trades,PASS,
month:202504:total_r,PASS,
month:202504:expectancy_r,PASS,
month:202504:pf,PASS,
month:202504:maxdd_r,PASS,
month:202504:win_rate,PASS,
month:202504:top5_removed_total_r,PASS,
month:202505:trades,PASS,
month:202505:total_r,PASS,
month:202505:expectancy_r,PASS,
month:202505:pf,PASS,
month:202505:maxdd_r,PASS,
month:202505:win_rate,PASS,
month:202505:top5_removed_total_r,PASS,
month:202506:trades,PASS,
month:202506:total_r,PASS,
month:202506:expectancy_r,PASS,
month:202506:pf,PASS,
month:202506:maxdd_r,PASS,
month:202506:win_rate,PASS,
month:202506:top5_removed_total_r,PASS,
