episode_id,direction,score,long_score,short_score,symbol,market_cluster_id,t0_msc,signal_processing_msc,distance_index,distance_atr,atr14_m5,entry_msc,entry_bid,entry_ask,entry_price,entry_spread,pip_size,tick_size,stops_distance,distance,sl,tp,status,exit_msc,exit_price,gross_pips,gross_r,mfe_60,mae_60,mfe_300,mae_300,mfe_900,mae_900,tp_touch_seconds,sl_touch_seconds,entry_eligible_msc,source_quote_msc,calendar_segment
tstech_discovery_r2_202504_USDJPY_mh_1,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,1,1743532556250,1743532556468,3,1,0.112556332048,1743532556762,149.305,149.322,149.305,0.017,0.01,0.001,0,0.113,149.418,149.192,TIME,1743533456871,149.323,-1.8,-0.159292035398,0.004,0.04,0.036,0.042,0.085,0.042,,,1743532556468,1743532555856,0
tstech_discovery_r2_202504_USDJPY_mh_2,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,9,1743534630250,1743534630743,3,1,0.105244161471,1743534630744,149.527,149.546,149.527,0.019,0.01,0.001,0,0.106,149.633,149.421,SL,1743534978409,149.634,-10.7,-1.009433962264,0,0.072,0,0.087,0,0.227,,347.665,1743534630743,1743534630243,0
tstech_discovery_r2_202504_USDJPY_mh_3,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,16,1743537003750,1743537005420,3,1,0.1003975344,1743537005544,149.517,149.535,149.517,0.018,0.01,0.001,0,0.101,149.618,149.416,TIME,1743537905708,149.489,2.799999999999,0.277227722772,0,0.054,0.002,0.063,0.028,0.063,,,1743537005420,1743537003745,0
tstech_discovery_r2_202504_USDJPY_mh_4,-1,-0.34903240873589,-0.57366167947715,-0.34903240873589,USDJPY,17,1743608748750,1743608749830,3,1,0.071768726385,1743608750237,149.195,149.213,149.195,0.018,0.01,0.001,0,0.072,149.267,149.123,TIME,1743609651006,149.173,2.199999999999,0.305555555555,-0,0.037,0.002,0.052,0.026,0.052,,,1743608749830,1743608748531,0
tstech_discovery_r2_202504_USDJPY_mh_5,-1,-0.469716604009,-0.57366167947715,-0.469716604009,USDJPY,20,1743611641000,1743611641378,3,1,0.0628742218,1743611642094,149.299,149.319,149.299,0.02,0.01,0.001,0,0.063,149.362,149.236,SL,1743611797692,149.366,-6.700000000001,-1.063492063492,0.016,0.019,0.016,0.114,0.016,0.27,,155.598,1743611641378,1743611640889,0
tstech_discovery_r2_202504_USDJPY_mh_6,-1,-0.34903240873589,-0.57366167947715,-0.34903240873589,USDJPY,23,1743612672750,1743612673422,3,1,0.074846330816,1743612674215,149.524,149.543,149.524,0.019,0.01,0.001,0,0.075,149.599,149.449,SL,1743613221669,149.599,-7.499999999999,-1,0.001,0.03,0.038,0.05,0.038,0.18,,547.454,1743612673422,1743612672608,0
tstech_discovery_r2_202504_USDJPY_mh_7,-1,-0.14413591156793,-0.57366167947715,-0.14413591156793,USDJPY,27,1743613832250,1743613832623,3,1,0.083614589031,1743613832841,149.547,149.566,149.547,0.019,0.01,0.001,0,0.084,149.631,149.463,SL,1743614221050,149.634,-8.699999999999,-1.035714285714,0.033,0.017,0.033,0.034,0.033,0.114,,388.209,1743613832623,1743613832138,0
tstech_discovery_r2_202504_USDJPY_mh_8,-1,-0.14413591156793,-0.57366167947715,-0.14413591156793,USDJPY,28,1743615070000,1743615072942,3,1,0.086494488693,1743615073033,149.621,149.639,149.621,0.018,0.01,0.001,0,0.087,149.708,149.534,SL,1743615655425,149.71,-8.9,-1.022988505747,0.01,0.025,0.041,0.072,0.044,0.178,,582.392,1743615072942,1743615069816,0
tstech_discovery_r2_202504_USDJPY_mh_9,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,35,1743616261500,1743616261723,3,1,0.092548159396,1743616262547,149.63,149.646,149.63,0.016,0.01,0.001,0,0.093,149.723,149.537,SL,1743616673311,149.723,-9.300000000002,-1,0.005,0.029,0.011,0.045,0.013,0.255,,410.764,1743616261723,1743616261138,0
tstech_discovery_r2_202504_USDJPY_mh_10,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,45,1743617402000,1743617402441,3,1,0.10106762759,1743617402517,149.843,149.859,149.843,0.016,0.01,0.001,0,0.102,149.945,149.741,SL,1743618064555,149.947,-10.400000000001,-1.019607843137,0,0.041,0.032,0.041,0.032,0.218,,662.038,1743617402441,1743617401905,0
tstech_discovery_r2_202504_GBPUSD_mh_1,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,GBPUSD,48,1743617996000,1743617998870,3,1,0.00060944929,1743617999425,1.29659,1.29679,1.29679,0.0002,0.0001,1e-05,0,0.00061,1.29618,1.2974,TIME,1743618899607,1.29658,-2.1,-0.344262295082,0,0.00033,0.00011,0.00043,0.00015,0.00043,,,1743617998870,1743617995500,0
tstech_discovery_r2_202504_USDJPY_mh_11,-1,-0.14413591156793,-0.3462857962514,-0.14413591156793,USDJPY,54,1743618976250,1743618976790,3,1,0.095726011915,1743618978023,149.973,149.989,149.973,0.016,0.01,0.001,0,0.096,150.069,149.877,TP,1743619835823,149.877,9.6,1,0,0.057,0,0.064,0.11,0.067,857.8,,1743618976790,1743618976007,0
tstech_discovery_r2_202504_GBPUSD_mh_2,-1,-0.34903240873589,-0.39150333213076,-0.34903240873589,GBPUSD,55,1743619023500,1743619023869,3,1,0.000555512057,1743619026098,1.29642,1.29662,1.29642,0.0002,0.0001,1e-05,0,0.00056,1.29698,1.29586,COST_DISTANCE_REJECT,0,0,,,0,0.00029,0,0.00089,0,0.00147,,182.863,1743619023869,1743619023287,0
tstech_discovery_r2_202504_GBPUSD_mh_3,1,-0.17652697911591,-0.17652697911591,-0.34903240873589,GBPUSD,61,1743620080000,1743620080153,3,1,0.000551472299,1743620080492,1.29774,1.29794,1.29794,0.0002,0.0001,1e-05,0,0.00056,1.29738,1.2985,COST_DISTANCE_REJECT,0,0,,,0,0.00027,0,0.00071,0,0.00103,,253.802,1743620080153,1743620079884,0
tstech_discovery_r2_202504_USDJPY_mh_12,-1,-0.14413591156793,-0.15050433079167,-0.14413591156793,USDJPY,62,1743620151750,1743620152276,3,1,0.091666144956,1743620152419,149.951,149.969,149.951,0.018,0.01,0.001,0,0.092,150.043,149.859,SL,1743620498007,150.045,-9.399999999999,-1.021739130435,0.024,0.023,0.024,0.075,0.024,0.102,,345.588,1743620152276,1743620151525,0
tstech_discovery_r2_202504_GBPUSD_mh_4,1,-0.39150333213076,-0.39150333213076,-0.469716604009,GBPUSD,66,1743621062750,1743621063329,3,1,0.000529382037,1743621063630,1.29728,1.29748,1.29748,0.0002,0.0001,1e-05,0,0.00053,1.29695,1.29801,COST_DISTANCE_REJECT,0,0,,,0,0.00035,0,0.00047,0,0.0009,,308.34,1743621063329,1743621062729,0
tstech_discovery_r2_202504_USDJPY_mh_13,-1,-0.469716604009,-0.57366167947715,-0.469716604009,USDJPY,68,1743621964250,1743621967461,3,1,0.08777568495,1743621967462,150.076,150.097,150.076,0.021,0.01,0.001,0,0.088,150.164,149.988,SL,1743622164739,150.164,-8.799999999999,-1,0,0.037,0,0.088,0,0.132,,197.277,1743621967461,1743621964145,0
tstech_discovery_r2_202504_GBPUSD_mh_5,1,-0.17652697911591,-0.17652697911591,-0.469716604009,GBPUSD,69,1743622704000,1743622704864,3,1,0.000506610386,1743622704967,1.29661,1.29681,1.29681,0.0002,0.0001,1e-05,0,0.00051,1.2963,1.29732,COST_DISTANCE_REJECT,0,0,,,0,0.00034,0,0.00061,0,0.00061,,116.537,1743622704864,1743622703563,0
tstech_discovery_r2_202504_USDJPY_mh_14,-1,-0.18011448748955,-0.57366167947715,-0.18011448748955,USDJPY,70,1743623009750,1743623015238,3,1,0.083628345307,1743623015671,150.226,150.247,150.226,0.021,0.01,0.001,0,0.084,150.31,150.142,TIME,1743623916840,150.191,3.5,0.416666666667,0,0.027,0.031,0.027,0.066,0.037,,,1743623015238,1743623009743,0
tstech_discovery_r2_202504_USDJPY_mh_15,-1,0.00033540251226757,-0.57366167947715,0.00033540251226757,USDJPY,75,1743637963000,1743637963666,3,1,0.215668975592,1743637963842,149.323,149.361,149.323,0.038,0.01,0.001,0,0.216,149.539,149.107,TIME,1743638876519,149.181,14.2,0.657407407407,0,0.095,0,0.106,0.164,0.106,,,1743637963666,1743637962963,0
