calendar_segment,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,positive_segments,min_segment_trades
0,94,0.63829787234043,0.20277659624284,19.061000046827,2.7095744680853,254.70000000002,1.6819361020704,4.1232995957168,36,58,41,23,30,0.22037359429094,0.33856054301221,14.104547574444,1,0
1,142,0.55633802816901,0.035946394056411,5.1043879560104,0.96619718309861,137.2,1.088968522957,12.974213361568,43,99,56,51,35,0.053548188076352,0.35399141264328,0.14116080387525,1,0
2,63,0.55555555555556,0.063522525207294,4.0019190880595,0.80317460317444,50.59999999999,1.1717690847195,6.809062082148,7,56,24,21,18,0.087841092542063,0.57144518626654,-0.91442990915907,1,0
3,52,0.51923076923077,-0.048073328215197,-2.4998130671902,-0.096153846153769,-4.999999999996,0.89518722218102,10.665066393394,6,46,20,21,11,-0.022304766981615,0.76422207542412,-7.4112026383958,0,0
