feature_a,feature_b,spearman
m1_atr14,m1_atr7,0.992392656005
m1_atr28,m1_atr7,0.97473656700894
m1_atr28,m1_atr14,0.99301189947521
m1_atr14_z64,m1_atr14_pct64,0.98304438058626
m1_ema5_value,quote_mid,0.99997019352883
m1_ema5_slope1_atr,m1_ema5_close_gap_atr,1
m1_ema5_gap_pct64,m1_ema5_close_gap_atr,0.95199953387527
m1_ema5_gap_pct64,m1_ema5_slope1_atr,0.95199953387527
m1_ema5_gap_z64,m1_ema5_close_gap_atr,0.95515925713764
m1_ema5_gap_z64,m1_ema5_slope1_atr,0.95515925713764
m1_ema5_gap_z64,m1_ema5_gap_pct64,0.99144323924823
m1_sma5_value,quote_mid,0.999965412916
m1_sma5_value,m1_ema5_value,0.99999843870707
m1_sma5_price_gap_atr,m1_ema5_price_gap_atr,0.98690388218471
m1_sma5_slope1_atr,m1_ema5_slope3_atr,0.92614580933471
m1_sma5_slope3_atr,m1_ema5_slope3_atr,0.92745103254635
m1_sma5_gap_pct64,m1_ema5_close_gap_atr,0.9281089873871
m1_sma5_gap_pct64,m1_ema5_slope1_atr,0.9281089873871
m1_sma5_gap_pct64,m1_ema5_gap_pct64,0.97208098266659
m1_sma5_gap_pct64,m1_ema5_gap_z64,0.96920305523635
m1_ema10_value,quote_mid,0.9999549440841
m1_ema10_value,m1_ema5_value,0.99999378135441
m1_ema10_value,m1_sma5_value,0.9999928242996
m1_ema10_price_gap_atr,m1_ema5_price_gap_atr,0.95263471884501
m1_ema10_price_gap_atr,m1_sma5_price_gap_atr,0.93561659302124
m1_ema10_close_gap_atr,m1_ema5_close_gap_atr,0.94464485260469
m1_ema10_close_gap_atr,m1_ema5_slope1_atr,0.94464485260469
m1_ema10_close_gap_atr,m1_ema5_slope3_atr,0.91823869639375
m1_ema10_slope1_atr,m1_ema5_close_gap_atr,0.94464485260469
m1_ema10_slope1_atr,m1_ema5_slope1_atr,0.94464485260469
m1_ema10_slope1_atr,m1_ema5_slope3_atr,0.91823869639375
m1_ema10_slope1_atr,m1_ema10_close_gap_atr,1
m1_ema10_slope3_atr,m1_ema5_slope3_atr,0.94462651056037
m1_ema10_slope3_atr,m1_sma5_slope3_atr,0.92476158470763
m1_ema10_slope3_atr,m1_ema10_close_gap_atr,0.90316148675735
m1_ema10_slope3_atr,m1_ema10_slope1_atr,0.90316148675735
m1_ema10_accel_atr,m1_body_atr,0.93512544202217
m1_ema10_accel_atr,m1_ema5_accel_atr,0.98299205083944
m1_ema10_gap_pct64,m1_ema5_close_gap_atr,0.90660140450439
