feature_index,feature,available,missing,unique,source,causal_only
0,quote_mid,3967,0,3723,formal_feature_csv,True
1,quote_spread,3967,0,166,formal_feature_csv,True
2,shock_direction,3967,0,2,formal_feature_csv,True
3,m1_atr7,3967,0,3967,formal_feature_csv,True
4,m1_atr14,3967,0,3967,formal_feature_csv,True
5,m1_atr28,3967,0,3967,formal_feature_csv,True
6,m1_atr14_price,3967,0,3967,formal_feature_csv,True
7,m1_atr7_atr28,3967,0,3967,formal_feature_csv,True
8,m1_atr14_pct64,3967,0,65,formal_feature_csv,True
9,m1_atr14_z64,3967,0,3967,formal_feature_csv,True
10,m1_atr14_change3,3967,0,3964,formal_feature_csv,True
11,m1_spread_atr,3967,0,3967,formal_feature_csv,True
12,m1_tick_volume,3967,0,225,formal_feature_csv,True
13,m1_tick_volume_rel20,3967,0,3759,formal_feature_csv,True
14,m1_tick_volume_pct64,3967,0,129,formal_feature_csv,True
15,m1_body_atr,3967,0,3856,formal_feature_csv,True
16,m1_upper_wick_atr,3967,0,3340,formal_feature_csv,True
17,m1_lower_wick_atr,3967,0,3301,formal_feature_csv,True
18,m1_bar_range_atr,3967,0,3955,formal_feature_csv,True
19,m1_bar_close_location,3954,13,1368,formal_feature_csv,True
20,m1_ema5_value,3967,0,3967,formal_feature_csv,True
21,m1_ema5_price_gap_atr,3967,0,3967,formal_feature_csv,True
22,m1_ema5_close_gap_atr,3967,0,3967,formal_feature_csv,True
23,m1_ema5_slope1_atr,3967,0,3967,formal_feature_csv,True
24,m1_ema5_slope3_atr,3967,0,3967,formal_feature_csv,True
25,m1_ema5_accel_atr,3967,0,3967,formal_feature_csv,True
26,m1_ema5_gap_pct64,3967,0,65,formal_feature_csv,True
27,m1_ema5_gap_z64,3967,0,3967,formal_feature_csv,True
28,m1_ema5_sma_gap_atr,3967,0,3967,formal_feature_csv,True
29,m1_sma5_value,3967,0,3889,formal_feature_csv,True
30,m1_sma5_price_gap_atr,3967,0,3966,formal_feature_csv,True
31,m1_sma5_slope1_atr,3967,0,3932,formal_feature_csv,True
32,m1_sma5_slope3_atr,3967,0,3959,formal_feature_csv,True
33,m1_sma5_gap_pct64,3967,0,70,formal_feature_csv,True
34,m1_ema10_value,3967,0,3967,formal_feature_csv,True
35,m1_ema10_price_gap_atr,3967,0,3967,formal_feature_csv,True
36,m1_ema10_close_gap_atr,3967,0,3967,formal_feature_csv,True
37,m1_ema10_slope1_atr,3967,0,3967,formal_feature_csv,True
38,m1_ema10_slope3_atr,3967,0,3967,formal_feature_csv,True
39,m1_ema10_accel_atr,3967,0,3967,formal_feature_csv,True
40,m1_ema10_gap_pct64,3967,0,65,formal_feature_csv,True
41,m1_ema10_gap_z64,3967,0,3967,formal_feature_csv,True
42,m1_ema10_sma_gap_atr,3967,0,3967,formal_feature_csv,True
43,m1_sma10_value,3967,0,3938,formal_feature_csv,True
44,m1_sma10_price_gap_atr,3967,0,3960,formal_feature_csv,True
45,m1_sma10_slope1_atr,3967,0,3947,formal_feature_csv,True
46,m1_sma10_slope3_atr,3967,0,3963,formal_feature_csv,True
47,m1_sma10_gap_pct64,3967,0,65,formal_feature_csv,True
48,m1_ema20_value,3967,0,3967,formal_feature_csv,True
49,m1_ema20_price_gap_atr,3967,0,3967,formal_feature_csv,True
50,m1_ema20_close_gap_atr,3967,0,3967,formal_feature_csv,True
51,m1_ema20_slope1_atr,3967,0,3967,formal_feature_csv,True
52,m1_ema20_slope3_atr,3967,0,3967,formal_feature_csv,True
53,m1_ema20_accel_atr,3967,0,3967,formal_feature_csv,True
54,m1_ema20_gap_pct64,3967,0,65,formal_feature_csv,True
55,m1_ema20_gap_z64,3967,0,3967,formal_feature_csv,True
56,m1_ema20_sma_gap_atr,3967,0,3967,formal_feature_csv,True
57,m1_sma20_value,3967,0,3958,formal_feature_csv,True
58,m1_sma20_price_gap_atr,3967,0,3967,formal_feature_csv,True
