C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\tools\tick_shock\analyze_technical_discovery.py:400: PerformanceWarning: DataFrame is highly fragmented.  This is usually the result of calling `frame.insert` many times, which has poor performance.  Consider joining all columns at once using pd.concat(axis=1) instead. To get a de-fragmented frame, use `newframe = frame.copy()`
  f["calendar_segment"] = np.minimum(3, ((f.t0_msc-month_start)*4/(month_end-month_start)).astype(int))
episodes=3967 features=486 outcomes=47604
geometry=0 SHALLOW_TREE insufficient executable labels
geometry=0 ELASTICNET_LOGISTIC insufficient executable labels
geometry=0 LIGHTGBM insufficient executable labels
geometry=1 method=SHALLOW_TREE complete
geometry=1 method=ELASTICNET_LOGISTIC complete
geometry=1 method=LIGHTGBM complete
geometry=2 method=SHALLOW_TREE complete
geometry=2 method=ELASTICNET_LOGISTIC complete
geometry=2 method=LIGHTGBM complete
geometry=3 method=SHALLOW_TREE complete
geometry=3 method=ELASTICNET_LOGISTIC complete
geometry=3 method=LIGHTGBM complete
geometry=4 method=SHALLOW_TREE complete
geometry=4 method=ELASTICNET_LOGISTIC complete
geometry=4 method=LIGHTGBM complete
geometry=5 method=SHALLOW_TREE complete
geometry=5 method=ELASTICNET_LOGISTIC complete
geometry=5 method=LIGHTGBM complete
{
  "period_start": "2025-04-01",
  "period_end": "2025-05-01",
  "scope": "DEVELOPMENT_ONLY",
  "episodes": 3967,
  "features": 486,
  "market_clusters": 3746,
  "outcome_rows": 47604,
  "method_geometry_count": 15,
  "threshold_candidates": 165,
  "above_200_positive_candidates": 78,
  "gate_candidates": 41,
  "candidate": {
    "candidate_id": "g3_SHALLOW_TREE_absolute_0",
    "model_key": "g3_SHALLOW_TREE",
    "method": "SHALLOW_TREE",
    "distance_index": 3,
    "distance_atr": 1.0,
    "scope": "DEVELOPMENT_FITTED_SAME_MONTH",
    "threshold_name": "absolute_0",
    "threshold": 0.0,
    "primary_extra_cost_pips": 0.2,
    "threshold_signals": 592,
    "overlap_skips": 106,
    "entry_rejections": 135,
    "trades": 351,
    "win_rate": 0.5726495726495726,
    "expectancy_r": 0.07312676360030322,
    "total_r": 25.667494023706432,
    "expectancy_pips": 1.2464387464387783,
    "total_pips": 437.50000000001114,
    "pf": 1.1937567336947492,
    "maxdd_r": 12.974213361567948,
    "long": 92,
    "short": 259,
    "tp": 141,
    "sl": 116,
    "timeout": 94,
    "gross_expectancy_r": 0.09314273936551568,
    "max_day_profit_share": 0.1530193635074702,
    "top5_removed_total_r": 20.703515081743785,
    "positive_segments": 3,
    "min_segment_trades": 52,
    "individual_gate": true,
    "neighbor_positive_count": 2,
    "candidate_gate": true,
    "complexity": 0
  },
  "best_at_least_200": {
    "minimum_trades": 200,
    "status": "EVALUATED",
    "candidate_id": "g1_LIGHTGBM_train_quantile_target_500",
    "model_key": "g1_LIGHTGBM",
    "method": "LIGHTGBM",
    "distance_index": 1,
    "distance_atr": 0.5,
    "scope": "DEVELOPMENT_FITTED_SAME_MONTH",
    "threshold_name": "train_quantile_target_500",
    "threshold": -0.20935365120462626,
    "primary_extra_cost_pips": 0.2,
    "threshold_signals": 500,
    "overlap_skips": 70,
    "entry_rejections": 173,
    "trades": 257,
    "win_rate": 0.8793774319066148,
    "expectancy_r": 0.7249481270613786,
    "total_r": 186.31166865477428,
    "expectancy_pips": 6.148249027237307,
    "total_pips": 1580.099999999988,
    "pf": 6.926611186015189,
    "maxdd_r": 3.133992551801775,
    "long": 141,
    "short": 116,
    "tp": 221,
    "sl": 29,
    "timeout": 7,
    "gross_expectancy_r": 0.7494628522481945,
    "max_day_profit_share": 0.23928093422224994,
    "top5_removed_total_r": 181.37916596534606,
    "positive_segments": 4,
    "min_segment_trades": 5,
    "individual_gate": false,
    "neighbor_positive_count": 1,
    "candidate_gate": false
  },
  "verdict": "DEVELOPMENT_EA_CANDIDATE_FOUND",
  "commission": "NOT_OBSERVED",
  "primary_extra_cost_pips": 0.2,
  "versions": {
    "python": "3.11.9",
    "numpy": "2.4.4",
    "pandas": "3.0.1",
    "sklearn": "1.9.0",
    "lightgbm": "4.6.0"
  },
  "fixed_seed": 20260909,
  "feature_sha256": "d2551f98888ed5edbd192a3d77de213b5aff5481caad73d981b8a464fca58b85",
  "outcome_sha256": "9a807bb104d4b71fe80f2735c50d3f9e3d0992b766564873a4478d4d511cc873"
}
