model_key,fold,status,scope,threshold_name,threshold,train_episodes,valid_episodes,threshold_signals,overlap_skips,entry_rejections,trades,win_rate,expectancy_r,total_r,expectancy_pips,total_pips,pf,maxdd_r,long,short,tp,sl,timeout,gross_expectancy_r,max_day_profit_share,top5_removed_total_r,positive_segments,min_segment_trades
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,1571,595,158,14,67,77,0.36363636363636,-0.32087996945818,-24.70775764828,-2.8000000000001,-215.60000000001,0.52457297073393,26.31185250714,45,32,28,49,0,-0.29499689174744,,-29.608666191849,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,1571,595,113,5,59,49,0.36734693877551,-0.31493698929022,-15.431912475221,-2.2081632653061,-108.2,0.53135574642087,16.198582935371,49,0,18,31,0,-0.28666522315822,,-20.314319953792,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,1571,595,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,0.038310895255032,1571,595,113,5,59,49,0.36734693877551,-0.31493698929022,-15.431912475221,-2.2081632653061,-108.2,0.53135574642087,16.198582935371,49,0,18,31,0,-0.28666522315822,,-20.314319953792,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_300_per_month,0.038310895255032,1571,595,113,5,59,49,0.36734693877551,-0.31493698929022,-15.431912475221,-2.2081632653061,-108.2,0.53135574642087,16.198582935371,49,0,18,31,0,-0.28666522315822,,-20.314319953792,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_500_per_month,0.038310895255032,1571,595,113,5,59,49,0.36734693877551,-0.31493698929022,-15.431912475221,-2.2081632653061,-108.2,0.53135574642087,16.198582935371,49,0,18,31,0,-0.28666522315822,,-20.314319953792,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_800_per_month,-0.062176590547731,1571,595,158,14,67,77,0.36363636363636,-0.32087996945818,-24.70775764828,-2.8000000000001,-215.60000000001,0.52457297073393,26.31185250714,45,32,28,49,0,-0.29499689174744,,-29.608666191849,0,0
g1_SHALLOW_TREE,1,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_1000_per_month,-0.19624122640448,1571,595,241,37,97,107,0.39252336448598,-0.25305942724835,-27.077358715574,-2.1056074766356,-225.30000000001,0.60186026431237,27.914783114284,76,31,42,63,2,-0.22761326469392,,-31.995577281382,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_-0.1,-0.1,2165,583,44,0,28,16,0.375,-0.29909670455017,-4.7855472728026,-1.7562499999998,-28.099999999997,0.5484225827581,6.6293646318841,4,12,6,10,0,-0.26687235451644,,-9.6351375128319,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0,0,2165,583,31,0,19,12,0.33333333333333,-0.38490671717796,-4.6188806061355,-2.2416666666664,-26.899999999997,0.45572443254542,6.3513267845477,0,12,4,8,0,-0.35120017639225,,-7.4535036674179,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.05,0.05,2165,583,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.1,0.1,2165,583,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.2,0.2,2165,583,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,absolute_0.3,0.3,2165,583,0,0,0,0,,,0,,0,,0,0,0,0,0,0,,,0,0,0
g1_SHALLOW_TREE,2,EXECUTED,PURGED_FORWARD_DIAGNOSTIC,train_fraction_200_per_month,0.00074366935350474,2165,583,31,0,19,12,0.33333333333333,-0.38490671717796,-4.6188806061355,-2.2416666666664,-26.899999999997,0.45572443254542,6.3513267845477,0,12,4,8,0,-0.35120017639225,,-7.4535036674179,0,0
