scenario_id,htf_alignment_mode,entry_pattern,break_even_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
all_first120,h1_confirmed_h4_not_opposite,choch_down,break_even_at_1_0r,5,1,0.2,-61.089999999999996,10.7,-71.78999999999999,0.1490458281097646,-2.7723999999999998,-0.55448,0.14582370520997012,61.089999999999996,0.6109,-1.0,2,0.4,0,0.0,0,0.0,0,0.0,3,0.6,0.4255,0.8157
all_first120,h1_confirmed_h4_not_opposite,choch_down,break_even_at_1_1r,5,1,0.2,-61.089999999999996,10.7,-71.78999999999999,0.1490458281097646,-2.7723999999999998,-0.55448,0.14582370520997012,61.089999999999996,0.6109,-1.0,2,0.4,0,0.0,0,0.0,0,0.0,3,0.6,0.4255,0.8157
all_first120,h1_confirmed_h4_not_opposite,choch_down,no_break_even,5,1,0.2,-61.089999999999996,10.7,-71.78999999999999,0.1490458281097646,-2.7723999999999998,-0.55448,0.14582370520997012,61.089999999999996,0.6109,-1.0,2,0.4,0,0.0,0,0.0,0,0.0,3,0.6,0.09466,0.6491399999999999
all_first120,h1_confirmed_h4_not_opposite,choch_down,time_30min_and_0_5r_break_even,5,1,0.2,-61.089999999999996,10.7,-71.78999999999999,0.1490458281097646,-2.7723999999999998,-0.55448,0.14582370520997012,61.089999999999996,0.6109,-1.0,2,0.4,1,0.2,0,0.0,0,0.0,3,0.6,0.41850000000000004,0.8157
all_first120,h1_confirmed_h4_not_opposite,choch_up,break_even_at_1_0r,5,1,0.2,-68.19000000000001,20.8,-88.99000000000001,0.23373412743004832,-2.965,-0.593,0.2591019265848722,68.19000000000001,0.6819000000000002,-1.0,4,0.8,1,0.2,0,0.0,0,0.0,1,0.2,0.37756,0.8736
all_first120,h1_confirmed_h4_not_opposite,choch_up,break_even_at_1_1r,5,1,0.2,-63.56000000000002,20.8,-84.36000000000001,0.2465623518255097,-2.965,-0.593,0.2591019265848722,63.56000000000002,0.6356000000000002,-1.0,4,0.8,1,0.2,0,0.0,0,0.0,1,0.2,0.38248000000000004,0.8736
all_first120,h1_confirmed_h4_not_opposite,choch_up,no_break_even,5,1,0.2,-63.56000000000002,20.8,-84.36000000000001,0.2465623518255097,-2.965,-0.593,0.2591019265848722,63.56000000000002,0.6356000000000002,-1.0,4,0.8,0,0.0,0,0.0,0,0.0,1,0.2,0.20737999999999998,0.80038
all_first120,h1_confirmed_h4_not_opposite,choch_up,time_30min_and_0_5r_break_even,5,1,0.2,-63.59,20.8,-84.39,0.24647470079393294,-2.965,-0.593,0.2591019265848722,63.59,0.6359,-1.0,4,0.8,1,0.2,0,0.0,0,0.0,1,0.2,0.36332,0.8736
all_first120,h1_confirmed_h4_not_opposite,double_bottom,break_even_at_1_0r,86,33,0.38372093023255816,-66.91999999999996,978.19,-1045.1100000000001,0.9359684626498646,-2.512799999999999,-0.02921860465116278,0.9464245737397687,247.39999999999998,2.4739999999999998,-0.2704931285367824,44,0.5116279069767442,16,0.18604651162790697,2,0.023255813953488372,28,0.32558139534883723,12,0.13953488372093023,0.8169767441860464,0.8519000000000001
all_first120,h1_confirmed_h4_not_opposite,double_bottom,break_even_at_1_1r,85,33,0.38823529411764707,-37.83,1013.5700000000002,-1051.4,0.9640194027011604,-1.1044999999999994,-0.012994117647058816,0.976450947825364,247.39,2.4738999999999995,-0.15291644771413557,44,0.5176470588235295,11,0.12941176470588237,1,0.011764705882352941,29,0.3411764705882353,11,0.12941176470588237,0.8216376470588236,0.8583164705882353
all_first120,h1_confirmed_h4_not_opposite,double_bottom,no_break_even,85,33,0.38823529411764707,-107.30000000000008,1013.5700000000002,-1120.87,0.9042707896544651,-4.4019999999999975,-0.051788235294117614,0.9123100582474761,318.26000000000005,3.1826000000000008,-0.3371457299063661,45,0.5294117647058824,0,0.0,0,0.0,29,0.3411764705882353,11,0.12941176470588237,0.538795294117647,0.5905835294117646
all_first120,h1_confirmed_h4_not_opposite,double_bottom,time_30min_and_0_5r_break_even,82,26,0.3170731707317073,-154.86999999999998,793.41,-948.2800000000003,0.8366832581094189,-6.7574000000000005,-0.08240731707317074,0.842652465788193,261.61999999999995,2.6161999999999996,-0.5919654460668144,41,0.5,32,0.3902439024390244,12,0.14634146341463414,23,0.2804878048780488,6,0.07317073170731707,0.7612426829268293,0.8445378048780487
all_first120,h1_confirmed_h4_not_opposite,double_top,break_even_at_1_0r,86,31,0.36046511627906974,-206.18999999999997,842.7300000000001,-1048.92,0.8034263814208902,-8.2948,-0.09645116279069768,0.8224020725610475,371.77,3.7176999999999993,-0.554617101971649,42,0.4883720930232558,24,0.27906976744186046,6,0.06976744186046512,24,0.27906976744186046,14,0.16279069767441862,0.9167081395348837,0.8698488372093022
all_first120,h1_confirmed_h4_not_opposite,double_top,break_even_at_1_1r,86,32,0.37209302325581395,-167.29000000000008,887.24,-1054.53,0.8413606061468143,-6.776300000000001,-0.07879418604651164,0.8548760847403906,334.71000000000004,3.3471,-0.49980580203758496,42,0.4883720930232558,23,0.26744186046511625,5,0.05813953488372093,25,0.29069767441860467,14,0.16279069767441862,0.9229755813953489,0.8698488372093022
