scenario_id,htf_alignment_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
all_first120,h1_confirmed_h4_not_opposite,2101,756,0.3598286530223703,-5261.209999999994,17376.090000000007,-22637.300000000025,0.767586682157324,-231.30659999999995,-0.11009357448833886,0.7749314888815635,5263.319999999993,52.63319999999994,-0.9995991123473398,873,0.41551642075202283,411,0.19562113279390766,128,0.06092336982389338,438,0.20847215611613518,662,0.3150880533079486,0.6444162779628756,0.7013315088053297
all_first120,h4_bias_h1_reversal_alignment,1394,518,0.3715925394548063,-3562.049999999998,12314.970000000003,-15877.019999999995,0.7756474451754805,-154.7311,-0.11099791965566715,0.7771629428050335,3784.5199999999995,37.8452,-0.9412157948696264,625,0.4483500717360115,276,0.19799139167862267,92,0.06599713055954089,286,0.20516499282639886,391,0.2804878048780488,0.6499079626972741,0.7236050215208026
all_first120,htf_soft_alignment,2585,963,0.3725338491295938,-5732.709999999986,23001.640000000036,-28734.349999999995,0.8004927899882907,-256.6900999999998,-0.09929984526112177,0.8026494430724707,5828.329999999987,58.28329999999987,-0.9835939282779114,1181,0.45686653771760155,488,0.18878143133462283,125,0.048355899419729204,578,0.22359767891682786,701,0.2711798839458414,0.6402357446808505,0.7039322630560918
all_first120,strict_h4_h1_alignment,656,241,0.3673780487804878,-1164.8699999999978,6155.749999999996,-7320.620000000004,0.8408782316251892,-50.2159,-0.07654862804878049,0.8413361083350204,1369.4799999999982,13.694799999999981,-0.8505929257820483,265,0.40396341463414637,137,0.20884146341463414,45,0.06859756097560976,146,0.2225609756097561,200,0.3048780487804878,0.6774623475609753,0.7209964939024399
clean_first120,h1_confirmed_h4_not_opposite,192,36,0.1875,-1697.4499999999998,822.2900000000002,-2519.739999999999,0.32633922547564453,-73.47899999999998,-0.3827031249999999,0.3268379826851724,1697.4499999999998,16.9745,-1.0,93,0.484375,26,0.13541666666666666,10,0.052083333333333336,11,0.057291666666666664,78,0.40625,0.4463203125000001,0.770118229166667
clean_first120,h4_bias_h1_reversal_alignment,108,42,0.3888888888888889,24.100000000000044,1171.7699999999998,-1147.6699999999998,1.0209990676762484,0.9627000000000022,0.008913888888888909,1.01997588866456,160.28999999999996,1.6028999999999995,0.15035248611890978,41,0.37962962962962965,29,0.26851851851851855,10,0.09259259259259259,24,0.2222222222222222,33,0.3055555555555556,0.6887120370370371,0.7386685185185186
clean_first120,htf_soft_alignment,212,64,0.3018867924528302,-1342.2000000000007,1412.9899999999993,-2755.1900000000014,0.5128466639324325,-56.49289999999998,-0.2664759433962263,0.5184511784511785,1346.2800000000007,13.462800000000005,-0.9969694268651396,106,0.5,36,0.16981132075471697,7,0.0330188679245283,28,0.1320754716981132,71,0.33490566037735847,0.46821320754716983,0.807751886792453
clean_first120,strict_h4_h1_alignment,92,33,0.358695652173913,68.67999999999999,949.0499999999997,-880.3699999999997,1.0780126537705739,2.4330000000000007,0.02644565217391305,1.0653092997973346,106.86999999999999,1.0686999999999998,0.642649948535604,31,0.33695652173913043,26,0.2826086956521739,10,0.10869565217391304,14,0.15217391304347827,37,0.40217391304347827,0.7001010869565217,0.7139989130434783
london_first120,h1_confirmed_h4_not_opposite,204,80,0.39215686274509803,438.61000000000007,2685.150000000001,-2246.5400000000004,1.195238010451628,17.511900000000015,0.0858426470588236,1.1844025626121453,276.38,2.7638,1.5869816918735078,89,0.4362745098039216,59,0.28921568627450983,15,0.07352941176470588,70,0.3431372549019608,30,0.14705882352941177,0.7962230392156859,0.7139901960784315
london_first120,h4_bias_h1_reversal_alignment,156,81,0.5192307692307693,1048.7399999999996,2517.1800000000007,-1468.4400000000007,1.714186483615265,42.00089999999998,0.26923653846153833,1.695668232990862,110.75999999999996,1.1075999999999995,9.468580715059588,58,0.3717948717948718,47,0.30128205128205127,9,0.057692307692307696,59,0.3782051282051282,30,0.19230769230769232,0.8903692307692307,0.7352333333333335
london_first120,htf_soft_alignment,456,188,0.41228070175438597,392.73000000000013,5747.599999999999,-5354.870000000002,1.0733407160211168,15.778299999999987,0.03460153508771927,1.0713535019893397,253.21000000000004,2.5321000000000002,1.5510050945855223,204,0.4473684210526316,106,0.2324561403508772,26,0.05701754385964912,137,0.30043859649122806,89,0.19517543859649122,0.750792543859649,0.7612508771929821
london_first120,strict_h4_h1_alignment,104,58,0.5576923076923077,1148.6999999999998,1867.2900000000006,-718.5899999999998,2.598547154844906,47.24529999999999,0.45428173076923073,2.59174233108165,94.47999999999999,0.9448,12.158128704487721,27,0.25961538461538464,38,0.36538461538461536,12,0.11538461538461539,41,0.3942307692307692,24,0.23076923076923078,0.9917644230769233,0.6336644230769232
one_first120,h1_confirmed_h4_not_opposite,1081,361,0.333950046253469,-2929.5999999999963,9031.589999999998,-11961.19,0.7550745368980843,-124.65560000000008,-0.11531507863089739,0.7581199830099771,2931.7099999999964,29.31709999999996,-0.9992802835205392,432,0.3996299722479186,204,0.1887141535615171,60,0.05550416281221091,219,0.20259019426456984,370,0.3422756706753006,0.627664847363552,0.6726328399629982
one_first120,h4_bias_h1_reversal_alignment,798,294,0.3684210526315789,-1726.62,7479.58,-9206.19999999999,0.8124503052290857,-72.2786,-0.09057468671679197,0.8164418281000798,1882.4599999999996,18.824599999999997,-0.9172147084134591,353,0.4423558897243108,156,0.19548872180451127,45,0.05639097744360902,173,0.21679197994987467,227,0.2844611528822055,0.6566478696741852,0.7198908521303258
one_first120,htf_soft_alignment,2068,791,0.38249516441005804,-4371.670000000001,18881.08,-23252.750000000007,0.8119934201331024,-188.17370000000017,-0.09099308510638306,0.8100828031578311,4679.190000000001,46.79190000000001,-0.9342792235408265,863,0.41731141199226307,395,0.19100580270793036,105,0.05077369439071567,401,0.19390715667311412,699,0.3380077369439072,0.6289151837524172,0.699116199226305
one_first120,strict_h4_h1_alignment,465,173,0.3720430107526882,-595.4899999999992,4591.03,-5186.520000000005,0.8851850566468451,-23.55719999999997,-0.050660645161290256,0.89301601271971,787.7199999999995,7.877199999999994,-0.7559665871121714,189,0.4064516129032258,99,0.2129032258064516,32,0.06881720430107527,106,0.22795698924731184,138,0.2967741935483871,0.6847879569892474,0.7067625806451617
