scenario_id,htf_alignment_mode,session_label,break_even_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
all_first120,h1_confirmed_h4_not_opposite,london,break_even_at_1_0r,107,40,0.37383177570093457,-88.61000000000006,1128.04,-1216.65,0.9271688653269222,-2.5697999999999976,-0.02401682242990652,0.953156871072937,429.5799999999999,4.2958,-0.20627124167791813,51,0.4766355140186916,27,0.2523364485981308,4,0.037383177570093455,32,0.29906542056074764,20,0.18691588785046728,0.8242102803738318,0.8413822429906542
all_first120,h1_confirmed_h4_not_opposite,london,break_even_at_1_1r,107,42,0.3925233644859813,-30.44000000000002,1186.7000000000003,-1217.1400000000003,0.9749905516210131,-0.5158999999999874,-0.0048214953271026855,0.9905948111943441,411.05999999999995,4.1106,-0.07405244976402477,51,0.4766355140186916,22,0.205607476635514,2,0.018691588785046728,33,0.308411214953271,21,0.19626168224299065,0.832056074766355,0.8429588785046729
all_first120,h1_confirmed_h4_not_opposite,london,no_break_even,107,43,0.40186915887850466,-46.46,1208.3100000000004,-1254.7700000000002,0.962973293910438,-0.6725999999999881,-0.0062859813084111035,0.9880986506141772,399.46000000000004,3.9946,-0.11630701446953386,52,0.48598130841121495,0,0.0,0,0.0,34,0.3177570093457944,21,0.19626168224299065,0.5218878504672897,0.528173831775701
all_first120,h1_confirmed_h4_not_opposite,london,time_30min_and_0_5r_break_even,102,29,0.28431372549019607,-171.3799999999998,858.13,-1029.5100000000002,0.833532457188371,-6.898799999999997,-0.06763529411764703,0.8535522930482552,374.18999999999994,3.7418999999999993,-0.45800261899035205,45,0.4411764705882353,48,0.47058823529411764,25,0.24509803921568626,26,0.2549019607843137,6,0.058823529411764705,0.7306186274509805,0.8045176470588237
all_first120,h1_confirmed_h4_not_opposite,london_newyork_overlap,break_even_at_1_0r,156,57,0.36538461538461536,-640.5299999999999,1276.64,-1917.1699999999992,0.6658981728276577,-30.198700000000002,-0.19358141025641026,0.6564054135543659,673.7299999999998,6.737299999999998,-0.9507220993573094,75,0.4807692307692308,25,0.16025641025641027,3,0.019230769230769232,31,0.1987179487179487,47,0.30128205128205127,0.7377782051282052,0.823473076923077
all_first120,h1_confirmed_h4_not_opposite,london_newyork_overlap,break_even_at_1_1r,155,56,0.36129032258064514,-657.68,1270.01,-1927.689999999999,0.6588248110432697,-30.465000000000003,-0.19654838709677422,0.6533755070229432,690.8799999999999,6.9087999999999985,-0.9519453450671608,75,0.4838709677419355,21,0.13548387096774195,3,0.01935483870967742,31,0.2,46,0.2967741935483871,0.7403903225806452,0.8268083870967743
all_first120,h1_confirmed_h4_not_opposite,london_newyork_overlap,no_break_even,155,58,0.3741935483870968,-584.8999999999999,1336.4800000000002,-1921.3799999999992,0.6955833827769629,-27.456100000000003,-0.1771361290322581,0.6878303629800177,618.0999999999998,6.180999999999997,-0.9462870085746644,75,0.4838709677419355,0,0.0,0,0.0,33,0.2129032258064516,47,0.3032258064516129,0.39029935483870976,0.5674354838709679
all_first120,h1_confirmed_h4_not_opposite,london_newyork_overlap,time_30min_and_0_5r_break_even,155,47,0.3032258064516129,-697.6300000000001,1135.5999999999997,-1833.23,0.6194530964472541,-32.31850000000001,-0.20850645161290327,0.6152573264619294,697.6300000000001,6.9763,-1.0,75,0.4838709677419355,55,0.3548387096774194,20,0.12903225806451613,28,0.18064516129032257,32,0.2064516129032258,0.6781425806451614,0.8135632258064518
all_first120,h1_confirmed_h4_not_opposite,new_york,break_even_at_1_0r,197,72,0.36548223350253806,-645.9300000000003,1278.6699999999998,-1924.6,0.664382209290242,-28.574799999999986,-0.14504974619289332,0.6729434494377905,761.5600000000002,7.6156000000000015,-0.8481669205315407,69,0.350253807106599,35,0.17766497461928935,8,0.04060913705583756,29,0.14720812182741116,91,0.4619289340101523,0.6501030456852793,0.6945715736040607
all_first120,h1_confirmed_h4_not_opposite,new_york,break_even_at_1_1r,198,73,0.3686868686868687,-617.2200000000001,1322.9700000000003,-1940.1899999999994,0.6818765172483111,-27.081199999999985,-0.1367737373737373,0.6906794470854567,767.1100000000001,7.671100000000002,-0.8046042940386646,69,0.3484848484848485,30,0.15151515151515152,7,0.03535353535353535,30,0.15151515151515152,92,0.46464646464646464,0.6551227272727275,0.6949368686868685
all_first120,h1_confirmed_h4_not_opposite,new_york,no_break_even,198,75,0.3787878787878788,-701.35,1384.23,-2085.5799999999995,0.6637146501213094,-30.530399999999982,-0.1541939393939393,0.67531593270737,791.45,7.9145,-0.8861583170130772,73,0.3686868686868687,0,0.0,0,0.0,32,0.16161616161616163,93,0.4696969696969697,0.320710606060606,0.4749045454545455
all_first120,h1_confirmed_h4_not_opposite,new_york,time_30min_and_0_5r_break_even,198,58,0.29292929292929293,-587.9399999999998,1190.7699999999998,-1778.7099999999998,0.6694570784444906,-26.445300000000003,-0.13356212121212122,0.6747031523114941,676.2399999999998,6.762399999999998,-0.8694250561930675,64,0.32323232323232326,75,0.3787878787878788,35,0.17676767676767677,29,0.14646464646464646,70,0.35353535353535354,0.6326621212121215,0.6807287878787878
all_first120,h1_confirmed_h4_not_opposite,tokyo,break_even_at_1_0r,67,28,0.417910447761194,66.19000000000001,724.5100000000001,-658.32,1.1005438084821972,3.7478000000000002,0.055937313432835825,1.1264525271610772,187.32,1.8731999999999998,0.35335255178304514,25,0.373134328358209,21,0.31343283582089554,3,0.04477611940298507,18,0.26865671641791045,21,0.31343283582089554,0.8675044776119403,0.761420895522388
all_first120,h1_confirmed_h4_not_opposite,tokyo,break_even_at_1_1r,67,30,0.44776119402985076,88.9,775.9000000000002,-687.0,1.1294032023289668,4.9631,0.07407611940298507,1.1621551862149633,164.86999999999998,1.6486999999999998,0.539212713046643,26,0.3880597014925373,18,0.26865671641791045,0,0.0,19,0.2835820895522388,22,0.3283582089552239,0.8759940298507461,0.7717880597014923
