path,bytes,sha256
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,177882,00779DDC4776BEF51969F3A9F6EC9C72C90C21E8CC64FE44F487B627D18AE14A
mql/Include/TickShock/TickShockStateConditionedResponse.mqh,19125,BE08000B024F44AD4F24379912EBCFF87CC16BADBEABE9C34035DA7BB90BFFC7
mql/Experts/tests/ExpectedValue_TickShock_StateConditionedResponseHarness.mq5,481,E62AEDFC9500E6C77BFCE20BA73CFCA32F107B1DFBC248DC0F5EE0C3EDB2D046
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.ex5,265686,99727C0466F2613F9ECDB5B15F90421F781783C1AA73D72C762C36C25546759B
tests/tick_shock/spec/test_cases.csv,65583,A246F4F6D128F985D3FD1D38F6CC5FF842A42A3042E363A45F9A095160334F86
tests/tick_shock/expected/TS15D-CLASS-001_expected.csv,110,C87D1B1E332CFA5E4C9A615859144BD541E3630219E90F8DA26F9D0BB65F01B7
tests/tick_shock/expected/TS15D-CLASS-002_expected.csv,110,C80BEF81E6746433BE457F3D2C3D59F1009BAD5F5EA10C7A7A4227D8DC7E8B36
tests/tick_shock/expected/TS15D-CLASS-003_expected.csv,113,F53FA1E3416870450DD31A6B83ED080F8EB6E2BD4856A2EFF3C60240EB22CB18
tests/tick_shock/expected/TS15D-CLASS-004_expected.csv,109,8D0464D107BC7906EF7A02D2519C70A055C2F7122E769A7E1136F107C81B65E6
tests/tick_shock/expected/TS15D-CLASS-005_expected.csv,107,3EAC0EA89E47CBC1B20DE4063AFBA91AEAB081F1D7EDD972FA1ACE44F5D34F3A
tests/tick_shock/expected/TS15D-CLASS-006_expected.csv,109,8D0464D107BC7906EF7A02D2519C70A055C2F7122E769A7E1136F107C81B65E6
tests/tick_shock/expected/TS15D-CLASS-007_expected.csv,99,C729A557ACD11A5168BFE2C976DEDDAE79EB84D5510DEDC078A894BD8EF9DEF6
tests/tick_shock/expected/TS15D-CLOCK-001_expected.csv,101,425A4390E0FC6F4687FFE3E5D665621F8140A21DA7C95E39BA77D629515B77F7
tests/tick_shock/expected/TS15D-CLOCK-002_expected.csv,101,C833F6994C535E4F37B22A1A321F655A69F9EF677243D47BBA53DB22618F892A
