direction,session,require_same_zone_24,require_same_zone_48,max_zone_range_pips_24,max_prior_touches,min_breakout_body_pips,min_body_to_range,min_body_vs_avg,max_retest_delay_bars,min_retest_close_location,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
buy,all,False,True,40.0,2,4.0,0.6,1.0,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,False,True,40.0,2,4.0,0.6,1.3,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,False,True,40.0,2,4.0,0.6,1.6,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,False,True,40.0,3,4.0,0.6,1.0,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,False,True,40.0,3,4.0,0.6,1.3,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,False,True,40.0,3,4.0,0.6,1.6,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,True,True,40.0,2,4.0,0.6,1.0,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,True,True,40.0,2,4.0,0.6,1.3,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,True,True,40.0,2,4.0,0.6,1.6,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,True,True,40.0,3,4.0,0.6,1.0,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,True,True,40.0,3,4.0,0.6,1.3,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
buy,all,True,True,40.0,3,4.0,0.6,1.6,24,0.6,10,0.02506265664160401,-0.05799999999999987,0.5,4,0.044444444444444446,0.46,0.75,2.228444444444445
