period_id,scenario_key,variant,session_label,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,london,71,19,0.2676056338028169,-243.44000000000003,373.44,-616.88,0.6053689534431332,-10.965100000000001,-0.1544380281690141,0.6039135083587396,258.61,2.5861,-0.9413402420633387,6,0.08450704225352113,10,0.14084507042253522,55,0.7746478873239436,0.6577253521126762,0.5834943661971831,0.5633802816901409,0.4225352112676056,0.323943661971831,0.1267605633802817,0.0
full2025_validation,all,base,london_newyork_overlap,126,21,0.16666666666666666,-704.7800000000005,573.9399999999999,-1278.7199999999998,0.4488394644644645,-31.022499999999983,-0.24621031746031732,0.4514398984308415,704.7800000000005,7.047800000000006,-1.0,16,0.12698412698412698,19,0.15079365079365079,91,0.7222222222222222,0.5330388888888888,0.6092365079365079,0.42063492063492064,0.2698412698412698,0.2222222222222222,0.1111111111111111,0.0
full2025_validation,all,base,new_york,76,22,0.2894736842105263,-186.62999999999997,381.99000000000007,-568.6200000000001,0.671784319932468,-8.086400000000003,-0.10640000000000004,0.6793032746251254,188.44999999999996,1.8844999999999996,-0.9903422658530114,7,0.09210526315789473,10,0.13157894736842105,59,0.7763157894736842,0.5561328947368421,0.48657500000000004,0.4605263157894737,0.25,0.15789473684210525,0.11842105263157894,0.0
full2025_validation,all,base,tokyo,40,13,0.325,-17.169999999999995,282.99,-300.16,0.9427971748400853,-0.5675999999999992,-0.01418999999999998,0.956660176383003,64.45,0.6445000000000001,-0.26640806826997665,4,0.1,9,0.225,27,0.675,0.7742225000000003,0.5981974999999999,0.675,0.425,0.35,0.175,0.025
full2025_validation,all,expanded,london,62,19,0.3064516129032258,-163.54000000000005,374.9100000000001,-538.4499999999999,0.6962763487789027,-7.115200000000001,-0.11476129032258066,0.7014058500146881,183.52000000000004,1.8352000000000004,-0.8911290322580646,4,0.06451612903225806,10,0.16129032258064516,48,0.7741935483870968,0.6884177419354841,0.5752612903225807,0.5967741935483871,0.43548387096774194,0.3225806451612903,0.14516129032258066,0.0
full2025_validation,all,expanded,london_newyork_overlap,117,21,0.1794871794871795,-594.3900000000003,597.7899999999998,-1192.1799999999996,0.5014259591672399,-26.244199999999985,-0.22430940170940158,0.49974171436849657,594.3900000000003,5.943900000000004,-1.0,15,0.1282051282051282,19,0.1623931623931624,83,0.7094017094017094,0.5398888888888888,0.6055008547008547,0.41025641025641024,0.28205128205128205,0.23931623931623933,0.13675213675213677,0.0
full2025_validation,all,expanded,new_york,64,19,0.296875,-104.26999999999998,382.42,-486.68999999999994,0.7857568472744458,-4.4339,-0.0692796875,0.7921391770700997,138.67999999999998,1.3867999999999998,-0.7518748197288722,7,0.109375,11,0.171875,46,0.71875,0.588303125,0.47269687500000007,0.484375,0.28125,0.203125,0.15625,0.0
full2025_validation,all,expanded,tokyo,37,11,0.2972972972972973,-62.50999999999998,228.63000000000002,-291.14,0.7852922992374803,-2.6998999999999986,-0.07297027027027023,0.7873876853536189,83.07999999999998,0.8307999999999998,-0.7524073182474722,4,0.10810810810810811,7,0.1891891891891892,26,0.7027027027027027,0.7743783783783786,0.562381081081081,0.6756756756756757,0.43243243243243246,0.32432432432432434,0.16216216216216217,0.02702702702702703
full2025_validation,all,expanded_fixed_exit,london,63,24,0.38095238095238093,-291.29,503.28,-794.5699999999998,0.6333991970499768,-12.5542,-0.19927301587301588,0.6452593685186128,339.55,3.3954999999999997,-0.8578707112354588,32,0.5079365079365079,14,0.2222222222222222,17,0.2698412698412698,0.7646460317460317,0.7834666666666668,0.6825396825396826,0.47619047619047616,0.36507936507936506,0.19047619047619047,0.0
full2025_validation,all,expanded_fixed_exit,london_newyork_overlap,119,45,0.37815126050420167,-698.8800000000001,883.5899999999998,-1582.4700000000005,0.5583612959487381,-30.408499999999997,-0.2555336134453781,0.5660385974977131,698.8800000000001,6.9888,-1.0,67,0.5630252100840336,23,0.19327731092436976,29,0.24369747899159663,0.643676470588235,0.8045201680672271,0.5294117647058824,0.35294117647058826,0.31092436974789917,0.15966386554621848,0.0
