period_id,scenario_key,variant,m5_pattern_quality_group,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,unknown,313,75,0.23961661341853036,-1152.02,1612.3600000000001,-2764.379999999999,0.583262793103698,-50.64159999999998,-0.1617942492012779,0.5867604314398138,1167.19,11.6719,-0.9870029729521328,33,0.10543130990415335,48,0.15335463258785942,232,0.7412140575079872,0.5977520766773162,0.5722028753993612,0.4952076677316294,0.3194888178913738,0.24600638977635783,0.12460063897763578,0.003194888178913738
full2025_validation,all,expanded,high_quality,278,69,0.24820143884892087,-945.9200000000004,1551.9600000000003,-2497.8800000000015,0.6213108716191328,-41.31759999999997,-0.14862446043165456,0.6238437896024823,961.0900000000004,9.610900000000004,-0.9842158382669678,30,0.1079136690647482,46,0.16546762589928057,202,0.7266187050359713,0.6113661870503598,0.5620528776978416,0.5,0.33093525179856115,0.2589928057553957,0.14388489208633093,0.0035971223021582736
full2025_validation,all,expanded,low_quality,2,1,0.5,21.21,31.79,-10.58,3.0047258979206046,0.8244,0.4122,2.722884012539185,10.579999999999998,0.10579999999999999,2.0047258979206055,0,0.0,1,0.5,1,0.5,1.09625,0.6598999999999999,1.0,1.0,0.5,0.5,0.0
full2025_validation,all,expanded_fixed_exit,high_quality,279,113,0.4050179211469534,-1099.2299999999987,2266.73,-3365.9600000000023,0.673427491711131,-47.38279999999997,-0.16983082437275973,0.6819412653129721,1135.1099999999988,11.351099999999988,-0.9683907286518486,137,0.4910394265232975,60,0.21505376344086022,82,0.2939068100358423,0.7188906810035841,0.7590691756272396,0.6164874551971327,0.4157706093189964,0.34050179211469533,0.1863799283154122,0.0035842293906810036
full2025_validation,all,expanded_fixed_exit,low_quality,2,1,0.5,9.7,31.79,-22.09,1.439112720688094,0.30289999999999995,0.15144999999999997,1.3029,22.09,0.2209,0.43911272068809415,1,0.5,1,0.5,0,0.0,1.09625,0.91145,1.0,1.0,0.5,0.5,0.0
full2025_validation,all,expanded_short_hold,high_quality,281,99,0.35231316725978645,-677.7399999999999,1554.8900000000006,-2232.6299999999987,0.6964387292117374,-28.421799999999962,-0.10114519572953723,0.7051943498816496,707.4099999999999,7.074099999999999,-0.9580582688963968,29,0.10320284697508897,27,0.09608540925266904,225,0.800711743772242,0.5489209964412812,0.5419782918149467,0.4626334519572954,0.26334519572953735,0.19572953736654805,0.08540925266903915,0.0035587188612099642
full2025_validation,all,expanded_short_hold,low_quality,2,2,1.0,38.18,38.18,0,inf,1.5912,0.7956,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,1.09625,0.53875,1.0,1.0,0.5,0.5,0.0
full2025_validation,all,fibstruct,high_quality,279,69,0.24731182795698925,-966.7100000000002,1574.4300000000003,-2541.140000000001,0.6195762531777076,-42.03769999999997,-0.15067275985663073,0.6236991218569012,994.9700000000001,9.949700000000002,-0.971597133581917,31,0.1111111111111111,47,0.16845878136200718,201,0.7204301075268817,0.6083716845878135,0.5641616487455198,0.4982078853046595,0.3225806451612903,0.25089605734767023,0.14695340501792115,0.0035842293906810036
full2025_validation,all,fibstruct,low_quality,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,all,fibstruct,medium_quality,1,0,0.0,-23.88,0,-23.88,0.0,-1.039,-1.039,0.0,23.88,0.23879999999999998,-1.0,1,1.0,0,0.0,0,0.0,0.7662,1.039,1.0,0.0,0.0,0.0,0.0
full2025_validation,all,light,high_quality,47,17,0.3617021276595745,110.79,479.3800000000001,-368.5899999999999,1.3005778778588681,4.4956,0.09565106382978722,1.2971217078087314,123.71,1.2371,0.8955622019238543,6,0.1276595744680851,14,0.2978723404255319,27,0.574468085106383,0.7733042553191489,0.48855106382978736,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0
full2025_validation,all,light,low_quality,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,all,light,medium_quality,2,1,0.5,-8.29,17.19,-25.48,0.674646781789639,-0.30489999999999995,-0.15244999999999997,0.6951,25.48,0.25479999999999997,-0.325353218210361,1,0.5,0,0.0,1,0.5,0.6890999999999999,0.7012,0.5,0.5,0.5,0.0,0.0
full2025_validation,all,lowqual,high_quality,313,74,0.2364217252396166,-1183.08,1580.57,-2763.6499999999996,0.5719139543719357,-52.00559999999998,-0.16615207667731624,0.5758415579945667,1183.08,11.8308,-1.0,32,0.10223642172523961,47,0.1501597444089457,234,0.7476038338658147,0.592714376996805,0.5702482428115018,0.49201277955271566,0.31309904153354634,0.23961661341853036,0.12140575079872204,0.003194888178913738
full2025_validation,all,lowqual,low_quality,3,1,0.3333333333333333,3.120000000000001,31.79,-28.669999999999998,1.1088245552842693,0.0633999999999999,0.0211333333333333,1.0511496571198062,28.669999999999998,0.28669999999999995,0.1088245552842693,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.8045666666666667,0.7093333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
full2025_validation,all,medlowqual,high_quality,310,74,0.23870967741935484,-1154.4899999999998,1580.57,-2735.06,0.5778922583051195,-50.704999999999984,-0.1635645161290322,0.5820154103222948,1169.6599999999999,11.696599999999998,-0.9870304190961475,32,0.1032258064516129,47,0.15161290322580645,231,0.7451612903225806,0.5957506451612903,0.5708758064516132,0.4935483870967742,0.3161290322580645,0.24193548387096775,0.12258064516129032,0.0032258064516129032
full2025_validation,all,medlowqual,low_quality,4,1,0.25,-7.459999999999999,31.79,-39.25,0.8099363057324841,-0.4151000000000001,-0.10377500000000002,0.7583818393480791,39.25,0.39249999999999996,-0.1900636942675159,1,0.25,1,0.25,2,0.5,0.825825,0.6562250000000001,0.75,0.75,0.5,0.25,0.0
full2025_validation,all,nosess_expdiag,high_quality,301,75,0.24916943521594684,-1015.1500000000002,1595.1299999999999,-2610.28,0.6110953614171659,-44.31119999999998,-0.14721328903654476,0.6166211140787347,1015.1500000000002,10.151500000000002,-1.0,30,0.09966777408637874,48,0.15946843853820597,223,0.7408637873754153,0.6076548172757477,0.5671315614617944,0.5049833887043189,0.3222591362126246,0.25249169435215946,0.12956810631229235,0.0033222591362126247
full2025_validation,all,nosess_expdiag,low_quality,4,1,0.25,-4.579999999999998,31.79,-36.37,0.8740720373934562,-0.2620000000000001,-0.06550000000000003,0.8325771614799666,36.37,0.36369999999999997,-0.12592796260654382,1,0.25,1,0.25,2,0.5,0.6603749999999999,0.63185,0.5,0.5,0.5,0.25,0.0
full2025_validation,all,notopp,high_quality,226,57,0.252212389380531,-675.85,1350.91,-2026.7600000000004,0.666536738439677,-28.580299999999973,-0.12646150442477863,0.6763844666174493,694.49,6.9449,-0.9731601606934586,25,0.11061946902654868,41,0.18141592920353983,160,0.7079646017699115,0.6484805309734515,0.5590371681415932,0.5486725663716814,0.36283185840707965,0.27876106194690264,0.1592920353982301,0.004424778761061947
full2025_validation,all,notopp,low_quality,1,1,1.0,9.96,9.96,0,inf,0.4536,0.4536,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.1639,0.5683,1.0,1.0,1.0,0.0,0.0
full2025_validation,all,notopp,medium_quality,2,0,0.0,-34.14,0,-34.14,0.0,-1.4769999999999999,-0.7384999999999999,0.0,34.14,0.3414,-1.0,1,0.5,0,0.0,1,0.5,0.61315,0.8445499999999999,0.5,0.0,0.0,0.0,0.0
full2025_validation,all,wave1or2,high_quality,310,73,0.23548387096774193,-1158.6899999999998,1582.55,-2741.24,0.5773117275393618,-50.984399999999994,-0.16446580645161288,0.580955073679954,1173.86,11.738599999999998,-0.9870768234712827,32,0.1032258064516129,47,0.15161290322580645,231,0.7451612903225806,0.5959003225806453,0.5680680645161292,0.4935483870967742,0.3161290322580645,0.24516129032258063,0.12258064516129032,0.0032258064516129032
