period_id,scenario_key,variant,time_exit_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,non_time_exit,81,48,0.5925925925925926,641.0,1413.21,-772.2100000000002,1.830085080483288,29.238500000000016,0.3609691358024693,1.8680852453565158,94.67,0.9467,6.770888349001796,33,0.4074074074074074,48,0.5925925925925926,0,0.0,0.961095061728395,0.7112999999999998,0.7407407407407407,0.6666666666666666,0.6296296296296297,0.4691358024691358,0.012345679012345678
full2025_validation,all,base,time_exit,232,27,0.11637931034482758,-1793.02,199.15000000000003,-1992.17,0.09996636833201987,-79.88009999999998,-0.3443107758620689,0.10111943573597162,1808.19,18.0819,-0.991610394925312,0,0.0,0,0.0,232,1.0,0.4708952586206894,0.5236387931034483,0.40948275862068967,0.19827586206896552,0.11206896551724138,0.004310344827586207,0.0
full2025_validation,all,expanded,non_time_exit,77,47,0.6103896103896104,695.1499999999999,1399.9000000000003,-704.75,1.9863781482795322,31.078800000000015,0.40362077922077944,2.018079136761348,94.67,0.9467,7.3428752508714465,30,0.38961038961038963,47,0.6103896103896104,0,0.0,0.9899324675324676,0.6796376623376622,0.7532467532467533,0.6883116883116883,0.6493506493506493,0.5064935064935064,0.012987012987012988
full2025_validation,all,expanded,time_exit,203,23,0.11330049261083744,-1619.8600000000001,183.85,-1803.7099999999998,0.10192880230192215,-71.57199999999999,-0.35257142857142854,0.10303133600356924,1635.0300000000002,16.3503,-0.9907218827789092,0,0.0,0,0.0,203,1.0,0.47254926108374395,0.518415763546798,0.4088669950738916,0.2019704433497537,0.11330049261083744,0.009852216748768473,0.0
full2025_validation,all,expanded_fixed_exit,non_time_exit,199,61,0.3065326633165829,-1370.9899999999998,1792.6700000000008,-3163.6600000000017,0.5666443296688013,-59.800000000000004,-0.3005025125628141,0.5723234636364094,1399.2499999999998,13.992499999999996,-0.9798034661425764,138,0.6934673366834171,61,0.3065326633165829,0,0.0,0.681456281407035,0.8517060301507537,0.5326633165829145,0.3869346733668342,0.3417085427135678,0.2562814070351759,0.005025125628140704
full2025_validation,all,expanded_fixed_exit,time_exit,82,53,0.6463414634146342,281.46000000000004,505.8499999999999,-224.39000000000001,2.254333972102143,12.7201,0.1551231707317073,2.2532488644984574,33.92999999999999,0.33929999999999993,8.29531388152078,0,0.0,0,0.0,82,1.0,0.8189414634146343,0.5379719512195121,0.8292682926829268,0.5,0.34146341463414637,0.024390243902439025,0.0
full2025_validation,all,expanded_short_hold,non_time_exit,57,28,0.49122807017543857,152.26,846.1199999999998,-693.8600000000001,1.2194390799296682,7.1832,0.12602105263157895,1.243276469930809,147.26,1.4726,1.0339535515414913,29,0.5087719298245614,28,0.49122807017543857,0,0.0,0.8800175438596488,0.7689157894736842,0.6666666666666666,0.5789473684210527,0.5263157894736842,0.40350877192982454,0.017543859649122806
full2025_validation,all,expanded_short_hold,time_exit,226,73,0.3230088495575221,-791.8199999999997,746.9499999999998,-1538.769999999999,0.4854201732552625,-34.01379999999998,-0.15050353982300876,0.4914333816275601,797.7799999999997,7.977799999999998,-0.9925292687206999,0,0.0,0,0.0,226,1.0,0.47025796460176983,0.48471327433628364,0.415929203539823,0.1902654867256637,0.11504424778761062,0.008849557522123894,0.0
full2025_validation,all,fibstruct,non_time_exit,80,48,0.6,669.67,1424.3000000000004,-754.63,1.8874150245815835,30.17680000000001,0.37721000000000016,1.9239370382503962,121.28,1.2128,5.5216853562005275,32,0.4,48,0.6,0,0.0,0.9848587499999999,0.6815224999999998,0.7625,0.675,0.6375,0.5125,0.0125
full2025_validation,all,fibstruct,time_exit,201,22,0.10945273631840796,-1628.4700000000005,181.92,-1810.39,0.10048663547633381,-71.95060000000001,-0.35796318407960204,0.10163826352307188,1628.4700000000005,16.284700000000004,-1.0,0,0.0,0,0.0,201,1.0,0.4627666666666667,0.5211004975124379,0.39800995024875624,0.18407960199004975,0.09950248756218906,0.004975124378109453,0.0
