period_id,scenario_key,variant,entry_pattern,entry_trigger,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,bos_down,first_pullback_after_bos,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,all,base,bos_up,first_pullback_after_bos,1,0,0.0,-24.97,0,-24.97,0.0,-1.0721,-1.0721,0.0,24.97,0.2497,-1.0,1,1.0,0,0.0,0,0.0,1.018,1.0721,1.0,1.0,1.0,0.0,0.0
full2025_validation,all,base,choch_up,first_pullback_after_choch,1,0,0.0,-3.7,0,-3.7,0.0,-0.1674,-0.1674,0.0,3.7,0.037,-1.0,0,0.0,0,0.0,1,1.0,0.0928,0.233,0.0,0.0,0.0,0.0,0.0
full2025_validation,all,base,double_bottom,neckline_break_retest,49,14,0.2857142857142857,-82.19999999999999,322.18,-404.38,0.7967258519214601,-3.390900000000001,-0.06920204081632655,0.810941307002236,148.06,1.4806,-0.555180332297717,2,0.04081632653061224,10,0.20408163265306123,37,0.7551020408163265,0.6118326530612245,0.5905387755102042,0.4897959183673469,0.32653061224489793,0.30612244897959184,0.16326530612244897,0.02040816326530612
full2025_validation,all,base,double_top,neckline_break_retest,86,23,0.26744186046511625,-405.5699999999999,562.52,-968.0900000000003,0.5810616781497586,-17.284100000000002,-0.20097790697674422,0.5916878097640953,405.5699999999999,4.055699999999999,-1.0,22,0.2558139534883721,18,0.20930232558139536,46,0.5348837209302325,0.7299081395348836,0.6821848837209301,0.6395348837209303,0.4418604651162791,0.3372093023255814,0.1511627906976744,0.0
full2025_validation,all,base,head_and_shoulders,neckline_break_retest,94,20,0.2127659574468085,-390.8300000000001,397.39,-788.22,0.504161274771003,-17.4836,-0.18599574468085106,0.5054144271570012,406.0000000000001,4.060000000000001,-0.9626354679802955,8,0.0851063829787234,10,0.10638297872340426,76,0.8085106382978723,0.5988648936170216,0.5080372340425532,0.5,0.30851063829787234,0.20212765957446807,0.09574468085106383,0.0
full2025_validation,all,base,inverse_head_and_shoulders,neckline_break_retest,81,17,0.20987654320987653,-276.54,298.48,-575.02,0.5190775973009635,-12.546400000000002,-0.15489382716049385,0.5116612174996108,309.24,3.0924,-0.894256887854094,0,0.0,9,0.1111111111111111,72,0.8888888888888888,0.4399691358024693,0.5137246913580246,0.3333333333333333,0.18518518518518517,0.14814814814814814,0.09876543209876543,0.0
full2025_validation,all,expanded,bos_down,first_pullback_after_bos,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,all,expanded,choch_down,first_pullback_after_choch,1,0,0.0,-10.58,0,-10.58,0.0,-0.4785,-0.4785,0.0,10.58,0.10579999999999999,-1.0,0,0.0,0,0.0,1,1.0,0.8896,0.4969,1.0,1.0,0.0,0.0,0.0
full2025_validation,all,expanded,double_bottom,neckline_break_retest,42,14,0.3333333333333333,13.699999999999989,353.67999999999995,-339.97999999999996,1.0402964880287076,0.7651000000000002,0.018216666666666673,1.050956729072176,125.47000000000001,1.2547000000000001,0.10918944767673537,2,0.047619047619047616,11,0.2619047619047619,29,0.6904761904761905,0.6332785714285715,0.5886833333333333,0.47619047619047616,0.35714285714285715,0.3333333333333333,0.21428571428571427,0.023809523809523808
full2025_validation,all,expanded,double_top,neckline_break_retest,73,18,0.2465753424657534,-438.7099999999998,460.58000000000004,-899.2900000000001,0.5121595925674699,-18.5545,-0.25417123287671234,0.5233269107257549,438.7099999999998,4.387099999999998,-1.0,21,0.2876712328767123,15,0.2054794520547945,37,0.5068493150684932,0.755371232876712,0.7028479452054793,0.6438356164383562,0.4520547945205479,0.3561643835616438,0.1780821917808219,0.0
