period_id,scenario_key,variant,m15_wave2_expansion_mode,m15_wave2_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,off,unknown,313,75,0.23961661341853036,-1152.02,1612.3600000000001,-2764.379999999999,0.583262793103698,-50.64159999999998,-0.1617942492012779,0.5867604314398138,1167.19,11.6719,-0.9870029729521328,33,0.10543130990415335,48,0.15335463258785942,232,0.7412140575079872,0.5977520766773162,0.5722028753993612,0.4952076677316294,0.3194888178913738,0.24600638977635783,0.12460063897763578,0.003194888178913738
full2025_validation,all,expanded,wave2_pullback_only,deep_pullback,20,4,0.2,-106.00000000000001,71.67999999999999,-177.68,0.40342188203511925,-4.6185,-0.230925,0.4048324742268041,107.83000000000001,1.0783,-0.9830288416952611,2,0.1,1,0.05,17,0.85,0.583345,0.55346,0.5,0.25,0.1,0.0,0.0
full2025_validation,all,expanded,wave2_pullback_only,fib_pullback,48,13,0.2708333333333333,-47.07,319.40000000000003,-366.4700000000001,0.8715583813136135,-2.4155999999999995,-0.05032499999999999,0.8522053559956683,155.38,1.5538,-0.30293474063586046,3,0.0625,9,0.1875,36,0.75,0.6352437500000001,0.5055666666666666,0.5,0.3541666666666667,0.2708333333333333,0.14583333333333334,0.0
full2025_validation,all,expanded,wave2_pullback_only,ma_pullback,10,3,0.3,5.039999999999996,64.22,-59.18,1.085163906725245,0.0779000000000003,0.00779000000000003,1.0289289958407606,33.19,0.3319,0.15185296776137377,0,0.0,2,0.2,8,0.8,0.7654099999999999,0.42756,0.6,0.6,0.5,0.2,0.0
full2025_validation,all,expanded,wave2_pullback_only,shallow_pullback,77,18,0.23376623376623376,-372.02,412.46,-784.4799999999999,0.5257750356924332,-15.740999999999993,-0.20442857142857132,0.5386914792292475,372.02,3.7201999999999997,-1.0,11,0.14285714285714285,13,0.16883116883116883,53,0.6883116883116883,0.6264142857142855,0.6002155844155843,0.5064935064935064,0.36363636363636365,0.2727272727272727,0.15584415584415584,0.0
full2025_validation,all,expanded,wave2_pullback_only,structure_pullback,125,32,0.256,-404.6599999999999,715.99,-1120.65,0.6389059920581804,-17.795999999999992,-0.14236799999999994,0.6397607311666886,416.73,4.1673,-0.9710364024668248,14,0.112,22,0.176,89,0.712,0.5928455999999998,0.5739352000000002,0.496,0.304,0.256,0.16,0.008
full2025_validation,all,expanded_fixed_exit,wave2_pullback_only,deep_pullback,20,7,0.35,-187.81999999999996,102.62000000000002,-290.43999999999994,0.35332598815590155,-8.314,-0.4157,0.35333328147969545,187.81999999999996,1.8781999999999996,-1.0,12,0.6,1,0.05,7,0.35,0.662085,0.7946749999999998,0.6,0.35,0.2,0.0,0.0
full2025_validation,all,expanded_fixed_exit,wave2_pullback_only,fib_pullback,48,27,0.5625,110.38000000000002,525.4399999999999,-415.06,1.2659374548258082,4.937799999999998,0.1028708333333333,1.2660466920619182,148.32999999999998,1.4832999999999998,0.7441515539675051,17,0.3541666666666667,13,0.2708333333333333,18,0.375,0.7671520833333334,0.6899187499999999,0.6458333333333334,0.4791666666666667,0.375,0.22916666666666666,0.0
full2025_validation,all,expanded_fixed_exit,wave2_pullback_only,ma_pullback,9,4,0.4444444444444444,3.729999999999997,102.05,-98.32,1.0379373474369407,0.11740000000000017,0.013044444444444463,1.026318149210904,42.730000000000004,0.42730000000000007,0.0872923004914579,4,0.4444444444444444,3,0.3333333333333333,2,0.2222222222222222,0.9792000000000001,0.6875888888888889,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.0
full2025_validation,all,expanded_fixed_exit,wave2_pullback_only,shallow_pullback,77,29,0.37662337662337664,-499.63,564.57,-1064.2000000000003,0.5305111821086261,-20.8832,-0.27121038961038957,0.54828578226731,519.46,5.1946,-0.9618257421168135,44,0.5714285714285714,15,0.19480519480519481,18,0.23376623376623376,0.7286090909090907,0.7909233766233765,0.6233766233766234,0.42857142857142855,0.35064935064935066,0.18181818181818182,0.0
full2025_validation,all,expanded_fixed_exit,wave2_pullback_only,structure_pullback,127,47,0.3700787401574803,-516.19,1003.84,-1520.0299999999997,0.6604080182627976,-22.937899999999992,-0.18061338582677158,0.6620148939242575,544.45,5.444500000000001,-0.9480944071999265,61,0.48031496062992124,29,0.2283464566929134,37,0.29133858267716534,0.691199212598425,0.7677496062992131,0.5984251968503937,0.3779527559055118,0.3228346456692913,0.1968503937007874,0.007874015748031496
full2025_validation,all,expanded_short_hold,wave2_pullback_only,deep_pullback,20,6,0.3,-107.83999999999999,63.669999999999995,-171.51,0.3712319981342196,-4.506199999999999,-0.22530999999999995,0.383463995950143,113.25999999999998,1.1325999999999998,-0.9521455059155925,2,0.1,1,0.05,17,0.85,0.525635,0.5413149999999998,0.45,0.15,0.05,0.0,0.0
full2025_validation,all,expanded_short_hold,wave2_pullback_only,fib_pullback,48,17,0.3541666666666667,17.990000000000013,342.62,-324.63,1.0554169362042942,0.6462000000000002,0.013462500000000004,1.0454353695578806,87.19999999999999,0.8719999999999999,0.20630733944954147,2,0.041666666666666664,8,0.16666666666666666,38,0.7916666666666666,0.5999104166666667,0.48376250000000004,0.5,0.2916666666666667,0.25,0.125,0.0
full2025_validation,all,expanded_short_hold,wave2_pullback_only,ma_pullback,10,6,0.6,45.72999999999999,89.09,-43.36,2.054658671586716,1.855,0.1855,1.9368213726579466,17.9,0.179,2.554748603351955,0,0.0,2,0.2,8,0.8,0.69524,0.40332999999999997,0.5,0.5,0.4,0.2,0.0
full2025_validation,all,expanded_short_hold,wave2_pullback_only,shallow_pullback,77,25,0.3246753246753247,-271.51000000000005,407.86000000000007,-679.3699999999999,0.6003503245654064,-10.955099999999998,-0.14227402597402594,0.6189278595802853,271.51000000000005,2.7151000000000005,-1.0,11,0.14285714285714285,6,0.07792207792207792,60,0.7792207792207793,0.5636051948051947,0.5750428571428569,0.4675324675324675,0.2987012987012987,0.22077922077922077,0.09090909090909091,0.0
full2025_validation,all,expanded_short_hold,wave2_pullback_only,structure_pullback,128,47,0.3671875,-323.93000000000006,689.8299999999999,-1013.7600000000002,0.6804667771464644,-13.870500000000005,-0.10836328125000004,0.6858259851276698,361.9800000000001,3.6198000000000006,-0.8948836952317808,14,0.109375,11,0.0859375,103,0.8046875,0.52172578125,0.5548039062500002,0.453125,0.2421875,0.171875,0.078125,0.0078125
full2025_validation,all,fibstruct,fib_or_structure_pullback,deep_pullback,20,4,0.2,-105.42,71.67999999999999,-177.10000000000002,0.40474308300395245,-4.6185,-0.230925,0.4048324742268041,107.25,1.0725,-0.982937062937063,2,0.1,1,0.05,17,0.85,0.583345,0.55346,0.5,0.25,0.1,0.0,0.0
full2025_validation,all,fibstruct,fib_or_structure_pullback,fib_pullback,49,13,0.2653061224489796,-73.67999999999999,319.40000000000003,-393.0800000000001,0.8125572402564363,-3.5108,-0.07164897959183673,0.7986868889589727,181.99,1.8199,-0.4048574097477883,4,0.08163265306122448,9,0.1836734693877551,36,0.7346938775510204,0.6338204081632655,0.5176,0.5102040816326531,0.3469387755102041,0.2653061224489796,0.14285714285714285,0.0
full2025_validation,all,fibstruct,fib_or_structure_pullback,shallow_pullback,82,19,0.23170731707317074,-406.59999999999997,442.96999999999997,-849.5699999999998,0.5214049460315219,-17.30059999999999,-0.21098292682926814,0.5323037162993258,406.59999999999997,4.066,-1.0,12,0.14634146341463414,14,0.17073170731707318,56,0.6829268292682927,0.6266402439024387,0.6013402439024389,0.5,0.35365853658536583,0.2682926829268293,0.15853658536585366,0.0
full2025_validation,all,fibstruct,fib_or_structure_pullback,structure_pullback,130,34,0.26153846153846155,-373.09999999999974,772.1699999999998,-1145.2700000000002,0.674225291852576,-16.343899999999998,-0.1257223076923077,0.6767514348890658,409.72999999999973,4.097299999999997,-0.9105996631928343,14,0.1076923076923077,24,0.18461538461538463,92,0.7076923076923077,0.5976630769230766,0.5655500000000002,0.5,0.3076923076923077,0.26153846153846155,0.16923076923076924,0.007692307692307693
full2025_validation,all,light,off,deep_pullback,6,2,0.3333333333333333,-14.920000000000002,43.68,-58.599999999999994,0.7453924914675769,-0.6333,-0.10554999999999999,0.7363995837669095,49.33,0.49329999999999996,-0.3024528684370566,2,0.3333333333333333,1,0.16666666666666666,3,0.5,0.6475666666666666,0.5710500000000001,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0
full2025_validation,all,light,off,fib_pullback,16,5,0.3125,1.1900000000000084,142.14,-140.95,1.0084427101809152,0.07590000000000008,0.004743750000000005,1.0131512830731377,88.67999999999999,0.8867999999999999,0.0134190347316194,2,0.125,4,0.25,10,0.625,0.6912999999999998,0.5355500000000001,0.5625,0.4375,0.375,0.25,0.0
full2025_validation,all,light,off,shallow_pullback,28,12,0.42857142857142855,148.01999999999998,342.53999999999996,-194.52000000000004,1.7609500308451567,6.051,0.21610714285714286,1.7604911583948115,58.95,0.5895,2.5109414758269715,3,0.10714285714285714,10,0.35714285714285715,15,0.5357142857142857,0.8600071428571427,0.4711464285714286,0.6785714285714286,0.5357142857142857,0.4642857142857143,0.25,0.0
