period_id,scenario_key,variant,m15_wave2_expansion_mode,m15_wave2_gate_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,off,no_gate,313,75,0.23961661341853036,-1152.02,1612.3600000000001,-2764.379999999999,0.583262793103698,-50.64159999999998,-0.1617942492012779,0.5867604314398138,1167.19,11.6719,-0.9870029729521328,33,0.10543130990415335,48,0.15335463258785942,232,0.7412140575079872,0.5977520766773162,0.5722028753993612,0.4952076677316294,0.3194888178913738,0.24600638977635783,0.12460063897763578,0.003194888178913738
full2025_validation,all,expanded,wave2_pullback_only,required_expanded,280,70,0.25,-924.7100000000006,1583.7500000000005,-2508.4600000000014,0.6313634660309511,-40.493199999999966,-0.14461857142857132,0.6329481209679835,939.8800000000006,9.398800000000005,-0.9838596416563817,30,0.10714285714285714,47,0.16785714285714284,203,0.725,0.6148296428571428,0.5627517857142855,0.5035714285714286,0.3357142857142857,0.26071428571428573,0.14642857142857144,0.0035714285714285713
full2025_validation,all,expanded_fixed_exit,wave2_pullback_only,required_expanded,281,114,0.40569395017793597,-1089.5299999999988,2298.52,-3388.0500000000025,0.6784197399684179,-47.07989999999999,-0.16754412811387895,0.6860816802800467,1125.409999999999,11.254099999999989,-0.9681182857802932,138,0.49110320284697506,61,0.21708185053380782,82,0.2918149466192171,0.7215765124555157,0.7601537366548038,0.6192170818505338,0.4199288256227758,0.3416370106761566,0.18861209964412812,0.0035587188612099642
full2025_validation,all,expanded_short_hold,wave2_pullback_only,required_expanded,283,101,0.3568904593639576,-639.5599999999998,1593.0700000000006,-2232.6299999999987,0.7135396371095979,-26.830599999999976,-0.09480777385159002,0.7216991015324361,669.2299999999998,6.692299999999999,-0.9556654662821452,29,0.10247349823321555,28,0.0989399293286219,226,0.7985865724381626,0.5527890459363959,0.5419554770318019,0.4664310954063604,0.26855123674911663,0.1978798586572438,0.08833922261484099,0.0035335689045936395
full2025_validation,all,fibstruct,fib_or_structure_pullback,required_expanded,281,70,0.2491103202846975,-958.8000000000001,1606.2200000000003,-2565.020000000001,0.6262017450156333,-41.773799999999966,-0.14866120996441268,0.6295072371221795,987.0600000000001,9.8706,-0.9713695216096286,32,0.11387900355871886,48,0.1708185053380783,201,0.7153024911032029,0.6114049822064057,0.5667722419928826,0.501779359430605,0.3238434163701068,0.2526690391459075,0.1494661921708185,0.0035587188612099642
full2025_validation,all,light,off,no_gate,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0
full2025_validation,all,lowqual,wave1_or_wave2_context,required_only_if_m5_pattern_low_quality,316,75,0.23734177215189872,-1179.96,1612.3600000000001,-2792.3199999999993,0.5774266559706626,-51.94219999999998,-0.16437405063291133,0.5805985382128475,1179.96,11.7996,-1.0,33,0.10443037974683544,48,0.1518987341772152,235,0.7436708860759493,0.5947256329113924,0.5715686708860761,0.4936708860759494,0.31645569620253167,0.24367088607594936,0.12341772151898735,0.0031645569620253164
full2025_validation,all,medlowqual,wave1_or_wave2_context,required_for_medium_low_quality_m5,314,75,0.23885350318471338,-1161.9499999999998,1612.3600000000001,-2774.3099999999995,0.5811751390435822,-51.12009999999998,-0.16280286624203816,0.5844782782218112,1177.12,11.771199999999999,-0.9871126138371619,33,0.10509554140127389,48,0.15286624203821655,233,0.7420382165605095,0.5986815286624203,0.5719630573248411,0.4968152866242038,0.321656050955414,0.24522292993630573,0.12420382165605096,0.0031847133757961785
full2025_validation,all,nosess_expdiag,diagnostic_only,diagnostic_only,305,76,0.24918032786885247,-1019.7300000000001,1626.92,-2646.65,0.6147091606370317,-44.57319999999998,-0.14614163934426222,0.6195059822989512,1019.7300000000001,10.1973,-1.0,31,0.10163934426229508,49,0.16065573770491803,225,0.7377049180327869,0.608346229508197,0.5679803278688529,0.5049180327868853,0.32459016393442625,0.25573770491803277,0.13114754098360656,0.003278688524590164
full2025_validation,all,notopp,structure_not_opposite_plus_pullback,required_expanded,229,58,0.25327510917030566,-700.03,1360.8700000000001,-2060.9000000000005,0.6603280120335775,-29.603699999999968,-0.12927379912663742,0.6703102482832662,718.67,7.1867,-0.9740632000779217,26,0.11353711790393013,41,0.17903930131004367,162,0.7074235807860262,0.6504227074235809,0.5615711790393015,0.5502183406113537,0.3624454148471616,0.2794759825327511,0.1572052401746725,0.004366812227074236
full2025_validation,all,wave1or2,wave1_or_wave2_context,required_expanded,314,74,0.2356687898089172,-1166.1499999999996,1614.34,-2780.4899999999993,0.5805955065474072,-51.39949999999999,-0.16369267515923563,0.58342552362057,1181.3199999999997,11.813199999999997,-0.9871584329394236,33,0.10509554140127389,48,0.15286624203821655,233,0.7420382165605095,0.5988292993630575,0.569191082802548,0.4968152866242038,0.321656050955414,0.2484076433121019,0.12420382165605096,0.0031847133757961785
full2025_validation,clean,clean_base,off,no_gate,9,3,0.3333333333333333,38.33,94.74000000000001,-56.41,1.6794894522247832,1.4902,0.16557777777777777,1.6148958118423768,30.27,0.30269999999999997,1.2662702345556656,0,0.0,3,0.3333333333333333,6,0.6666666666666666,0.7069777777777778,0.5425222222222222,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0
full2025_validation,ldn,ldn_base,off,no_gate,21,8,0.38095238095238093,33.55,228.39999999999998,-194.85,1.172183731075186,1.3567999999999998,0.0646095238095238,1.1669003862523677,50.769999999999996,0.5077,0.6608233208587748,1,0.047619047619047616,6,0.2857142857142857,14,0.6666666666666666,0.6254333333333333,0.6212333333333334,0.47619047619047616,0.38095238095238093,0.3333333333333333,0.19047619047619047,0.0
full2025_validation,ny,ny_base,off,no_gate,27,7,0.25925925925925924,-27.959999999999994,167.24,-195.2,0.8567622950819673,-1.1770999999999998,-0.04359629629629629,0.8582558643610617,68.02,0.6802,-0.41105557189062036,2,0.07407407407407407,5,0.18518518518518517,20,0.7407407407407407,0.5340555555555555,0.4572740740740741,0.37037037037037035,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.0
full2025_validation,one,one_base,off,no_gate,96,28,0.2916666666666667,-89.71000000000001,742.81,-832.52,0.8922428290011051,-3.3662999999999994,-0.035065624999999996,0.9029126493601635,248.15000000000003,2.4815000000000005,-0.3615152125730405,6,0.0625,22,0.22916666666666666,68,0.7083333333333334,0.6014260416666668,0.5513427083333332,0.4375,0.3229166666666667,0.2708333333333333,0.1875,0.0
