period_id,scenario_key,variant,m15_wave2_expansion_mode,m15_wave2_gate_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,one,onesym_expanded,wave2_pullback_only,required_expanded,83,27,0.3253012048192771,15.860000000000047,719.1800000000001,-703.3199999999998,1.0225501905249392,0.7835999999999972,0.009440963855421652,1.026770249356879,172.58,1.7258000000000002,0.09189940896975343,7,0.08433734939759036,21,0.25301204819277107,55,0.6626506024096386,0.6528301204819278,0.5324421686746988,0.5060240963855421,0.3614457831325301,0.30120481927710846,0.21686746987951808,0.0
full2025_validation,one,onesym_quality,wave1_or_wave2_context,required_only_if_m5_pattern_low_quality,93,27,0.2903225806451613,-66.83000000000004,710.6099999999999,-777.4399999999998,0.9140383823832064,-2.5120999999999984,-0.02701182795698923,0.922712225257821,223.78000000000006,2.2378000000000005,-0.29864152292430074,6,0.06451612903225806,21,0.22580645161290322,66,0.7096774193548387,0.5905354838709679,0.5350913978494622,0.41935483870967744,0.3118279569892473,0.25806451612903225,0.1827956989247312,0.0
full2025_validation,tky,tky_base,off,no_gate,17,8,0.47058823529411764,101.50999999999998,196.82,-95.31,2.0650508865806314,4.188300000000001,0.24637058823529417,2.0661592505854802,43.92,0.43920000000000003,2.3112477231329684,1,0.058823529411764705,6,0.35294117647058826,10,0.5882352941176471,0.8590823529411765,0.5354647058823531,0.6470588235294118,0.5882352941176471,0.47058823529411764,0.23529411764705882,0.0
q1_quick,all,base,off,no_gate,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,all,expanded,wave2_pullback_only,required_expanded,92,24,0.2608695652173913,-480.84999999999985,455.31,-936.1600000000002,0.4863591693727567,-20.255799999999997,-0.22017173913043475,0.49247321527005233,480.84999999999985,4.808499999999998,-1.0,15,0.16304347826086957,13,0.14130434782608695,64,0.6956521739130435,0.5674228260869565,0.5961228260869564,0.4782608695652174,0.29347826086956524,0.1956521739130435,0.14130434782608695,0.0
q1_quick,all,expanded_fixed_exit,wave2_pullback_only,required_expanded,92,32,0.34782608695652173,-643.6999999999997,661.7700000000001,-1305.4700000000003,0.5069208790703731,-27.50400000000001,-0.2989565217391305,0.5103034964586737,643.6999999999997,6.436999999999997,-1.0,51,0.5543478260869565,16,0.17391304347826086,25,0.2717391304347826,0.6582565217391304,0.7909402173913044,0.5869565217391305,0.358695652173913,0.2717391304347826,0.17391304347826086,0.0
q1_quick,all,expanded_short_hold,wave2_pullback_only,required_expanded,92,33,0.358695652173913,-403.44999999999993,461.85999999999996,-865.3100000000001,0.5337509100784689,-16.829700000000006,-0.1829315217391305,0.5413413347940905,409.76,4.0976,-0.9846007418976961,15,0.16304347826086957,8,0.08695652173913043,69,0.75,0.5007141304347827,0.5775293478260869,0.41304347826086957,0.21739130434782608,0.14130434782608695,0.09782608695652174,0.0
q1_quick,all,fibstruct,fib_or_structure_pullback,required_expanded,92,23,0.25,-509.70999999999987,453.38,-963.0900000000001,0.4707555887819414,-21.514999999999993,-0.23385869565217385,0.47638181415509223,509.70999999999987,5.097099999999999,-1.0,16,0.17391304347826086,13,0.14130434782608695,63,0.6847826086956522,0.5599423913043478,0.6059804347826087,0.4782608695652174,0.2826086956521739,0.18478260869565216,0.13043478260869565,0.0
q1_quick,all,light,off,no_gate,18,6,0.3333333333333333,24.57000000000001,173.97,-149.4,1.1644578313253011,0.8499000000000001,0.04721666666666667,1.138598522528987,66.08,0.6608,0.37182203389830526,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0.7552,0.5432,0.6111111111111112,0.5,0.3333333333333333,0.2222222222222222,0.0
q1_quick,all,lowqual,wave1_or_wave2_context,required_only_if_m5_pattern_low_quality,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,all,medlowqual,wave1_or_wave2_context,required_for_medium_low_quality_m5,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,all,nosess_expdiag,diagnostic_only,diagnostic_only,111,27,0.24324324324324326,-586.6399999999999,473.3400000000001,-1059.9800000000002,0.44655559538859224,-24.817899999999995,-0.22358468468468465,0.4527632063468964,600.5199999999999,6.0051999999999985,-0.9768866981948977,16,0.14414414414414414,13,0.11711711711711711,82,0.7387387387387387,0.5588045045045046,0.5660072072072071,0.4774774774774775,0.27927927927927926,0.1981981981981982,0.10810810810810811,0.0
q1_quick,all,notopp,structure_not_opposite_plus_pullback,required_expanded,75,16,0.21333333333333335,-495.36999999999983,290.22,-785.5900000000001,0.36942934609656436,-20.9162,-0.27888266666666667,0.37802346811939846,518.6399999999999,5.186399999999999,-0.9551326546351997,13,0.17333333333333334,8,0.10666666666666667,54,0.72,0.5637106666666666,0.5774680000000002,0.49333333333333335,0.30666666666666664,0.17333333333333334,0.09333333333333334,0.0
q1_quick,all,wave1or2,wave1_or_wave2_context,required_expanded,107,26,0.24299065420560748,-567.8299999999997,472.05000000000007,-1039.88,0.45394660922414126,-24.017099999999996,-0.22445887850467286,0.4602195342314279,581.7099999999997,5.817099999999997,-0.976139313403586,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5651859813084114,0.577359813084112,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,one,onesym_expanded,wave2_pullback_only,required_expanded,27,8,0.2962962962962963,-103.45999999999998,170.01,-273.47,0.6216769663948513,-4.2383000000000015,-0.15697407407407413,0.6288183983745533,120.71999999999997,1.2071999999999998,-0.8570245195493705,6,0.2222222222222222,5,0.18518518518518517,16,0.5925925925925926,0.5540962962962962,0.5983703703703703,0.4444444444444444,0.2962962962962963,0.18518518518518517,0.14814814814814814,0.0
q1_quick,one,onesym_quality,wave1_or_wave2_context,required_only_if_m5_pattern_low_quality,31,7,0.22580645161290322,-193.05000000000007,137.93,-330.97999999999996,0.4167321288295366,-7.898299999999999,-0.2547838709677419,0.42625832649295753,199.26000000000005,1.9926000000000006,-0.9688346883468836,6,0.1935483870967742,4,0.12903225806451613,21,0.6774193548387096,0.5166935483870967,0.5768677419354837,0.3870967741935484,0.25806451612903225,0.16129032258064516,0.0967741935483871,0.0
