period_id,scenario_key,variant,m15_wave1_candidate,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,all,base,false,313,75,0.23961661341853036,-1152.02,1612.3600000000001,-2764.379999999999,0.583262793103698,-50.64159999999998,-0.1617942492012779,0.5867604314398138,1167.19,11.6719,-0.9870029729521328,33,0.10543130990415335,48,0.15335463258785942,232,0.7412140575079872,0.5977520766773162,0.5722028753993612,0.4952076677316294,0.3194888178913738,0.24600638977635783,0.12460063897763578,0.003194888178913738
full2025_validation,all,expanded,false,46,9,0.1956521739130435,-233.11999999999998,170.97,-404.09,0.42309881462050536,-10.128199999999998,-0.22017826086956518,0.42906909886244504,241.76999999999995,2.4176999999999995,-0.9642221946478059,5,0.10869565217391304,5,0.10869565217391304,36,0.782608695652174,0.49666521739130426,0.5518673913043479,0.45652173913043476,0.21739130434782608,0.17391304347826086,0.021739130434782608,0.0
full2025_validation,all,expanded,true,234,61,0.2606837606837607,-691.5900000000003,1412.7800000000002,-2104.3699999999994,0.6713553224955691,-30.364999999999974,-0.12976495726495715,0.6720144566392635,730.1400000000002,7.301400000000003,-0.9472019064836882,25,0.10683760683760683,42,0.1794871794871795,167,0.7136752136752137,0.6380585470085469,0.5648914529914529,0.5128205128205128,0.358974358974359,0.2777777777777778,0.17094017094017094,0.004273504273504274
full2025_validation,all,expanded_fixed_exit,false,45,17,0.37777777777777777,-310.46,269.22999999999996,-579.6899999999999,0.46443788921665025,-13.540400000000002,-0.3008977777777778,0.4715054623800285,310.46,3.1045999999999996,-1.0,23,0.5111111111111111,6,0.13333333333333333,16,0.35555555555555557,0.5825133333333334,0.7823866666666665,0.5555555555555556,0.24444444444444444,0.2222222222222222,0.022222222222222223,0.0
full2025_validation,all,expanded_fixed_exit,true,236,97,0.4110169491525424,-779.0699999999999,2029.2900000000002,-2808.3600000000006,0.7225889843182497,-33.53950000000001,-0.14211652542372885,0.7302907901053686,816.62,8.1662,-0.9540177806078713,115,0.4872881355932203,55,0.2330508474576271,66,0.2796610169491525,0.7480927966101694,0.7559144067796609,0.6313559322033898,0.4533898305084746,0.3644067796610169,0.22033898305084745,0.00423728813559322
full2025_validation,all,expanded_short_hold,false,46,16,0.34782608695652173,-138.38000000000002,205.65999999999997,-344.0399999999999,0.5977793279851181,-5.6728000000000005,-0.12332173913043479,0.6162203850785447,166.82,1.6682,-0.8295168445030574,4,0.08695652173913043,3,0.06521739130434782,39,0.8478260869565217,0.44305652173913046,0.5287782608695654,0.41304347826086957,0.17391304347826086,0.15217391304347827,0.0,0.0
full2025_validation,all,expanded_short_hold,true,237,85,0.35864978902953587,-501.1800000000006,1387.4100000000003,-1888.5899999999988,0.7346274204565317,-21.157799999999988,-0.08927341772151894,0.7407996354156458,564.4100000000005,5.644100000000005,-0.8879715100724652,25,0.10548523206751055,25,0.10548523206751055,187,0.7890295358649789,0.5740873417721518,0.5445130801687768,0.4767932489451477,0.2869198312236287,0.20675105485232068,0.10548523206751055,0.004219409282700422
full2025_validation,all,fibstruct,false,45,9,0.2,-224.05999999999997,170.97,-395.03,0.4328025719565603,-9.744599999999997,-0.21654666666666658,0.4385522176513293,232.70999999999995,2.3270999999999997,-0.9628292724850673,5,0.1111111111111111,5,0.1111111111111111,35,0.7777777777777778,0.5028799999999999,0.5521111111111111,0.4666666666666667,0.2222222222222222,0.17777777777777778,0.022222222222222223,0.0
full2025_validation,all,fibstruct,true,236,61,0.2584745762711864,-734.74,1435.2500000000002,-2169.99,0.6614085779197141,-32.02919999999996,-0.1357169491525422,0.6642493694690963,786.38,7.8638,-0.9343320023398357,27,0.11440677966101695,43,0.18220338983050846,166,0.7033898305084746,0.6320983050847456,0.5695677966101694,0.5084745762711864,0.3432203389830508,0.2669491525423729,0.17372881355932204,0.00423728813559322
full2025_validation,all,light,true,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0
full2025_validation,all,lowqual,false,50,11,0.22,-242.84999999999994,173.64000000000001,-416.49000000000007,0.4169127710149103,-10.595199999999998,-0.21190399999999998,0.4236288664280353,242.84999999999994,2.428499999999999,-1.0,5,0.1,5,0.1,40,0.8,0.509228,0.55646,0.46,0.24,0.18,0.02,0.0
full2025_validation,all,lowqual,true,266,64,0.24060150375939848,-937.1100000000008,1438.72,-2375.829999999999,0.6055652129992468,-41.34699999999997,-0.15543984962406004,0.6079582196313879,960.4900000000008,9.604900000000008,-0.9756582577642662,28,0.10526315789473684,43,0.16165413533834586,195,0.7330827067669173,0.6107966165413533,0.5744086466165413,0.5,0.3308270676691729,0.2556390977443609,0.14285714285714285,0.0037593984962406013
full2025_validation,all,medlowqual,false,49,11,0.22448979591836735,-233.30999999999995,173.64000000000001,-406.95000000000005,0.4266863251013638,-10.157899999999998,-0.20730408163265301,0.43395206544331955,241.41999999999993,2.4141999999999992,-0.9664070913760252,5,0.10204081632653061,5,0.10204081632653061,39,0.7959183673469388,0.5150489795918367,0.5566061224489797,0.46938775510204084,0.24489795918367346,0.1836734693877551,0.02040816326530612,0.0
full2025_validation,all,medlowqual,true,265,64,0.24150943396226415,-928.6400000000008,1438.72,-2367.359999999999,0.6077318194106517,-40.962199999999974,-0.15457433962264142,0.6101845243193349,967.1900000000007,9.671900000000006,-0.9601422678067392,28,0.10566037735849057,43,0.16226415094339622,194,0.7320754716981132,0.6141456603773584,0.5748026415094342,0.5018867924528302,0.33584905660377357,0.25660377358490566,0.14339622641509434,0.0037735849056603774
full2025_validation,all,nosess_expdiag,false,50,12,0.24,-231.14,174.93,-406.07000000000005,0.43078779520772276,-10.101599999999998,-0.20203199999999996,0.43708937716282276,239.24999999999997,2.3924999999999996,-0.9661024033437827,5,0.1,5,0.1,40,0.8,0.518456,0.5479160000000001,0.48,0.24,0.18,0.02,0.0
full2025_validation,all,nosess_expdiag,true,255,64,0.25098039215686274,-788.5900000000007,1451.99,-2240.5800000000004,0.6480420248328557,-34.47159999999997,-0.1351827450980391,0.6525050831499505,811.9700000000007,8.119700000000007,-0.9712058327278101,26,0.10196078431372549,44,0.17254901960784313,185,0.7254901960784313,0.6259717647058826,0.5719145098039217,0.5098039215686274,0.3411764705882353,0.27058823529411763,0.15294117647058825,0.00392156862745098
full2025_validation,all,notopp,false,21,4,0.19047619047619047,-113.78999999999999,64.49,-178.28,0.3617343504599506,-5.0376,-0.2398857142857143,0.35947512969179135,141.66,1.4166,-0.8032613299449386,2,0.09523809523809523,2,0.09523809523809523,17,0.8095238095238095,0.5304428571428571,0.4696761904761904,0.5714285714285714,0.19047619047619047,0.14285714285714285,0.0,0.0
full2025_validation,all,notopp,true,208,54,0.25961538461538464,-586.2399999999999,1296.38,-1882.6200000000003,0.6886041792820643,-24.56609999999997,-0.11810624999999986,0.7001493998374176,621.8099999999998,6.218099999999999,-0.9427960309419277,24,0.11538461538461539,39,0.1875,145,0.6971153846153846,0.6625360576923077,0.5708490384615386,0.5480769230769231,0.3798076923076923,0.2932692307692308,0.17307692307692307,0.004807692307692308
full2025_validation,all,wave1or2,false,46,9,0.1956521739130435,-232.52999999999992,169.87,-402.40000000000003,0.4221421471172962,-10.128199999999998,-0.22017826086956518,0.42906909886244504,240.6399999999999,2.406399999999999,-0.966298204787234,5,0.10869565217391304,5,0.10869565217391304,36,0.782608695652174,0.49666521739130426,0.5518673913043479,0.45652173913043476,0.21739130434782608,0.17391304347826086,0.021739130434782608,0.0
full2025_validation,all,wave1or2,true,268,65,0.24253731343283583,-933.6200000000008,1444.47,-2378.0899999999997,0.6074076254473129,-41.271299999999975,-0.1539973880597014,0.6093445771408939,972.1700000000008,9.721700000000007,-0.9603464414659988,28,0.1044776119402985,43,0.16044776119402984,197,0.7350746268656716,0.6163649253731344,0.572164552238806,0.503731343283582,0.33955223880597013,0.26119402985074625,0.1417910447761194,0.0037313432835820895
full2025_validation,clean,clean_base,false,1,0,0.0,-8.34,0,-8.34,0.0,-0.3507,-0.3507,0.0,8.34,0.0834,-1.0,0,0.0,0,0.0,1,1.0,0.1014,0.3681,0.0,0.0,0.0,0.0,0.0
full2025_validation,clean,clean_base,true,8,3,0.375,46.67,94.74000000000001,-48.07,1.970875806116081,1.8408999999999998,0.23011249999999997,1.8881223465843304,21.93,0.2193,2.1281349749202008,0,0.0,3,0.375,5,0.625,0.782675,0.564325,0.625,0.5,0.5,0.125,0.0
full2025_validation,ldn,ldn_base,false,2,0,0.0,-20.03,0,-20.03,0.0,-0.8637,-0.43185,0.0,20.03,0.2003,-1.0,0,0.0,0,0.0,2,1.0,0.09655,0.5206999999999999,0.0,0.0,0.0,0.0,0.0
full2025_validation,ldn,ldn_base,true,19,8,0.42105263157894735,53.57999999999999,228.39999999999998,-174.82000000000002,1.306486672005491,2.2204999999999995,0.11686842105263155,1.3056140495754023,50.769999999999996,0.5077,1.055347646247784,1,0.05263157894736842,6,0.3157894736842105,12,0.631578947368421,0.6811052631578947,0.6318157894736842,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.21052631578947367,0.0
full2025_validation,ny,ny_base,false,3,0,0.0,-13.579999999999998,0,-13.579999999999998,0.0,-0.5821000000000001,-0.19403333333333336,0.0,13.579999999999998,0.13579999999999998,-1.0,0,0.0,0,0.0,3,1.0,0.5328,0.315,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
full2025_validation,ny,ny_base,true,24,7,0.2916666666666667,-14.380000000000003,167.24,-181.62,0.9208236978306354,-0.5950000000000002,-0.024791666666666674,0.9229504163267421,66.39,0.6639,-0.21659888537430338,2,0.08333333333333333,5,0.20833333333333334,17,0.7083333333333334,0.5342125,0.47505833333333336,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.0
full2025_validation,one,one_base,false,10,3,0.3,-9.540000000000001,67.47,-77.01,0.8761199844176081,-0.44669999999999954,-0.04466999999999995,0.8620955791553472,48.25,0.48250000000000004,-0.19772020725388603,1,0.1,2,0.2,7,0.7,0.5776399999999999,0.56028,0.5,0.4,0.2,0.1,0.0
full2025_validation,one,one_base,true,86,25,0.29069767441860467,-80.17000000000007,675.3399999999999,-755.5099999999999,0.8938862490238383,-2.919599999999999,-0.033948837209302314,0.907118792887888,208.24000000000004,2.0824000000000003,-0.38498847483672716,5,0.05813953488372093,20,0.23255813953488372,61,0.7093023255813954,0.6041918604651163,0.5503034883720929,0.43023255813953487,0.313953488372093,0.27906976744186046,0.19767441860465115,0.0
full2025_validation,one,onesym_expanded,false,11,2,0.18181818181818182,-36.64,63.71,-100.35,0.6348779272546089,-1.5865999999999998,-0.1442363636363636,0.62460664852715,52.1,0.521,-0.7032629558541267,1,0.09090909090909091,2,0.18181818181818182,8,0.7272727272727273,0.5169272727272727,0.47700909090909094,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0
full2025_validation,one,onesym_expanded,true,72,25,0.3472222222222222,52.50000000000005,655.4699999999999,-602.9699999999999,1.0870690084083785,2.370199999999997,0.032919444444444404,1.094638407972913,152.61,1.5261000000000002,0.3440141537251821,6,0.08333333333333333,19,0.2638888888888889,47,0.6527777777777778,0.6735930555555557,0.5409111111111112,0.5138888888888888,0.375,0.3194444444444444,0.2361111111111111,0.0
full2025_validation,one,onesym_quality,false,10,3,0.3,-9.600000000000001,67.47,-77.07000000000001,0.8754379135850524,-0.44669999999999954,-0.04466999999999995,0.8620955791553472,48.25,0.48250000000000004,-0.1989637305699482,1,0.1,2,0.2,7,0.7,0.5776399999999999,0.56028,0.5,0.4,0.2,0.1,0.0
full2025_validation,one,onesym_quality,true,83,24,0.2891566265060241,-57.230000000000025,643.1399999999999,-700.3699999999999,0.9182860488027756,-2.0654000000000003,-0.024884337349397594,0.9294218151995628,183.87,1.8387,-0.3112525153641161,5,0.060240963855421686,19,0.2289156626506024,59,0.7108433734939759,0.5920891566265061,0.532056626506024,0.40963855421686746,0.30120481927710846,0.26506024096385544,0.1927710843373494,0.0
full2025_validation,tky,tky_base,false,2,2,1.0,35.16,35.16,0,inf,1.4522000000000002,0.7261000000000001,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,1.0917000000000001,0.7921499999999999,1.0,1.0,0.5,0.0,0.0
full2025_validation,tky,tky_base,true,15,6,0.4,66.35000000000001,161.66000000000003,-95.31,1.696149407197566,2.7361000000000004,0.1824066666666667,1.6964922105691886,43.92,0.43920000000000003,1.5107012750455375,1,0.06666666666666667,5,0.3333333333333333,9,0.6,0.8280666666666666,0.50124,0.6,0.5333333333333333,0.4666666666666667,0.26666666666666666,0.0
q1_quick,all,base,false,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0
q1_quick,all,expanded,false,16,3,0.1875,-156.55,12.23,-168.78,0.07246119208437019,-6.634899999999999,-0.41468124999999995,0.07166543073414393,156.55,1.5655000000000001,-1.0,3,0.1875,0,0.0,13,0.8125,0.3587625,0.64625,0.3125,0.1875,0.0625,0.0,0.0
q1_quick,all,expanded,true,76,21,0.27631578947368424,-324.3,443.08,-767.3800000000001,0.5773932080585888,-13.620900000000006,-0.1792223684210527,0.5842685655161048,347.68,3.4768,-0.932754256787851,12,0.15789473684210525,13,0.17105263157894737,51,0.6710526315789473,0.6113513157894737,0.5855697368421053,0.5131578947368421,0.3157894736842105,0.2236842105263158,0.17105263157894737,0.0
q1_quick,all,expanded_fixed_exit,false,16,5,0.3125,-180.89,65.05,-245.94,0.26449540538342686,-7.7082999999999995,-0.48176874999999997,0.2697361565060869,180.89,1.8088999999999997,-1.0,10,0.625,0,0.0,6,0.375,0.4737249999999999,0.8554499999999999,0.4375,0.25,0.1875,0.0,0.0
q1_quick,all,expanded_fixed_exit,true,76,27,0.35526315789473684,-462.8100000000001,596.72,-1059.53,0.5631931139278737,-19.795700000000004,-0.26046973684210534,0.5659780003902661,464.48000000000013,4.644800000000001,-0.9964045814674475,41,0.5394736842105263,16,0.21052631578947367,19,0.25,0.6971052631578947,0.777359210526316,0.618421052631579,0.3815789473684211,0.2894736842105263,0.21052631578947367,0.0
q1_quick,all,expanded_short_hold,false,16,5,0.3125,-122.26,44.79,-167.05,0.2681233163723436,-5.0993,-0.31870625,0.27911842458684993,127.03,1.2703,-0.9624498150043297,3,0.1875,0,0.0,13,0.8125,0.30964375,0.64278125,0.25,0.125,0.0625,0.0,0.0
q1_quick,all,expanded_short_hold,true,76,28,0.3684210526315789,-281.19,417.07,-698.26,0.5972990003723542,-11.730400000000003,-0.15434736842105268,0.6039649421329122,316.29,3.1629000000000005,-0.8890258939580764,12,0.15789473684210525,8,0.10526315789473684,56,0.7368421052631579,0.5409394736842106,0.563792105263158,0.4473684210526316,0.23684210526315788,0.15789473684210525,0.11842105263157894,0.0
q1_quick,all,fibstruct,false,15,3,0.2,-147.49,12.23,-159.72,0.07657150012521914,-6.251299999999999,-0.41675333333333325,0.07573002143860429,147.49,1.4749,-1.0,3,0.2,0,0.0,12,0.8,0.36821333333333334,0.6532733333333333,0.3333333333333333,0.2,0.06666666666666667,0.0,0.0
q1_quick,all,fibstruct,true,77,20,0.2597402597402597,-362.2199999999999,441.15,-803.3700000000001,0.5491243138279994,-15.263700000000004,-0.19822987012987017,0.555326054023819,385.5999999999999,3.855999999999999,-0.9393672199170124,13,0.16883116883116883,13,0.16883116883116883,51,0.6623376623376623,0.5972922077922077,0.5967675324675326,0.5064935064935064,0.2987012987012987,0.2077922077922078,0.15584415584415584,0.0
q1_quick,all,light,true,18,6,0.3333333333333333,24.57000000000001,173.97,-149.4,1.1644578313253011,0.8499000000000001,0.04721666666666667,1.138598522528987,66.08,0.6608,0.37182203389830526,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0.7552,0.5432,0.6111111111111112,0.5,0.3333333333333333,0.2222222222222222,0.0
q1_quick,all,lowqual,false,16,3,0.1875,-149.49,12.23,-161.72,0.07562453623546872,-6.340399999999999,-0.39627499999999993,0.07474535212911888,149.49,1.4949000000000001,-1.0,3,0.1875,0,0.0,13,0.8125,0.37329999999999997,0.6276,0.3125,0.1875,0.0625,0.0,0.0
q1_quick,all,lowqual,true,91,23,0.25274725274725274,-412.40999999999985,459.82000000000005,-872.2300000000002,0.5271774646595507,-17.3822,-0.19101318681318682,0.5345769818807886,449.66999999999985,4.496699999999999,-0.9171392354393222,13,0.14285714285714285,13,0.14285714285714285,65,0.7142857142857143,0.6014802197802198,0.5652472527472527,0.5164835164835165,0.3076923076923077,0.23076923076923078,0.13186813186813187,0.0
q1_quick,all,medlowqual,false,16,3,0.1875,-149.49,12.23,-161.72,0.07562453623546872,-6.340399999999999,-0.39627499999999993,0.07474535212911888,149.49,1.4949000000000001,-1.0,3,0.1875,0,0.0,13,0.8125,0.37329999999999997,0.6276,0.3125,0.1875,0.0625,0.0,0.0
q1_quick,all,medlowqual,true,91,23,0.25274725274725274,-412.40999999999985,459.82000000000005,-872.2300000000002,0.5271774646595507,-17.3822,-0.19101318681318682,0.5345769818807886,449.66999999999985,4.496699999999999,-0.9171392354393222,13,0.14285714285714285,13,0.14285714285714285,65,0.7142857142857143,0.6014802197802198,0.5652472527472527,0.5164835164835165,0.3076923076923077,0.23076923076923078,0.13186813186813187,0.0
q1_quick,all,nosess_expdiag,false,17,4,0.23529411764705882,-147.32000000000002,13.52,-160.84,0.0840586918676946,-6.284099999999999,-0.3696529411764705,0.08296121180281939,148.61,1.4861000000000002,-0.9913195612677479,3,0.17647058823529413,0,0.0,14,0.8235294117647058,0.3916588235294117,0.597864705882353,0.35294117647058826,0.17647058823529413,0.058823529411764705,0.0,0.0
q1_quick,all,nosess_expdiag,true,94,23,0.24468085106382978,-439.31999999999994,459.82000000000005,-899.1400000000002,0.5113997820139243,-18.533799999999996,-0.19716808510638292,0.518586341876479,476.5799999999999,4.7658,-0.921817952914516,13,0.13829787234042554,13,0.13829787234042554,68,0.723404255319149,0.5890329787234043,0.560245744680851,0.5,0.2978723404255319,0.22340425531914893,0.1276595744680851,0.0
q1_quick,all,notopp,false,6,2,0.3333333333333333,-25.36,5.5200000000000005,-30.88,0.17875647668393785,-1.1058,-0.1843,0.17459132641636188,30.88,0.3088,-0.8212435233160622,0,0.0,0,0.0,6,1.0,0.5788000000000001,0.39139999999999997,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0
