event_id,market_cluster_id,response_episode_id,barrier_local_sigma,result,continuation_hit_msc,reversal_hit_msc,partition
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,0,0.5,CONTINUATION_FIRST,1740999588198.0,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,0,1.0,REVERSAL_FIRST,,1740999589719.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,0,2.0,REVERSAL_FIRST,,1740999589719.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,0,0.5,CONTINUATION_FIRST,1740999626846.0,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,0,1.0,CONTINUATION_FIRST,1740999626846.0,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,0,2.0,CONTINUATION_FIRST,1740999627264.0,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,0,0.5,REVERSAL_FIRST,,1740999661831.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,0,1.0,REVERSAL_FIRST,,1740999665854.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,0,2.0,REVERSAL_FIRST,,1740999665854.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,0,0.5,REVERSAL_FIRST,,1740999761204.0,DISCOVERY
