partition,gate_a,gate_b,both_pass,both_fail,a_pass_b_fail
INTERNAL_CONFIRMATION,liquidity_normal,activity_elevated,799,110,3925
INTERNAL_CONFIRMATION,liquidity_normal,liquidity_normal,4724,161,0
INTERNAL_CONFIRMATION,liquidity_normal,cost_feasible,4,161,4720
INTERNAL_CONFIRMATION,liquidity_normal,efficiency_gate,3707,46,1017
INTERNAL_CONFIRMATION,liquidity_normal,persistence_gate,4724,0,0
INTERNAL_CONFIRMATION,cost_feasible,statistical_shock,4,0,0
INTERNAL_CONFIRMATION,cost_feasible,direction_available,4,0,0
INTERNAL_CONFIRMATION,cost_feasible,directional_burst,4,1063,0
INTERNAL_CONFIRMATION,cost_feasible,activity_elevated,3,4034,1
INTERNAL_CONFIRMATION,cost_feasible,liquidity_normal,4,161,0
INTERNAL_CONFIRMATION,cost_feasible,cost_feasible,4,4881,0
INTERNAL_CONFIRMATION,cost_feasible,efficiency_gate,4,1063,0
INTERNAL_CONFIRMATION,cost_feasible,persistence_gate,4,0,0
INTERNAL_CONFIRMATION,efficiency_gate,statistical_shock,3822,0,0
INTERNAL_CONFIRMATION,efficiency_gate,direction_available,3822,0,0
INTERNAL_CONFIRMATION,efficiency_gate,directional_burst,3822,1063,0
INTERNAL_CONFIRMATION,efficiency_gate,activity_elevated,556,769,3266
INTERNAL_CONFIRMATION,efficiency_gate,liquidity_normal,3707,46,115
INTERNAL_CONFIRMATION,efficiency_gate,cost_feasible,4,1063,3818
INTERNAL_CONFIRMATION,efficiency_gate,efficiency_gate,3822,1063,0
INTERNAL_CONFIRMATION,efficiency_gate,persistence_gate,3822,0,0
INTERNAL_CONFIRMATION,persistence_gate,statistical_shock,4885,0,0
INTERNAL_CONFIRMATION,persistence_gate,direction_available,4885,0,0
INTERNAL_CONFIRMATION,persistence_gate,directional_burst,3822,0,1063
INTERNAL_CONFIRMATION,persistence_gate,activity_elevated,850,0,4035
INTERNAL_CONFIRMATION,persistence_gate,liquidity_normal,4724,0,161
INTERNAL_CONFIRMATION,persistence_gate,cost_feasible,4,0,4881
INTERNAL_CONFIRMATION,persistence_gate,efficiency_gate,3822,0,1063
INTERNAL_CONFIRMATION,persistence_gate,persistence_gate,4885,0,0
