event_id,market_cluster_id,response_episode_id,symbol,direction,partition,mfe,mae,time_to_mfe_ms,time_to_mae_ms,origin_recross_msc,initial_shock_size,local_sigma_response,reference_mid,validation_status
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,0,USDJPY,LONG,DISCOVERY,0.0135,0.025,65671,31329,1740999587677.0,0.001,1.3869991e-05,150.1205,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,0,USDJPY,LONG,DISCOVERY,0.0175,0.0495,27921,112496,1740999645306.0,0.002,1.3773538e-05,150.1165,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,0,USDJPY,SHORT,DISCOVERY,0.0375,0.008,76246,4604,1740999661831.0,0.001,1.3812194e-05,150.1045,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,0,USDJPY,LONG,DISCOVERY,0.007,0.0345,84092,116316,1740999764378.0,0.0045,1.3775528e-05,150.107,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,0,USDJPY,LONG,DISCOVERY,0.0,0.087,0,115013,1740999845774.0,0.004,1.3799828e-05,150.112,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,0,USDJPY,LONG,DISCOVERY,0.0,0.0875,0,115263,1740999866308.0,0.01,1.3799828e-05,150.1125,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7,6,1,USDJPY,SHORT,DISCOVERY,0.0165,0.0205,5722,114941,1741000200600.0,0.004,1.3993355e-05,149.9875,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8,7,2,USDJPY,LONG,DISCOVERY,0.0025,0.0165,1951,7851,1741000393603.0,0.004,1.3989893e-05,149.964,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,3,USDJPY,LONG,DISCOVERY,0.0035,0.0245,2214,86367,1741001033667.0,0.0005,1.376217e-05,150.109,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10,9,4,USDJPY,LONG,DISCOVERY,0.041,0.0035,63805,5658,1741001738158.0,0.0035,1.396942e-05,150.1815,VALID
