partition,feature,bucket,events,episodes,mean_continuation_10s,median_continuation_10s,positive_rate_10s,raw_p,adjusted_p_bh
DISCOVERY,spread_ratio,"(1.053, 10.115]",1765,826,5.539692796600566e-06,-3.475148e-06,0.4685552407932011,1.0,1.0
DISCOVERY,quote_age_ms,"(-0.001, 78.0]",1862,856,-3.0733420827067684e-06,-3.4733925e-06,0.4667024704618689,1.0,1.0
DISCOVERY,quote_age_ms,"(78.0, 158.0]",1826,885,-1.142123566265061e-06,-3.4746985e-06,0.468236582694414,1.0,1.0
DISCOVERY,quote_age_ms,"(158.0, 260.0]",1838,909,8.499970350380847e-06,0.0,0.4978237214363438,1.0,1.0
DISCOVERY,quote_age_ms,"(260.0, 500.0]",1824,1025,3.5587983333333328e-06,0.0,0.4698464912280701,1.0,1.0
INTERNAL_CONFIRMATION,symbol,AUDUSD,364,254,9.997376994505496e-06,7.949379e-06,0.5192307692307693,1.0,1.0
INTERNAL_CONFIRMATION,symbol,EURUSD,154,101,-1.390170062987013e-05,4.6056845e-06,0.5,1.0,1.0
INTERNAL_CONFIRMATION,symbol,GBPUSD,418,250,2.015979839712917e-06,0.0,0.4521531100478468,1.0,1.0
INTERNAL_CONFIRMATION,symbol,USDCAD,887,486,1.1765452160090192e-05,0.0,0.4971815107102593,1.0,1.0
INTERNAL_CONFIRMATION,symbol,USDCHF,122,84,-5.598434098360655e-06,-5.6738575e-06,0.4754098360655737,1.0,1.0
INTERNAL_CONFIRMATION,symbol,USDJPY,949,548,2.0277398946259185e-07,0.0,0.4805057955742887,1.0,1.0
INTERNAL_CONFIRMATION,severity_feature,P990,1785,851,2.452621196638655e-06,0.0,0.480672268907563,1.0,1.0
INTERNAL_CONFIRMATION,severity_feature,P995,1005,536,9.379640580099505e-06,3.356093e-06,0.5044776119402985,1.0,1.0
INTERNAL_CONFIRMATION,severity_feature,P999,104,89,-1.4598318221153846e-05,-1.662607e-06,0.4326923076923077,1.0,1.0
INTERNAL_CONFIRMATION,trigger_horizon_ms_x,250,2785,1081,3.98485574362657e-06,0.0,0.4872531418312388,1.0,1.0
INTERNAL_CONFIRMATION,trigger_horizon_ms_x,500,10,10,2.74539893e-05,1.00892835e-05,0.6,1.0,1.0
INTERNAL_CONFIRMATION,trigger_horizon_ms_x,1000,99,83,9.231104898989902e-06,0.0,0.4747474747474747,1.0,1.0
INTERNAL_CONFIRMATION,volatility_regime_x,HIGH,91,75,6.465578164835164e-06,-6.679291e-06,0.4615384615384615,1.0,1.0
INTERNAL_CONFIRMATION,volatility_regime_x,LOW,475,301,4.6287935452631564e-06,5.665706e-06,0.5031578947368421,1.0,1.0
INTERNAL_CONFIRMATION,volatility_regime_x,NORMAL,2328,963,4.080411502147766e-06,0.0,0.4849656357388316,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,0,63,16,-2.2084997111111117e-05,0.0,0.492063492063492,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,1,126,34,9.870790523809526e-06,-5.086233e-06,0.4761904761904761,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,2,55,27,-1.130258327272727e-06,-3.325071e-06,0.4363636363636363,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,3,85,43,-7.837121835294117e-06,-1.3407881e-05,0.4,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,4,184,54,1.0940170266304343e-05,3.4039185000000003e-06,0.5054347826086957,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,5,96,48,8.389543333333332e-06,7.740687500000001e-06,0.53125,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,6,46,31,1.1022585239130433e-05,3.492608e-06,0.5,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,7,32,25,-6.266983437500001e-07,3.501658e-06,0.5,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,8,73,51,-8.29248880821918e-06,-3.490736e-06,0.3835616438356164,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,9,123,61,2.0621641463414447e-07,3.491334e-06,0.5203252032520326,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,10,277,69,5.001009314079419e-07,0.0,0.4873646209386281,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,11,253,76,9.764819972332018e-06,3.507658e-06,0.5098814229249012,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,12,67,43,3.911868402985075e-06,0.0,0.4925373134328358,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,13,51,37,-7.471473352941176e-06,-6.964758e-06,0.4313725490196078,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,14,59,42,-2.5720949152542363e-06,-5.677254e-06,0.4576271186440678,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,15,135,60,5.5848745925925926e-06,0.0,0.4740740740740741,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,16,261,73,1.2699226264367815e-05,6.639842e-06,0.5134099616858238,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,17,262,80,5.751034194656487e-06,3.318732e-06,0.5038167938931297,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,18,276,59,1.4965662884057973e-05,0.0,0.4963768115942029,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,19,118,51,1.138920872881357e-06,6.6319565e-06,0.5169491525423728,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,20,107,52,-1.354633081308411e-05,-6.955602e-06,0.4392523364485981,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,21,78,39,-1.2917281064102566e-05,0.0,0.4615384615384615,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,22,28,23,-7.162081821428572e-06,-6.9536435e-06,0.3214285714285714,1.0,1.0
INTERNAL_CONFIRMATION,server_hour,23,39,22,2.3484342461538464e-05,3.492016e-06,0.5128205128205128,1.0,1.0
INTERNAL_CONFIRMATION,weekday,0,996,315,-5.264604116465857e-07,0.0,0.4728915662650602,1.0,1.0
INTERNAL_CONFIRMATION,weekday,1,268,147,-4.965539589552242e-07,0.0,0.4626865671641791,1.0,1.0
INTERNAL_CONFIRMATION,weekday,2,449,165,7.668705873051226e-06,3.322872e-06,0.5033407572383074,1.0,1.0
INTERNAL_CONFIRMATION,weekday,3,511,196,9.306022295499025e-06,0.0,0.4951076320939334,1.0,1.0
INTERNAL_CONFIRMATION,weekday,4,670,272,7.082160037313434e-06,3.3169165e-06,0.5014925373134328,1.0,1.0
INTERNAL_CONFIRMATION,local_score,"(0.908, 2.556]",1274,697,2.631880649921508e-06,0.0,0.4819466248037676,1.0,1.0
INTERNAL_CONFIRMATION,local_score,"(2.556, 3.253]",778,470,9.127234800771209e-06,0.0,0.4974293059125964,1.0,1.0
INTERNAL_CONFIRMATION,local_score,"(3.253, 3.94]",466,307,4.012041969957082e-06,0.0,0.4763948497854077,1.0,1.0
INTERNAL_CONFIRMATION,local_score,"(3.94, 15.678]",376,225,-9.939802393616943e-08,0.0,0.4973404255319149,1.0,1.0
INTERNAL_CONFIRMATION,local_sigma_feature,"(-0.0009864000000000001, 1.57e-05]",897,534,6.282081070234111e-07,0.0,0.483835005574136,1.0,1.0
INTERNAL_CONFIRMATION,local_sigma_feature,"(1.57e-05, 1.66e-05]",438,262,3.118071529680366e-06,0.0,0.45662100456621,1.0,1.0
INTERNAL_CONFIRMATION,local_sigma_feature,"(1.66e-05, 2.17e-05]",1298,654,8.352040059322034e-06,0.0,0.49768875192604,1.0,1.0
INTERNAL_CONFIRMATION,local_sigma_feature,"(2.17e-05, 0.000109]",261,172,-1.854112931034483e-06,0.0,0.4980842911877394,1.0,1.0
INTERNAL_CONFIRMATION,noise_return,"(-0.00099339, 6.73e-06]",949,548,2.0277398946259185e-07,0.0,0.4805057955742887,1.0,1.0
INTERNAL_CONFIRMATION,noise_return,"(6.8e-06, 9.23e-06]",1327,639,7.978244511680482e-06,0.0,0.4822908816880181,1.0,1.0
INTERNAL_CONFIRMATION,noise_return,"(9.23e-06, 1.61e-05]",618,365,2.437992784789645e-06,6.793406e-06,0.5080906148867314,1.0,1.0
INTERNAL_CONFIRMATION,efficiency,"(-0.001, 1.0]",2894,1095,4.245418978576365e-06,0.0,0.4872149274360746,1.0,1.0
INTERNAL_CONFIRMATION,tick_intensity_ratio,"(-0.001, 1.0]",2668,1061,3.7714477713643175e-06,0.0,0.4868815592203898,1.0,1.0
INTERNAL_CONFIRMATION,tick_intensity_ratio,"(1.0, 3.0]",225,158,1.2547641244444448e-05,0.0,0.4933333333333333,1.0,1.0
INTERNAL_CONFIRMATION,move_spread_ratio,"(-0.001, 0.0278]",813,514,-4.013214255842552e-07,0.0,0.4637146371463714,1.0,1.0
INTERNAL_CONFIRMATION,move_spread_ratio,"(0.0278, 0.1]",937,579,6.763973375667023e-06,3.507855e-06,0.5133404482390609,1.0,1.0
INTERNAL_CONFIRMATION,move_spread_ratio,"(0.1, 0.315]",648,425,3.3599115879629625e-06,0.0,0.4691358024691358,1.0,1.0
INTERNAL_CONFIRMATION,move_spread_ratio,"(0.315, 4.133]",494,268,9.29162982793522e-06,3.4045765000000003e-06,0.5020242914979757,1.0,1.0
INTERNAL_CONFIRMATION,spread_ratio,"(0.373, 0.947]",508,323,8.81617949606299e-06,3.3265845e-06,0.5019685039370079,1.0,1.0
INTERNAL_CONFIRMATION,spread_ratio,"(0.947, 1.0]",1581,759,3.684586279569893e-06,0.0,0.4832384566729917,1.0,1.0
INTERNAL_CONFIRMATION,spread_ratio,"(1.0, 1.053]",310,226,1.305115268709677e-05,3.490938e-06,0.5161290322580645,1.0,1.0
INTERNAL_CONFIRMATION,spread_ratio,"(1.053, 10.115]",493,324,-4.446975348884382e-06,-3.319761e-06,0.4645030425963489,1.0,1.0
INTERNAL_CONFIRMATION,quote_age_ms,"(-0.001, 78.0]",604,387,4.002229526490067e-06,3.349245e-06,0.5049668874172185,1.0,1.0
INTERNAL_CONFIRMATION,quote_age_ms,"(78.0, 158.0]",670,422,4.368357873134328e-06,0.0,0.4597014925373134,1.0,1.0
INTERNAL_CONFIRMATION,quote_age_ms,"(158.0, 260.0]",628,388,1.7231290127388544e-06,0.0,0.4697452229299363,1.0,1.0
INTERNAL_CONFIRMATION,quote_age_ms,"(260.0, 500.0]",992,586,5.9072289264112905e-06,3.48779e-06,0.5060483870967742,1.0,1.0
