event_id,market_cluster_id,response_episode_id,mfe,mae,time_to_mfe_ms,time_to_mae_ms,origin_recross_msc,partition
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1,1,0,0.0135,0.025,65671,31329,1740999587677.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2,2,0,0.0175,0.0495,27921,112496,1740999645306.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3,3,0,0.0375,0.008,76246,4604,1740999661831.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4,4,0,0.007,0.0345,84092,116316,1740999764378.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6,5,0,0.0,0.087,0,115013,1740999845774.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5,5,0,0.0,0.0875,0,115263,1740999866308.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7,6,1,0.0165,0.0205,5722,114941,1741000200600.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8,7,2,0.0025,0.0165,1951,7851,1741000393603.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9,8,3,0.0035,0.0245,2214,86367,1741001033667.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10,9,4,0.041,0.0035,63805,5658,1741001738158.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001791750_11,10,4,0.0045,0.0325,119169,61241,1741001792745.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002078000_12,11,5,0.0075,0.0135,90284,33518,1741002078979.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741002364750_13,12,6,0.0075,0.029,16999,82136,1741002365017.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741002365000_14,12,6,0.0105,0.026,16749,81886,1741002365460.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614250_15,13,7,0.0375,0.0005,119873,7749,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614500_16,13,7,0.0335,0.0045,119623,7499,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013614750_17,13,7,0.0355,0.0025,119373,7249,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013930500_18,14,8,0.0805,0.0005,90502,998,1741013931498.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741013937500_19,15,8,0.0545,0.005,83502,13262,1741013944442.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014178500_20,16,9,0.005,0.0665,2523,98922,1741014179473.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014453500_21,17,10,0.0005,0.0575,568,71000,1741014454308.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014606000_22,18,11,0.0715,0.0005,59795,591,1741014606591.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714500_24,19,11,0.0445,0.0125,66832,7644,1741014715014.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014714250_23,19,11,0.0425,0.0145,67082,7894,1741014720392.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014782000_25,20,11,0.001,0.038,5413,110723,1741014782461.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014791750_26,21,11,0.0235,0.0115,100973,41828,1741014792620.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741014870250_27,22,11,0.008,0.06,9577,94657,1741014870538.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015012750_28,23,12,0.0135,0.055,15626,117559,1741015013250.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015032750_29,24,12,0.1025,0.0,116781,0,1741015034387.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015137500_30,25,12,0.092,0.0265,115489,60618,1741015187519.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015137750_31,25,12,0.086,0.0325,115239,60368,1741015183410.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015143750_32,26,12,0.076,0.0425,109239,54368,1741015144781.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015188250_33,27,12,0.0105,0.108,9868,64739,1741015190112.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015205000_34,28,12,0.077,0.001,47989,14651,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015205250_35,28,12,0.077,0.001,47739,14401,,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015247250_36,29,12,0.0345,0.0535,5739,109572,1741015248366.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015356500_37,30,12,0.0245,0.0215,120448,6578,1741015357312.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015358750_38,31,12,0.0135,0.036,4328,120778,1741015359409.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015603500_39,32,13,0.0635,0.0095,119722,52658,1741015605589.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741015656750_40,33,13,0.0015,0.0825,1033,85936,1741015657368.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016050750_41,34,14,0.0035,0.052,2467,96566,1741016062859.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741016051000_42,34,14,0.0075,0.048,2217,96316,1741016062859.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016191500_43,35,15,0.0195,0.006,53478,66361,1741016254672.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016211500_44,36,15,0.0155,0.0165,46361,101548,1741016212139.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016313250_45,37,15,0.0035,0.055,5390,98428,1741016313794.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016524750_46,38,16,0.0115,0.0425,3728,97838,1741016537693.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016712500_47,39,17,0.008,0.0245,11424,48194,1741016713471.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741016712750_48,39,17,0.0075,0.025,11174,47944,1741016713471.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741016960750_49,40,18,0.0685,0.018,97548,47567,1741017003747.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017127000_50,41,19,0.019,0.0305,42600,77808,1741017127246.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017467750_51,42,20,0.031,0.0185,17912,75374,1741017502178.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017484500_52,43,20,0.0145,0.0465,119387,58624,1741017485435.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741017545000_53,44,20,0.0425,0.0045,58887,30846,1741017575846.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1741017545250_54,44,20,0.04,0.007,58637,30596,1741017575846.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022591750_55,45,21,0.037,0.0435,28333,92498,1741022633678.0,DISCOVERY
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741022677000_56,46,21,0.001,0.0635,231,59927,1741022677790.0,DISCOVERY
