partition,outcome,effect,ci95_low,ci95_high,raw_p,episodes,bootstrap_replicates,mean_block,seed,adjusted_p_holm,supported
DISCOVERY,continuation_return_1000ms,-1.3145565086033266e-06,-2.399171903781155e-06,-2.2681035231871265e-07,0.01999800019998,2190,10000,4,20260828,0.07999200079992,False
DISCOVERY,continuation_return_3000ms,-1.3292222098570316e-06,-2.9964019346019523e-06,3.10043255100285e-07,0.1085891410858914,2190,10000,4,20260828,0.3257674232576742,False
DISCOVERY,continuation_return_10000ms,-4.226735844350868e-06,-7.1398908571924e-06,-1.2486951378483446e-06,0.0051994800519948,2190,10000,4,20260828,0.0311968803119688,False
DISCOVERY,continuation_return_30000ms,-3.0242496639601644e-06,-7.462972631643641e-06,1.566081879351902e-06,0.200979902009799,2190,10000,4,20260828,0.401959804019598,False
DISCOVERY,continuation_return_120000ms,-1.084636022000287e-05,-1.8965707234226243e-05,-2.4516556389824947e-06,0.010998900109989,2190,10000,4,20260828,0.054994500549945,False
DISCOVERY,barrier_10_probability_difference,-0.0093830792924494,-0.0442595345368924,0.0254869647483587,0.6033396660333966,2190,10000,4,20260828,0.6033396660333966,False
INTERNAL_CONFIRMATION,continuation_return_1000ms,-2.1730758503234234e-07,-1.6086770922713928e-06,1.183682668035967e-06,0.7737226277372263,1095,10000,4,20260828,1.0,False
INTERNAL_CONFIRMATION,continuation_return_3000ms,1.1114978134385353e-06,-7.90297222685397e-07,3.0129334180321744e-06,0.2511748825117488,1095,10000,4,20260828,1.0,False
INTERNAL_CONFIRMATION,continuation_return_10000ms,9.651564273253154e-07,-2.022106187827261e-06,4.046329301425487e-06,0.5337466253374663,1095,10000,4,20260828,1.0,False
INTERNAL_CONFIRMATION,continuation_return_30000ms,1.887489326884464e-06,-3.0586474256538084e-06,6.823267365284667e-06,0.4393560643935606,1095,10000,4,20260828,1.0,False
INTERNAL_CONFIRMATION,continuation_return_120000ms,-3.1860876198627843e-06,-1.205427470248984e-05,5.582644771627907e-06,0.4727527247275273,1095,10000,4,20260828,1.0,False
INTERNAL_CONFIRMATION,barrier_10_probability_difference,0.0192215840542734,-0.0343354003795017,0.0742716972522065,0.482951704829517,1095,10000,4,20260828,1.0,False
