partition,symbol,server_hour,horizon_ms,events,valid,mean_continuation,median_continuation,mean_absolute,mean_spread
DISCOVERY,AUDUSD,0,250,5,5,-4.60895654e-05,7.948904e-06,5.56324998e-05,0.00059
DISCOVERY,AUDUSD,0,500,5,5,3.5712799999999013e-08,7.951875e-06,2.5414008000000003e-05,0.0006
DISCOVERY,AUDUSD,0,1000,5,5,-4.13227538e-05,7.948904e-06,5.086568820000001e-05,0.000592
DISCOVERY,AUDUSD,0,2000,5,5,-3.49611778e-05,7.948904e-06,5.4046514200000007e-05,0.000584
DISCOVERY,AUDUSD,0,3000,5,5,-2.70088092e-05,7.948904e-06,6.51796328e-05,0.000578
DISCOVERY,AUDUSD,0,5000,5,5,-8.725392000000001e-05,-2.3846334e-05,0.000122246802,0.000562
DISCOVERY,AUDUSD,0,10000,5,5,-4.76135734e-05,1.5913051e-05,0.0001016795526,0.000652
DISCOVERY,AUDUSD,0,15000,5,5,-2.06167964e-05,1.5913051e-05,7.786365199999999e-05,0.0006739999999999
DISCOVERY,AUDUSD,0,30000,5,5,-3.1356868000000016e-06,0.0,6.040748520000001e-05,0.000676
DISCOVERY,AUDUSD,0,60000,5,5,1.5960834400000004e-05,7.1606736e-05,0.0001017264784,0.00062
DISCOVERY,AUDUSD,0,120000,5,5,8.2790321e-05,8.7441424e-05,0.0001367172738,0.000592
DISCOVERY,AUDUSD,1,250,17,17,-6.996265529411765e-06,-7.897241e-06,2.0032784117647058e-05,0.0002876470588235
DISCOVERY,AUDUSD,1,500,17,17,-2.318320647058824e-06,-0.0,2.2829089941176476e-05,0.0002782352941176
DISCOVERY,AUDUSD,1,1000,17,17,2.6887764705882205e-08,1.5664651e-05,2.890503952941177e-05,0.0002788235294117
DISCOVERY,AUDUSD,1,2000,17,17,1.1669115470588237e-05,7.964034e-06,3.4051858647058826e-05,0.0002758823529411
DISCOVERY,AUDUSD,1,3000,17,17,1.2150072470588237e-05,2.3892294e-05,4.569053117647059e-05,0.0002776470588235
DISCOVERY,AUDUSD,1,5000,17,17,9.803840235294117e-06,1.5664651e-05,4.150278447058824e-05,0.0002841176470588
DISCOVERY,AUDUSD,1,10000,17,17,7.971287470588235e-06,7.928296e-06,3.9634908999999993e-05,0.0002911764705882
DISCOVERY,AUDUSD,1,15000,17,17,-8.820226647058823e-06,7.933328e-06,9.746033288235294e-05,0.0002911764705882
DISCOVERY,AUDUSD,1,30000,17,17,-2.4698900529411765e-05,-2.3891532e-05,0.0001403607893529,0.0002864705882352
DISCOVERY,AUDUSD,1,60000,17,17,1.3526539117647056e-05,1.5664651e-05,0.0001385604957058,0.0002582352941176
DISCOVERY,AUDUSD,1,120000,17,17,7.66333125882353e-05,8.7270073e-05,0.0001922553571764,0.0002541176470588
DISCOVERY,AUDUSD,2,250,16,16,-1.1417298375e-05,-1.19003105e-05,1.9340763e-05,0.000224375
DISCOVERY,AUDUSD,2,500,16,16,-1.24074530625e-05,-1.19003105e-05,1.93343153125e-05,0.000224375
