comparison,feature,left_n,right_n,left_mean,right_mean,left_median,right_median,standardized_difference,p_value
CONT_SUCCESS_VS_FAIL,f01,696,9294,0.10524638495274855,-0.010776336387437264,0.091882398997,-0.034937414745,0.05903363691798897,0.43656638290557614
CONT_SUCCESS_VS_FAIL,f02,696,9294,0.02655329909030318,-0.009531640247599527,-0.139930890041,-0.015743516549,0.01317904770566427,0.7837973814533682
CONT_SUCCESS_VS_FAIL,f03,696,9294,0.010500453637951155,-0.002233190662078976,-0.013688675531,0.000689259605,0.027645054244841635,0.8643276544197966
CONT_SUCCESS_VS_FAIL,f04,696,9294,-0.006567331036709768,-0.0006525329703354864,-0.0035867653425,0.0022954852825,-0.020425116723687152,0.39977611315079153
CONT_SUCCESS_VS_FAIL,f05,696,9294,-0.04885057471264368,-0.01312674843985367,-1.0,-1.0,-0.03573290077284751,0.3633006774546258
CONT_SUCCESS_VS_FAIL,f06,696,9294,0.022988505747126436,0.018291370776845277,1.0,1.0,0.004696333591993875,0.9048545379933718
CONT_SUCCESS_VS_FAIL,f07,696,9294,-0.09482758620689655,-0.016139444803098774,-1.0,-1.0,-0.07884043600210365,0.04521212655919881
CONT_SUCCESS_VS_FAIL,f08,696,9294,0.06321839080459771,0.05595007531740908,1.0,1.0,0.0072784881079781495,0.8530490857586389
CONT_SUCCESS_VS_FAIL,f09,696,9294,0.031609195402298854,0.016354637400473424,1.0,1.0,0.015253496490726036,0.6978662787929852
CONT_SUCCESS_VS_FAIL,f10,696,9294,2.797946154022989e-05,2.8240324082203567e-06,-3.399747e-06,-3.499226e-06,0.07040631152221315,0.42691620772140637
CONT_SUCCESS_VS_FAIL,f11,696,9294,6.0556787790229895e-05,4.450639656445021e-06,1.8421974e-05,3.3371739999999997e-06,0.0956900096771068,0.03554990403584697
CONT_SUCCESS_VS_FAIL,f12,696,9294,7.676000215948276e-05,-9.248901847966425e-06,7.3349409e-05,3.487158e-06,0.10332098958355383,0.056385233752211675
CONT_SUCCESS_VS_FAIL,f13,696,9294,0.00018527752574999998,0.00017270296482408006,0.000155242296,0.0001413462915,0.02245713724715969,0.46351056922540523
CONT_SUCCESS_VS_FAIL,f14,696,9294,0.2394077434149382,0.280247296413616,0.2031377318335,0.236842105263,-0.21349315063934846,7.309752854508871e-07
CONT_SUCCESS_VS_FAIL,f15,696,9294,0.4733177986580373,0.5034092145442147,0.4743710164375,0.49885583524,-0.09971704247020242,0.010935321781916823
CONT_SUCCESS_VS_FAIL,f16,696,9294,0.03325957205861207,0.011618213643832795,0.033711532254999996,0.000254151883,0.9301354803173639,1.6473366227182018e-149
CONT_SUCCESS_VS_FAIL,f17,696,9294,0.0717735768671207,0.026813421620947058,0.076318598259,0.00056516002,0.9054337330618452,4.051925385998949e-132
CONT_SUCCESS_VS_FAIL,f18,696,9294,0.1177344905070115,0.04608896886412115,0.128903691563,0.000897619767,0.8939463282091087,4.471570817278018e-124
CONT_SUCCESS_VS_FAIL,f19,696,9294,0.0002510381802729885,0.00017952133055089306,0.00016797858,0.000126256377,0.2522509410185877,5.596195847115069e-10
CONT_SUCCESS_VS_FAIL,f20,696,9294,0.0002516384004568966,0.0001775858495639122,0.000199098576,0.00015383976899999998,0.47769970081210106,4.625231642153373e-41
CONT_SUCCESS_VS_FAIL,f21,696,9294,0.00023722629621551725,0.00016996833399580375,0.000202837412,0.000151569589,0.5316229372218761,1.4192630348316832e-54
CONT_SUCCESS_VS_FAIL,f22,696,9294,1.0371115074511796,1.0390717352343444,0.825016630964,0.873963917555,-0.002374353518473274,0.4730505033215281
CONT_SUCCESS_VS_FAIL,f23,696,9294,0.407059225039454,0.3669246479902833,0.144225757557,0.139483580825,0.04507818086144018,0.2427089981999525
CONT_SUCCESS_VS_FAIL,f24,696,9294,0.6061983656609196,0.594941124650312,0.65625,0.640625,0.036186325743744356,0.4487084562907322
CONT_SUCCESS_VS_FAIL,f25,696,9294,0.012763678160919539,0.0058108349472778134,0.017,0.00026,0.8029123266212589,2.399119585305222e-52
CONT_SUCCESS_VS_FAIL,f26,696,9294,0.5306624080496509,1.1172263957945239,0.453924325939,0.951120109083,-0.9446093596996058,2.925684093283233e-160
CONT_SUCCESS_VS_FAIL,f27,696,9294,0.8963370273803392,1.7479843291109147,0.7611135940065,1.463197593845,-0.8020941933608532,1.3444709284178107e-117
CONT_SUCCESS_VS_FAIL,f28,696,9294,144.41091954022988,96.7232623197762,144.5,89.0,0.9932033319830843,1.3286604908472982e-114
CONT_SUCCESS_VS_FAIL,f29,696,9294,345.96264367816093,341.62642565095763,263.0,248.0,0.0164190098998804,0.2853439272395316
CONT_SUCCESS_VS_FAIL,f30,696,9294,1.4252873563218391,1.4006886163115988,1.0,1.0,0.04458526698974048,0.26479251035981743
CONT_SUCCESS_VS_FAIL,f31,696,9294,0.39292251904525716,0.2391562406803755,0.185185185186,0.1,0.3066588248716157,2.0945229608302518e-22
CONT_SUCCESS_VS_FAIL,f32,696,9294,250.0,250.0,250.0,250.0,,1.0
CONT_SUCCESS_VS_FAIL,f33,696,9294,5.140804597701149,1.978803529158597,1.0,0.0,0.33597714827814745,6.247753737366542e-25
CONT_SUCCESS_VS_FAIL,f34,696,9294,0.3008314220679727,0.20940236900140682,0.0,0.0,0.16583117773335954,6.275641687404333e-07
CONT_SUCCESS_VS_FAIL,f35,696,9294,0.8649425287356322,0.8609855820959759,1.0,1.0,0.011502379544150123,0.7708537463967324
CONT_SUCCESS_VS_FAIL,f36,696,9294,0.07183908045977011,0.21217990101140521,1.0,1.0,-0.1421029017334478,0.0002683953673762175
REV_SUCCESS_VS_FAIL,f01,615,9375,-0.10010676520027315,0.003697266574980158,-0.075182517715,-0.016219010636,-0.052396322467641754,0.3798961277773807
REV_SUCCESS_VS_FAIL,f02,615,9375,-0.25514433938229275,0.009259498712082223,-0.233550327493,-0.001736760395,-0.09640839491642203,0.04641228722254094
REV_SUCCESS_VS_FAIL,f03,615,9375,-0.015236646315183733,-0.0004348182184010693,-0.006989474577,0.000125326843,-0.0312283489181422,0.5355997723810567
