path,classification,bytes,sha256,owning_commit
.gitignore,evidence,1143,4E1212D9D3B4EAEB0489F91333635BB06FB27FC68DE397FABA5D66E1358EA447,ce7d437f62ea88f31b81aae6a4b7255006d4da43
docs/devlog/2026-09-02-tickshock-step15g-economic-paths.md,evidence,835,72B846CF0C8BC4CED4FE9517E566C72839BED72F06063869ABD4FF4D1F252DF3,SELF
docs/research/tick_shock/15g_economic_path_candidate_registry.md,evidence,571,33B57CE637A107CF1FD593B053831A2F4C2976DB0C4D0FA7967E1493F2FEA388,SELF
docs/research/tick_shock/15g_economic_path_preanalysis.md,evidence,6331,43988C71216B98EB18D985ACA650600356A7C4C40E0DD0B1E7496E95346BC830,bca9e36f9f0d4dfc986562a344f68ab2a9eabd11
docs/research/tick_shock/15g_economic_path_results.md,evidence,5305,C92C1A66F03306AFBC6731AD3FDF75AC41EC4AE360747427E143C2CD37E5833C,70eb109dd629e2fa5e756f42c5439fbe75ec5e7f
docs/research/tick_shock/15g_economic_path_spec.md,evidence,1614,0DDA57592D4B9067AD6CBC4386C257A1B4F6D8B81B7BFF6188B2919D1D10E072,bca9e36f9f0d4dfc986562a344f68ab2a9eabd11
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.ex5,source,343488,B6BAC562CDDBBB4B0F2471737B3686BAC9BCDB2DFAAE9FDB5C3336B01F4C68BA,e9c2968660288c12af03dba770e519c8d012e010
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,source,209452,90495F34A63EBF46EB51E5C8A0ABD76FD7E881C4D8509D7ECBF7136AA107D385,e9c2968660288c12af03dba770e519c8d012e010
mql/Experts/tests/ExpectedValue_TickShock_EconomicPathHarness.ex5,source,39650,1D0BA3A95C6D3BFDB333152C3786BF6E6FE5E97D639AACDF95BBB723B0BBA4B6,SELF
mql/Experts/tests/ExpectedValue_TickShock_EconomicPathHarness.mq5,source,427,F9CBD862EC5A2930DEDD71C19DFB50EE2E05669CE57BD50909C7397D4796296E,8b8f85508ffe9fb4bbe474e0fd0636f5acf1ea4e
mql/Experts/tests/TickShockStep15GTestSupport.mqh,source,7914,D2B41524AAD535C258F140C4912992EB7470DDA3F8A71AE6233F7A15B7901DBD,e9c2968660288c12af03dba770e519c8d012e010
mql/Include/TickShock/TickShockEconomicPath.mqh,source,13424,1EC6D545F4280FB9E0107AEBEFECEACB910DC84B9187D0BCA6A9BFA8BF7BDCBB,e9c2968660288c12af03dba770e519c8d012e010
reports/analysis/tick_shock/step15g/analysis_summary.json,evidence,419,91D45CFD439C0BB27A1D0F483F851F45D75C271BA28927F216B87565421FCEC9,70eb109dd629e2fa5e756f42c5439fbe75ec5e7f
reports/analysis/tick_shock/step15g/class_counts.csv,evidence,442,860A362D55E3817DB3E3FA43AA7F986A458DA0955047E1D0D94917282F5D6EA3,70eb109dd629e2fa5e756f42c5439fbe75ec5e7f
reports/analysis/tick_shock/step15g/cost_evidence.csv,evidence,1137,6171BFA2BBCCB6C548FA2D8A2C42273E79654DDA72AC81BF96DFBF3FE2C5B94B,bca9e36f9f0d4dfc986562a344f68ab2a9eabd11
reports/analysis/tick_shock/step15g/existing_artifact_inventory.csv,evidence,1664,267302F9032D0359EE5CC2859417AEB893E4490347E6C3DDBFEF6C7C211FE46E,bca9e36f9f0d4dfc986562a344f68ab2a9eabd11
reports/analysis/tick_shock/step15g/feature_comparison.csv,evidence,19612,6252805A346DEE173069CFFF4125EEDFA624FE3DF8B4BBCB7EF9252BC4C82AAC,70eb109dd629e2fa5e756f42c5439fbe75ec5e7f
reports/analysis/tick_shock/step15g/final_qa.csv,evidence,269,C159CC41AD00F7AAB40BCCB4C3B3D4422C1636426941EF1910A90E50323C93AF,70eb109dd629e2fa5e756f42c5439fbe75ec5e7f
reports/analysis/tick_shock/step15g/first_passage_summary.csv,evidence,1396,C2E55FAE57FD43428CD6A2CEA1B8B7B7DF565B372D2806DD1BDDCE9E35E7E5D6,70eb109dd629e2fa5e756f42c5439fbe75ec5e7f
reports/analysis/tick_shock/step15g/importance_stability.csv,evidence,10754,F0BEA991FED13489AFEED9470880A9427B21A35BB1CDE3EDF61133A192F75369,70eb109dd629e2fa5e756f42c5439fbe75ec5e7f
