decision_seconds,horizon_seconds,episode_class,rows
60,300,CONT_ONLY,57
60,300,NEITHER,1574
60,300,REV_ONLY,44
60,600,CONT_ONLY,131
60,600,NEITHER,1423
60,600,REV_ONLY,121
60,900,CONT_ONLY,187
60,900,NEITHER,1317
60,900,REV_ONLY,171
120,300,CONT_ONLY,32
120,300,NEITHER,1596
120,300,REV_ONLY,27
120,600,CONT_ONLY,113
120,600,NEITHER,1442
120,600,REV_ONLY,100
120,900,CONT_ONLY,176
120,900,NEITHER,1327
120,900,REV_ONLY,152
