test,omitted,action,remaining_rows,remaining_expectancy
SYMBOL,AUDUSD,CONTINUATION,8019,-0.33633034738246664
SYMBOL,EURUSD,CONTINUATION,8874,-0.3346884117500563
SYMBOL,USDCAD,CONTINUATION,7680,-0.3467131823203125
SYMBOL,USDCHF,CONTINUATION,8700,-0.3367428951735632
SYMBOL,USDJPY,CONTINUATION,6687,-0.3447803296724989
DAY,2025-03-03,CONTINUATION,9924,-0.3398354035540105
DAY,2025-03-04,CONTINUATION,9609,-0.34019185918617967
DAY,2025-03-05,CONTINUATION,9348,-0.33294961383397514
DAY,2025-03-06,CONTINUATION,9309,-0.3385975292061446
DAY,2025-03-07,CONTINUATION,9321,-0.33664449051496625
DAY,2025-03-10,CONTINUATION,9405,-0.3341759237597023
DAY,2025-03-11,CONTINUATION,9339,-0.3428807964867759
DAY,2025-03-12,CONTINUATION,9444,-0.3354714789188903
DAY,2025-03-13,CONTINUATION,9387,-0.3371834035890061
DAY,2025-03-14,CONTINUATION,9552,-0.33937321879082916
DAY,2025-03-17,CONTINUATION,9618,-0.33919698395196507
DAY,2025-03-18,CONTINUATION,9609,-0.3397794298199605
DAY,2025-03-19,CONTINUATION,9537,-0.34350228217049383
DAY,2025-03-20,CONTINUATION,9543,-0.3437584760326941
DAY,2025-03-21,CONTINUATION,9624,-0.3388781315731505
DAY,2025-03-24,CONTINUATION,9567,-0.3439635334085921
DAY,2025-03-25,CONTINUATION,9687,-0.34041952473934134
DAY,2025-03-26,CONTINUATION,9504,-0.34217785128367
DAY,2025-03-27,CONTINUATION,9471,-0.34312081612923667
DAY,2025-03-28,CONTINUATION,9576,-0.33964303066207185
DAY,2025-03-31,CONTINUATION,9426,-0.3366866390239762
SYMBOL,AUDUSD,REVERSAL,8019,-0.35332540394188794
SYMBOL,EURUSD,REVERSAL,8874,-0.34709060675456394
SYMBOL,USDCAD,REVERSAL,7680,-0.3499643597317708
SYMBOL,USDCHF,REVERSAL,8700,-0.3488641280931034
SYMBOL,USDJPY,REVERSAL,6687,-0.32968841410198896
DAY,2025-03-03,REVERSAL,9924,-0.3447821095092704
DAY,2025-03-04,REVERSAL,9609,-0.3462531906212925
DAY,2025-03-05,REVERSAL,9348,-0.35103368384253314
DAY,2025-03-06,REVERSAL,9309,-0.3461597993232356
DAY,2025-03-07,REVERSAL,9321,-0.34796984891857097
DAY,2025-03-10,REVERSAL,9405,-0.35021246121743754
DAY,2025-03-11,REVERSAL,9339,-0.3456972275843238
DAY,2025-03-12,REVERSAL,9444,-0.35181405910736974
DAY,2025-03-13,REVERSAL,9387,-0.34970411560882075
DAY,2025-03-14,REVERSAL,9552,-0.34766355573492463
DAY,2025-03-17,REVERSAL,9618,-0.34551171438032857
DAY,2025-03-18,REVERSAL,9609,-0.34661386475803935
DAY,2025-03-19,REVERSAL,9537,-0.34183885495648525
DAY,2025-03-20,REVERSAL,9543,-0.3419688817583569
DAY,2025-03-21,REVERSAL,9624,-0.34683443911783046
DAY,2025-03-24,REVERSAL,9567,-0.34266351597784045
DAY,2025-03-25,REVERSAL,9687,-0.34530577608754
DAY,2025-03-26,REVERSAL,9504,-0.34427001998842593
DAY,2025-03-27,REVERSAL,9471,-0.34351711455918066
DAY,2025-03-28,REVERSAL,9576,-0.3456384364891395
DAY,2025-03-31,REVERSAL,9426,-0.348643905842351
