action,model,eligible_rows,selected_rows,coverage,spread_only_expectancy,stress_expectancy,bootstrap_low,bootstrap_high,positive_folds,total_folds,symbols,days,one_sided_p,formal_net_expectancy,cost_status,holm_alpha,holm_pass,candidate_gate,candidate_reason
CONTINUATION,SHALLOW_GB,8226,54,0.006564551422319475,0.05794414666666666,-0.03201191222222223,-0.7122474513106061,0.43974135028985495,1,3,2,7,0.8745272385027621,UNAVAILABLE,COST_MODEL_INCOMPLETE,0.0125,False,False,FORMAL_COMMISSION_UNAVAILABLE
REVERSAL,SHALLOW_GB,8226,42,0.005105762217359592,-0.1369866071428571,-0.2267786488095238,-1.1007440450000001,-0.0810510478805556,0,2,1,4,0.931923439074497,UNAVAILABLE,COST_MODEL_INCOMPLETE,0.016666666666666666,False,False,FORMAL_COMMISSION_UNAVAILABLE
CONTINUATION,ELASTIC_NET_LOGIT,8226,858,0.10430342815463166,-0.19351281645687643,-0.2836247143006993,-0.36889556404937207,-0.20480554033663526,0,5,5,17,0.991944617787608,UNAVAILABLE,COST_MODEL_INCOMPLETE,0.025,False,False,FORMAL_COMMISSION_UNAVAILABLE
REVERSAL,ELASTIC_NET_LOGIT,8226,1698,0.2064186725018235,-0.24875202005889283,-0.33862628537102474,-0.4187663117877998,-0.2703841420538103,0,5,4,15,0.9999999754196827,UNAVAILABLE,COST_MODEL_INCOMPLETE,0.05,False,False,FORMAL_COMMISSION_UNAVAILABLE
