action,model,feature,mean_importance,sd_importance,folds,positive_sign_folds,negative_sign_folds
CONTINUATION,ELASTIC_NET_LOGIT,f01,-0.044069800506773595,0.12133831534570272,5,2,1
CONTINUATION,ELASTIC_NET_LOGIT,f02,0.20985014793879503,0.15171394108930336,5,4,0
CONTINUATION,ELASTIC_NET_LOGIT,f03,-0.23091522645041831,0.24650435013864394,5,0,4
CONTINUATION,ELASTIC_NET_LOGIT,f04,0.038962583198363446,0.04114930047917274,5,3,0
CONTINUATION,ELASTIC_NET_LOGIT,f05,0.044050782429172916,0.042463988385461233,5,4,1
CONTINUATION,ELASTIC_NET_LOGIT,f06,0.18166949017005593,0.07976824452264358,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f07,0.04874664046366179,0.0515089718933699,5,3,0
CONTINUATION,ELASTIC_NET_LOGIT,f08,-0.0648934767906866,0.02730097580704219,5,0,5
CONTINUATION,ELASTIC_NET_LOGIT,f09,0.14073727539500747,0.047464895496131504,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f10,-0.09063128127231798,0.05621821630495254,5,0,4
CONTINUATION,ELASTIC_NET_LOGIT,f11,0.13134342622132342,0.10765565908614996,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f12,0.0674232021268936,0.12821916469456746,5,4,1
CONTINUATION,ELASTIC_NET_LOGIT,f13,-0.09695473361836979,0.04992331855992498,5,0,5
CONTINUATION,ELASTIC_NET_LOGIT,f14,-0.26693665242121434,0.052720034886681935,5,0,5
CONTINUATION,ELASTIC_NET_LOGIT,f15,-0.15010518282397928,0.15895769747137917,5,1,4
CONTINUATION,ELASTIC_NET_LOGIT,f16,0.17342553919875028,0.30585060940467323,5,4,1
CONTINUATION,ELASTIC_NET_LOGIT,f17,-0.28581100223414047,0.13458355911911357,5,0,5
CONTINUATION,ELASTIC_NET_LOGIT,f18,0.20326673581336857,0.1713592882619681,5,4,0
CONTINUATION,ELASTIC_NET_LOGIT,f19,-0.16295495084975714,0.16800303394235522,5,0,5
CONTINUATION,ELASTIC_NET_LOGIT,f20,0.0842162493990268,0.1075669984451246,5,4,1
CONTINUATION,ELASTIC_NET_LOGIT,f21,-0.03628782831767903,0.05424340175987751,5,1,3
CONTINUATION,ELASTIC_NET_LOGIT,f22,0.03959142975302451,0.09251525944353729,5,2,3
CONTINUATION,ELASTIC_NET_LOGIT,f23,-0.09948699432780964,0.09753001042701907,5,1,4
CONTINUATION,ELASTIC_NET_LOGIT,f24,0.0161797186897722,0.06859179180142978,5,3,1
CONTINUATION,ELASTIC_NET_LOGIT,f25,0.1060703610864487,0.16752764549442,5,3,1
CONTINUATION,ELASTIC_NET_LOGIT,f26,-1.8019538838961737,0.40437551190347065,5,0,5
CONTINUATION,ELASTIC_NET_LOGIT,f27,0.23704180224718016,0.1918900339602926,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f28,0.33711744285397355,0.1326655147411264,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f29,0.08805161406852738,0.039615221661890736,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f30,-0.05657230987065461,0.04991348161447032,5,1,4
CONTINUATION,ELASTIC_NET_LOGIT,f31,0.03450567580425608,0.07521466413418441,5,3,2
CONTINUATION,ELASTIC_NET_LOGIT,f32,0.0,0.0,5,0,0
CONTINUATION,ELASTIC_NET_LOGIT,f33,0.1386149764934027,0.09938505442464399,5,4,0
CONTINUATION,ELASTIC_NET_LOGIT,f34,0.07021860084842281,0.03877744677469918,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f35,0.050699441257688146,0.02673492527810606,5,5,0
CONTINUATION,ELASTIC_NET_LOGIT,f36,-0.08046148825377322,0.04082251415202107,5,0,5
CONTINUATION,SHALLOW_GB,f01,0.007425304661040431,0.009302920238225581,5,3,0
CONTINUATION,SHALLOW_GB,f02,0.0007206061978582204,0.0016113244434186444,5,1,0
CONTINUATION,SHALLOW_GB,f03,0.007581510976162703,0.005892365712760809,5,4,0
CONTINUATION,SHALLOW_GB,f04,0.0049977929476371,0.00801328709461161,5,2,0
CONTINUATION,SHALLOW_GB,f05,0.0,0.0,5,0,0
CONTINUATION,SHALLOW_GB,f06,0.0,0.0,5,0,0
CONTINUATION,SHALLOW_GB,f07,0.0,0.0,5,0,0
CONTINUATION,SHALLOW_GB,f08,0.0,0.0,5,0,0
CONTINUATION,SHALLOW_GB,f09,0.0,0.0,5,0,0
CONTINUATION,SHALLOW_GB,f10,0.0011367927012815437,0.001592786932600679,5,2,0
CONTINUATION,SHALLOW_GB,f11,0.0069572054326423795,0.007030427318075569,5,3,0
CONTINUATION,SHALLOW_GB,f12,0.0031831654556721788,0.0032175652125437126,5,3,0
CONTINUATION,SHALLOW_GB,f13,0.010189933031867802,0.010485360430422001,5,5,0
CONTINUATION,SHALLOW_GB,f14,0.014884250022644947,0.010002172265801246,5,5,0
CONTINUATION,SHALLOW_GB,f15,0.0013961975409961217,0.0031219926116853778,5,1,0
CONTINUATION,SHALLOW_GB,f16,0.029667047285822156,0.009427944719435985,5,5,0
CONTINUATION,SHALLOW_GB,f17,0.052757279210398654,0.038498653469683175,5,5,0
CONTINUATION,SHALLOW_GB,f18,0.037943788555640165,0.0389313305837739,5,5,0
CONTINUATION,SHALLOW_GB,f19,0.007065733623761927,0.010914133736978391,5,2,0
CONTINUATION,SHALLOW_GB,f20,0.045223624406767075,0.03829243314640037,5,4,0
CONTINUATION,SHALLOW_GB,f21,0.042701774485717235,0.02046240431511394,5,5,0
CONTINUATION,SHALLOW_GB,f22,0.008181660649384243,0.006039718062886849,5,5,0
