population,action,rows,tp,tp_rate,spread_only_expectancy,stress_expectancy
SHOCK,CONTINUATION,9990,696,0.06966966966966967,-0.2527144031941942,-0.33946507793493497
SHOCK,REVERSAL,9990,615,0.06156156156156156,-0.2597551708748748,-0.34636809511511507
MATCHED_CONTROL,CONTINUATION,0,0,,,
MATCHED_CONTROL,REVERSAL,0,0,,,
