action,model,fold,feature,importance,sign
CONTINUATION,ELASTIC_NET_LOGIT,0,f01,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,0,f02,0.10107357450947363,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f03,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,0,f04,0.08568761908999471,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f05,0.08060456325060823,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f06,0.2848117669301743,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f07,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,0,f08,-0.025175237453240962,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f09,0.06987132082189013,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f10,-0.133086617104795,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f11,0.20736113485466662,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f12,-0.11178840949215295,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f13,-0.11159114433557689,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f14,-0.3316113279008085,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f15,-0.18843513562009664,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f16,0.6023934017159961,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f17,-0.32785910269715746,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f18,0.07560710674635968,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f19,-0.32726571367971447,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f20,-0.08505850235770591,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f21,0.022146994946331915,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f22,0.18666159426056508,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f23,-0.2072237759978724,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f24,0.05866380421772815,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f25,-0.0940949921715494,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f26,-1.4561306360219037,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f27,0.200818812795511,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f28,0.17064635882509804,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f29,0.05665495461979776,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f30,-0.05936602210159696,-1
CONTINUATION,ELASTIC_NET_LOGIT,0,f31,0.10614335095574938,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f32,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,0,f33,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,0,f34,0.049072298901018004,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f35,0.03538496608910865,1
CONTINUATION,ELASTIC_NET_LOGIT,0,f36,-0.024740652382182395,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f01,-0.2601050457217206,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f02,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,1,f03,-0.023963496913081406,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f04,0.07765962758109698,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f05,0.08518567327189266,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f06,0.0862100812641065,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f07,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,1,f08,-0.09872386799545521,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f09,0.1967678548910283,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f10,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,1,f11,0.26788594649850006,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f12,0.02608742189406616,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f13,-0.13800120302431496,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f14,-0.24255489520096568,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f15,0.10497080802982323,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f16,0.37301235179593617,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f17,-0.4186327485704306,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f18,0.25959543261300544,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f19,-0.3654682399145868,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f20,0.09311121501809706,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f21,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,1,f22,0.07609271950367724,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f23,-0.05816281265827201,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f24,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,1,f25,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,1,f26,-2.4649299883996796,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f27,0.5678417493389483,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f28,0.31681080133134576,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f29,0.12913470440692773,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f30,-0.0548188139466746,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f31,-0.06946253201550677,-1
CONTINUATION,ELASTIC_NET_LOGIT,1,f32,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,1,f33,0.0895957399260088,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f34,0.1222669200554468,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f35,0.08624967284795085,1
CONTINUATION,ELASTIC_NET_LOGIT,1,f36,-0.06042605301379118,-1
CONTINUATION,ELASTIC_NET_LOGIT,2,f01,0.01099609127469575,1
CONTINUATION,ELASTIC_NET_LOGIT,2,f02,0.3052066068860075,1
CONTINUATION,ELASTIC_NET_LOGIT,2,f03,-0.28136243308294,-1
CONTINUATION,ELASTIC_NET_LOGIT,2,f04,0.0,0
CONTINUATION,ELASTIC_NET_LOGIT,2,f05,0.056176973195260424,1
CONTINUATION,ELASTIC_NET_LOGIT,2,f06,0.1252564326947303,1
CONTINUATION,ELASTIC_NET_LOGIT,2,f07,0.12209697772989897,1
CONTINUATION,ELASTIC_NET_LOGIT,2,f08,-0.061778096889351354,-1
