session,min_window_range_pips,max_ema13_distance_pips,min_upper_wick_share,max_lower_wick_share,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
all,22.0,12.0,0.45,0.15,184,0.6895959398789772,0.29870169082125547,0.6956521739130435,71,0.8183455396806338,-0.11909233176839476,0.4788732394366197,0.22673790948358305
all,15.0,12.0,0.45,0.15,186,0.6965748615120544,0.29450418160095526,0.6935483870967742,73,0.8413975267138912,-0.11940639269407079,0.4657534246575342,0.22573569373086222
all,18.0,12.0,0.45,0.15,185,0.6933437439000585,0.29117117117117064,0.6918918918918919,72,0.8298715331972625,-0.11890432098766054,0.4722222222222222,0.2252128553866154
all,22.0,18.0,0.45,0.15,240,0.8994729650595353,0.13034722222222123,0.6083333333333333,86,0.9912354424300636,-0.13630490956072913,0.47674418604651164,0.22271791342534103
all,15.0,18.0,0.45,0.15,242,0.906296325193103,0.1285123966942139,0.6074380165289256,88,1.0142874294633208,-0.13617424242424828,0.4659090909090909,0.22264614520390705
london_ny,15.0,18.0,0.5,0.1,104,0.3897716181924653,0.06191239316239215,0.5673076923076923,38,0.4802527646129542,0.10102339181285847,0.5789473684210527,0.2220574500442477
london_ny,18.0,18.0,0.5,0.1,104,0.3897716181924653,0.06191239316239215,0.5673076923076923,38,0.4802527646129542,0.10102339181285847,0.5789473684210527,0.2220574500442477
london_ny,22.0,18.0,0.5,0.1,104,0.3897716181924653,0.06191239316239215,0.5673076923076923,38,0.4802527646129542,0.10102339181285847,0.5789473684210527,0.2220574500442477
all,18.0,18.0,0.45,0.15,241,0.9032207690806168,0.1252650991240193,0.6058091286307054,87,1.0027614359466923,-0.13595146871009467,0.47126436781609193,0.22193590593452908
all,22.0,15.0,0.45,0.15,220,0.8245168846379074,0.1929545454545444,0.6363636363636364,80,0.9220794813302917,-0.1383333333333394,0.475,0.2205624678366695
all,15.0,15.0,0.45,0.15,222,0.8313958024498713,0.19039039039038932,0.6351351351351351,82,0.945131468363549,-0.1381436314363206,0.4634146341463415,0.22029082459309876
all,18.0,15.0,0.45,0.15,221,0.8282646886589888,0.18712921065862137,0.6334841628959276,81,0.9336054748469204,-0.13792866941015655,0.4691358024691358,0.21959866702066158
all,22.0,15.0,0.4,0.15,258,0.9669334374390005,0.13568044788974884,0.6162790697674418,90,1.0373394164965781,-0.17611111111111796,0.45555555555555555,0.21764228610967445
all,26.0,12.0,0.45,0.15,181,0.678352527815733,0.3000920810313073,0.6961325966850829,70,0.8068195461640052,-0.13349206349207024,0.4714285714285714,0.21756698017508774
london_ny,22.0,12.0,0.45,0.1,89,0.3335545578762444,0.26797752808988595,0.6629213483146067,35,0.4423380726698262,0.02777777777776918,0.5142857142857142,0.21738105603752397
all,22.0,12.0,0.4,0.15,213,0.7982822564903377,0.2300730307772555,0.6666666666666666,80,0.9220794813302917,-0.1515972222222298,0.4625,0.2170356407868486
london_ny,15.0,12.0,0.5,0.1,79,0.2960765176654304,0.24732770745428864,0.6582278481012658,33,0.41706161137440756,0.041919191919183814,0.5454545454545454,0.21500132833809438
