timestamp,symbol,direction,setup_id,state_before,state_after,event,reject_reason,pivot_time,confirmation_time,h4_prior_trend_valid,h4_protected_swing,h4_impulse_window_bars,h4_pre_impulse_atr,h4_normalized_move,h4_impulse_percentile,h4_directional_efficiency,h4_close_location,h4_impulse_score,h4_structure_break,h1_lower_high_count,h1_lower_low_count,h1_trend_bars,h1_trend_distance_atr,h1_leg_distances_atr,h1_trendline_point1,h1_trendline_point2,h1_trendline_price,h1_trendline_slope,h1_trendline_touches,h1_break_distance_atr,h1_wave1_origin,h1_wave1_provisional_extreme,m15_structure_direction,m15_protected_swing,m15_pattern_type,m15_bottom_or_top_1,m15_bottom_or_top_2,m15_neckline,m15_pattern_height_atr,m15_break_extension_atr,signal_close_price,requested_entry_price,filled_entry_price,sl_before_adjustment,sl_after_adjustment,tp,stop_distance,lot,planned_risk_money,actual_initial_risk_money,planned_rr,gross_result_r,net_result_r,estimated_cost_r,spread,slippage,required_margin,projected_margin_level,total_open_risk_percent,currency_direction_risk_percent,daily_drawdown_percent,weekly_drawdown_percent,equity_drawdown_percent,exit_time,exit_price,result_money,mfe_r,mae_r,exit_reason
"2024.01.04 12:00:00","GBPJPY","SHORT","GBPJPY|TW2F|SHORT|1704369600","IDLE","H4_IMPULSE_DETECTED","state_transition","h4_impulse_and_protected_structure_break","2023.12.27 16:00","2023.12.28 16:00","true","182.177","2","0.657","2.1244","96.80","0.6596","0.9768","1.3564","true","0","0","0","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.04 12:00:00","GBPJPY","SHORT","GBPJPY|TW2F|SHORT|1704369600","H4_IMPULSE_DETECTED","H1_STRUCTURE_RECONSTRUCTED","state_transition","closed_bar_reconstruction","2023.12.27 16:00","2023.12.28 16:00","true","182.177","2","0.657","2.1244","96.80","0.6596","0.9768","1.3564","true","0","0","0","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.04 16:00:00","GBPJPY","SHORT","GBPJPY|TW2F|SHORT|1704369600","H1_STRUCTURE_RECONSTRUCTED","INVALIDATED","state_transition","h4_opposite_structure_update","2023.12.27 16:00","2023.12.28 16:00","true","182.177","2","0.657","2.1244","96.80","0.6596","0.9768","1.3564","true","0","0","46","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.05 12:00:00","EURUSD","LONG","EURUSD|TW2F|LONG|1704456000","IDLE","H4_IMPULSE_DETECTED","state_transition","h4_impulse_and_protected_structure_break","2023.12.20 12:00","2023.12.21 04:00","true","1.09335","2","0.00255","1.5381","95.60","0.7206","0.1840","1.0596","true","0","0","0","0.0000","","","","0.00000","0.0000000000","0","0.0000","0.00000","0.00000","none","0.00000","NONE","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.00000","0.00000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.05 12:00:00","EURUSD","LONG","EURUSD|TW2F|LONG|1704456000","H4_IMPULSE_DETECTED","H1_STRUCTURE_RECONSTRUCTED","state_transition","closed_bar_reconstruction","2023.12.20 12:00","2023.12.21 04:00","true","1.09335","2","0.00255","1.5381","95.60","0.7206","0.1840","1.0596","true","0","0","0","0.0000","","","","0.00000","0.0000000000","0","0.0000","0.00000","0.00000","none","0.00000","NONE","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.00000","0.00000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.10 12:00:00","EURJPY","SHORT","EURJPY|TW2F|SHORT|1704888000","IDLE","H4_IMPULSE_DETECTED","state_transition","h4_impulse_and_protected_structure_break","2023.12.27 16:00","2023.12.30 00:00","true","158.372","3","0.508","2.2572","95.60","0.7057","0.9332","1.5227","true","0","0","0","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.10 12:00:00","EURJPY","SHORT","EURJPY|TW2F|SHORT|1704888000","H4_IMPULSE_DETECTED","H1_STRUCTURE_RECONSTRUCTED","state_transition","closed_bar_reconstruction","2023.12.27 16:00","2023.12.30 00:00","true","158.372","3","0.508","2.2572","95.60","0.7057","0.9332","1.5227","true","0","0","0","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.10 16:00:00","EURJPY","SHORT","EURJPY|TW2F|SHORT|1704888000","H1_STRUCTURE_RECONSTRUCTED","INVALIDATED","state_transition","h4_opposite_structure_update","2023.12.27 16:00","2023.12.30 00:00","true","158.372","3","0.508","2.2572","95.60","0.7057","0.9332","1.5227","true","0","0","23","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.10 20:00:00","EURJPY","SHORT","EURJPY|TW2F|SHORT|1704916800","IDLE","H4_IMPULSE_DETECTED","state_transition","h4_impulse_and_protected_structure_break","2023.12.27 16:00","2023.12.30 00:00","true","158.372","3","0.491","2.8937","97.20","0.7210","0.9437","2.0278","true","0","0","0","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
"2024.01.10 20:00:00","EURJPY","SHORT","EURJPY|TW2F|SHORT|1704916800","H4_IMPULSE_DETECTED","H1_STRUCTURE_RECONSTRUCTED","state_transition","closed_bar_reconstruction","2023.12.27 16:00","2023.12.30 00:00","true","158.372","3","0.491","2.8937","97.20","0.7210","0.9437","2.0278","true","0","0","0","0.0000","","","","0.000","0.0000000000","0","0.0000","0.000","0.000","none","0.000","NONE","0.000","0.000","0.000","0.0000","0.0000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.00000000","0.00","0.00","2.0000","","","0.0000","0.000","0.000","0.00","0.00","0.0000","0.0000","0.0000","0.0000","0.0000","","","","","",""
