Bucket,Trades,Wins,Losses,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses
high,958,382,576,39.87473903966597,1.4999077934500002,-1.0,-0.0031682911295407117,0.9947305157949654,40.5479070891,14
low,610,236,374,38.68852459016394,1.4999363080368642,-1.0,-0.03281152672672131,0.946483873520588,46.5095036079,12
middle,1280,479,801,37.421875,1.500031558475575,-1.0,-0.06444131522671873,0.8970226173655437,117.99432542159997,12
