Session,Direction,HTFTrendState,Trades,Wins,Losses,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses
asia,LONG,bearish,138,62,76,44.927536231884055,1.4999979493241935,-1.0,0.12318748447898552,1.2236825376065787,10.0033122843,8
asia,LONG,bullish,237,80,157,33.755274261603375,1.500532239875,-1.0,-0.15593848443037975,0.7646024152229299,49.4697913807,13
asia,LONG,flat,12,7,5,58.333333333333336,1.4998355188571428,-1.0,0.458237386,2.0997697264,3.0,3
asia,LONG,mixed,174,75,99,43.10344827586207,1.5003388831013333,-1.0,0.07773227719885059,1.1366203659858587,14.9988244743,6
asia,SHORT,bearish,135,59,76,43.7037037037037,1.499822325935593,-1.0,0.09251494244592592,1.164335753028947,11.505582942700002,10
asia,SHORT,bullish,225,92,133,40.888888888888886,1.4992488674347826,-1.0,0.021915092462222178,1.0370744045413534,40.5038544468,10
asia,SHORT,flat,5,1,4,20.0,1.4948453608,-1.0,-0.5010309278399999,0.3737113402,4.0,4
asia,SHORT,mixed,155,59,96,38.064516129032256,1.4992705909220336,-1.0,-0.04866474281032256,0.9214267173374998,13.9940465789,7
late_us,LONG,bearish,18,6,12,33.333333333333336,1.5002927692833332,-1.0,-0.16656907690555556,0.7501463846416666,4.0,4
late_us,LONG,bullish,27,6,21,22.22222222222222,1.5012194125666667,-1.0,-0.444173463874074,0.42891983216190477,11.992683524599999,9
late_us,LONG,mixed,17,4,13,23.529411764705884,1.500344352625,-1.0,-0.4116836817352941,0.46164441619230767,8.4986225895,6
late_us,SHORT,bearish,9,3,6,33.333333333333336,1.4997170345333333,-1.0,-0.16676098848888887,0.7498585172666666,5.0,5
late_us,SHORT,bullish,25,12,13,48.0,1.496792317525,-1.0,0.19846031241200002,1.3816544469461538,4.5033557047,4
late_us,SHORT,mixed,16,8,8,50.0,1.5001287620125,-1.0,0.25006438100625,1.5001287620125,4.0,4
london,LONG,bearish,108,37,71,34.25925925925926,1.5003635011756757,-1.0,-0.14339398570833328,0.7818795710352113,26.9965795762,14
london,LONG,bullish,148,55,93,37.16216216216216,1.500896805436364,-1.0,-0.0706126736554054,0.8876271430000002,19.4751140622,8
london,LONG,flat,15,8,7,53.333333333333336,1.49989793355,-1.0,0.3332788978933333,1.7141690669142857,4.0,4
london,LONG,mixed,103,42,61,40.77669902912621,1.500822828604762,-1.0,0.019752998071844653,1.0333534229737706,12.992515650000001,10
london,SHORT,bearish,88,33,55,37.5,1.4996952049515155,-1.0,-0.06261429814318181,0.8998171229709093,16.501558904,8
london,SHORT,bullish,171,72,99,42.10526315789474,1.5001673050097226,-1.0,0.052702023161988305,1.091030767279798,14.0,14
london,SHORT,flat,12,7,5,58.333333333333336,1.4991033757857142,-1.0,0.45781030254166666,2.0987447261,2.0,2
london,SHORT,mixed,120,31,89,25.833333333333332,1.4998336142935484,-1.0,-0.3542096496408334,0.5224139555404494,45.00515795690001,17
new_york,LONG,bearish,127,46,81,36.22047244094488,1.5003852685369565,-1.0,-0.094348642892126,0.8520706463296297,23.486396745900002,8
new_york,LONG,bullish,185,73,112,39.45945945945946,1.5000275531520546,-1.0,-0.01350264118864865,0.9776965301794641,13.492803942000002,9
new_york,LONG,flat,9,4,5,44.44444444444444,1.50074062525,-1.0,0.1114402778888889,1.2005925002,3.5,3
new_york,LONG,mixed,119,48,71,40.33613445378151,1.5003241256083333,-1.0,0.00853410108571427,1.0143036342140843,17.4894969469,5
new_york,SHORT,bearish,124,37,87,29.838709677419356,1.499636751364865,-1.0,-0.2541406467701613,0.6377765494310346,33.01115709450001,11
new_york,SHORT,bullish,188,77,111,40.95744680851064,1.4995329597103904,-1.0,0.023744882434574458,1.0402165576369373,14.9975340746,7
new_york,SHORT,flat,19,8,11,42.10526315789474,1.499706572775,-1.0,0.05250803064210525,1.0906956892909092,4.5,4
new_york,SHORT,mixed,119,45,74,37.81512605042017,1.4995601903844444,-1.0,-0.0547881633,0.9118947103689189,23.512916007599998,8
