Bucket,Trades,Wins,Losses,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses
CounterTrend,1000,404,596,40.4,1.4997556654522273,-1.0,0.009901288842699996,1.0166129007427849,48.0093138885,12
MixedTrend,895,347,548,38.770949720670394,1.4999918507766568,-1.0,-0.030729416514525154,0.9498123580647809,73.00909820090001,13
TrendFollow,953,346,607,36.306400839454355,1.5001919111046245,-1.0,-0.09227030299874081,0.8551341041881385,101.95533700009999,17
