Bucket,Trades,Wins,Losses,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses
bearish,747,283,464,37.88487282463186,1.4999928313346285,-1.0,-0.05288089522396254,0.9148663173872842,67.99267707890002,11
bullish,1206,467,739,38.72305140961858,1.4999351580668097,-1.0,-0.03194882353466002,0.947861595151827,61.0364561348,12
flat,72,35,37,48.611111111111114,1.4996347478542857,-1.0,0.21510022465138892,1.4185734101324323,8.0,6
mixed,823,312,511,37.91008505467801,1.5000319103993591,-1.0,-0.05223577637351157,0.9158707554688845,72.00714876480001,11
