Bucket,Trades,Wins,Losses,WinRate,AvgWinR,AvgLossR,ExpectancyR,ProfitFactor,MaxDD_R,MaxConsecutiveLosses
high,2188,868,1320,39.6709323583181,1.4999289047496531,-1.0,-0.008254895190722117,0.9863168858505295,76.5282783193,14
low,117,42,75,35.8974358974359,1.499515078397619,-1.0,-0.1027381769854701,0.8397284439026667,18.514314030999998,8
middle,543,187,356,34.43830570902394,1.5002510143796797,-1.0,-0.13895591217495384,0.7880532013735958,90.95452884109994,16
