entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,base_strength,quote_strength,strength_diff,strength_rank_base,strength_rank_quote,pair_momentum_h1,pair_momentum_h4,strength_alignment,pair_alignment,entry_type,pullback_depth_atr,overextended_flag,room_to_1r,room_to_2r,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.02 02:45:00,2025.01.02 02:51:03,currency_strength_pullback_room_to_2r,USDJPY,LONG,USD,JPY,1.98600,-1.02654,3.01254,1,5,2.16711,0.73355,true,true,strength_pullback_recovery,0.0000,false,4.8846,4.8846,pullback_failed,157.55200000,157.44500000,157.44800000,157.67700000,0.10400000,-1.0288,-25.15,0.00,0.00,-25.15,0.370,1.200,0,0.10407143,17.00,4.068,DEAL_REASON_SL,2
2025.01.02 03:30:00,2025.01.02 03:51:02,currency_strength_pullback_room_to_2r,USDJPY,LONG,USD,JPY,1.39823,-0.15962,1.55784,1,3,0.40226,0.73355,true,true,strength_pullback_recovery,0.6149,false,3.3615,3.3615,pullback_failed,157.62300000,157.49300000,157.49300000,157.78000000,0.13000000,-1.0000,-24.76,0.00,0.00,-24.76,0.300,1.200,1,0.13042857,19.00,2.130,DEAL_REASON_SL,4
2025.01.02 07:45:00,2025.01.02 08:12:01,currency_strength_pullback_room_to_2r,USDJPY,LONG,USD,JPY,1.06312,-0.85379,1.91691,2,5,-1.00542,2.22296,true,true,strength_pullback_recovery,0.6182,false,9.0722,9.0722,pullback_failed,157.18000000,157.08100000,157.08300000,157.29600000,0.09700000,-1.0206,-25.21,0.00,0.00,-25.21,0.400,1.200,1,0.09657143,19.00,3.119,DEAL_REASON_SL,6
2025.01.02 10:30:00,2025.01.02 10:48:31,currency_strength_pullback_room_to_2r,USDJPY,SHORT,USD,JPY,0.07154,1.22426,-1.15272,2,1,-3.84047,1.93609,true,true,strength_pullback_breakdown,0.7342,true,3.3161,3.3161,overextended_entry,156.52900000,156.68500000,156.68400000,156.34300000,0.15500000,-1.0065,-24.89,0.00,0.00,-24.89,0.250,1.200,1,0.15514286,17.00,1.785,DEAL_REASON_SL,8
2025.01.02 13:00:00,2025.01.02 15:07:19,currency_strength_pullback_room_to_2r,USDJPY,LONG,USD,JPY,3.21253,2.00489,1.20764,1,2,-0.40619,0.26183,true,true,strength_pullback_recovery,0.0000,false,4.2326,4.2326,pullback_failed,157.14500000,156.97300000,156.97300000,157.35100000,0.17200000,-1.0000,-24.11,0.00,0.00,-24.11,0.220,1.200,8,0.17164286,18.00,1.649,DEAL_REASON_SL,10
2025.01.02 17:45:00,2025.01.02 18:03:57,currency_strength_pullback_room_to_2r,USDJPY,LONG,USD,JPY,4.77177,1.69281,3.07896,1,2,1.22320,-0.39256,true,true,strength_pullback_recovery,0.5935,false,3.0739,3.0739,other,157.06200000,157.34600000,156.83200000,157.33900000,0.23000000,1.2348,28.88,0.00,0.00,28.88,0.160,1.200,1,0.23050000,18.00,3.530,DEAL_REASON_TP,12
2025.01.02 20:45:00,2025.01.02 22:25:18,currency_strength_pullback_room_to_2r,GBPJPY,SHORT,GBP,JPY,-5.41135,0.68873,-6.10008,5,3,-1.69346,-2.34632,true,true,strength_pullback_breakdown,0.0000,false,3.1653,3.1653,pullback_failed,194.92700000,195.16300000,195.16300000,194.64400000,0.23600000,-1.0000,-24.00,0.00,0.00,-24.00,0.160,1.200,6,0.23557143,38.00,7.255,DEAL_REASON_SL,15
2025.01.02 20:45:00,2025.01.03 01:45:00,currency_strength_pullback_room_to_2r,EURJPY,SHORT,EUR,JPY,-4.09015,0.68873,-4.77888,4,3,-1.47803,-1.72138,true,true,strength_pullback_breakdown,0.1645,false,3.3628,3.3628,pullback_failed,161.64300000,161.76000000,161.86900000,161.37200000,0.22600000,-0.5177,-12.64,0.00,-1.10,-13.74,0.170,1.200,20,0.22550000,31.00,5.779,DEAL_REASON_EXPERT,14
2025.01.02 21:00:00,2025.01.03 02:00:00,currency_strength_pullback_room_to_2r,EURUSD,SHORT,EUR,USD,-3.64061,4.00314,-7.64375,4,1,-3.08758,-2.60556,true,true,strength_pullback_breakdown,0.1855,false,2.2138,2.2138,pullback_failed,1.02556000,1.02688000,1.02701000,1.02382000,0.00145000,-0.9103,-22.44,0.00,0.46,-21.98,0.170,1.200,20,0.00145000,18.00,9.022,DEAL_REASON_EXPERT,16
2025.01.03 12:30:00,2025.01.03 13:05:37,currency_strength_pullback_room_to_2r,GBPUSD,SHORT,GBP,USD,-0.98847,1.10183,-2.09030,5,1,1.04575,-2.57293,true,true,strength_pullback_breakdown,0.7987,false,3.8529,3.8529,pullback_failed,1.23904000,1.24006000,1.24006000,1.23781000,0.00102000,-1.0000,-24.48,0.00,0.00,-24.48,0.240,1.200,2,0.00102286,20.00,2.876,DEAL_REASON_SL,20
2025.01.03 12:45:00,2025.01.03 13:37:51,currency_strength_pullback_room_to_2r,USDJPY,LONG,USD,JPY,1.10183,-0.20202,1.30386,1,3,0.10141,0.77076,true,true,strength_pullback_recovery,0.6657,false,4.3419,4.3419,pullback_failed,157.33300000,157.21500000,157.21600000,157.47300000,0.11700000,-1.0085,-24.77,0.00,0.00,-24.77,0.330,1.200,3,0.11657143,16.00,1.925,DEAL_REASON_SL,21
2025.01.03 19:00:00,2025.01.03 21:36:22,currency_strength_pullback_room_to_2r,GBPUSD,LONG,GBP,USD,0.80740,-0.07328,0.88068,2,3,1.59625,-0.40168,true,true,strength_pullback_recovery,0.0000,false,11.6250,11.6250,other,1.24187000,1.24312000,1.24083000,1.24312000,0.00104000,1.2019,28.75,0.00,0.00,28.75,0.230,1.200,10,0.00104500,20.00,2.241,DEAL_REASON_TP,24
