entry_time,exit_time,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,entry_pattern,entry_trigger,neckline_level,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_r,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,target_reward_multiple,target_price,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,failure_type,session_invalidated,invalidation_reason,exit_reason,position_id
2025.01.02 03:15:00,2025.01.02 05:09:06,tokyo_first120_reference,USDJPY,LONG,2025.01.02 03:00:00,3,0,9,tokyo,2025.01.02 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,157.52500000,157.58700000,157.54333333,157.58700000,session_high,0.0688,false,true,true,false,1.50,158.08600000,157.56300000,157.21000000,157.21400000,158.08600000,0.34900000,-1.0115,-24.70,0.00,0.00,-24.70,0.110,1.499,7,0.12671429,16.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,2
2025.01.09 03:15:00,2025.01.09 06:13:27,tokyo_first120_reference,USDJPY,SHORT,2025.01.09 03:00:00,3,0,9,tokyo,2025.01.09 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,158.21800000,158.21228571,158.13700000,158.13700000,h1_confirmed_swing_low,0.1783,false,true,true,false,1.50,157.83300000,158.17800000,157.83300000,158.40800000,157.83300000,0.23000000,1.5000,37.16,0.00,0.00,37.16,0.170,1.500,11,0.08714286,16.00,4.700,other,false,not_invalidated,DEAL_REASON_TP,4
2025.01.14 03:15:00,2025.01.14 09:15:00,tokyo_first120_reference,USDJPY,LONG,2025.01.14 03:00:00,3,0,9,tokyo,2025.01.14 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,157.44600000,157.52020000,157.44600000,157.52020000,recent_equal_highs,0.1063,false,true,true,false,1.50,158.07300000,157.47800000,157.37400000,157.08100000,158.07300000,0.39700000,-0.2620,-5.95,0.00,0.00,-5.95,0.090,1.499,24,0.15428571,16.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_EXPERT,6
2025.01.16 03:15:00,2025.01.16 03:47:05,tokyo_first120_reference,USDJPY,SHORT,2025.01.16 03:00:00,3,0,9,tokyo,2025.01.16 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,156.18500000,156.16300000,156.00300000,156.00300000,current_day_low,0.3066,false,true,true,false,1.50,155.58700000,156.11000000,155.57800000,156.45900000,155.58700000,0.34900000,1.5244,37.61,0.00,0.00,37.61,0.110,1.499,2,0.11628571,18.00,4.700,other,false,not_invalidated,DEAL_REASON_TP,8
2025.01.20 03:15:00,2025.01.20 09:15:00,tokyo_first120_reference,USDJPY,SHORT,2025.01.20 03:00:00,3,0,9,tokyo,2025.01.20 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,156.04800000,155.97600000,155.85600000,155.85600000,current_day_low,0.1209,false,true,true,false,1.50,155.27400000,155.90700000,156.25700000,156.32900000,155.27400000,0.42200000,-0.8294,-20.16,0.00,0.00,-20.16,0.090,1.500,24,0.14064286,21.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_EXPERT,10
2025.01.22 03:15:00,2025.01.22 05:20:37,tokyo_first120_reference,USDJPY,LONG,2025.01.22 03:00:00,3,0,9,tokyo,2025.01.22 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,155.51800000,155.55224000,155.51800000,155.55224000,recent_equal_highs,0.0177,false,true,true,false,1.50,155.82400000,155.54900000,155.83100000,155.36600000,155.82400000,0.18300000,1.5410,38.00,0.00,0.00,38.00,0.210,1.503,8,0.13600000,16.00,4.700,other,false,not_invalidated,DEAL_REASON_TP,12
2025.01.27 03:15:00,2025.01.27 05:46:17,tokyo_first120_reference,USDJPY,SHORT,2025.01.27 03:00:00,3,0,9,tokyo,2025.01.27 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,155.45400000,155.45400000,155.38200000,155.38200000,pre_session_low,0.0286,false,true,true,false,1.50,154.76600000,155.39400000,155.81500000,155.81300000,154.76600000,0.41900000,-1.0048,-24.32,0.00,0.00,-24.32,0.090,1.499,10,0.16028571,17.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,14
2025.01.28 03:15:00,2025.01.28 09:15:00,tokyo_first120_reference,EURJPY,LONG,2025.01.28 03:00:00,3,0,9,tokyo,2025.01.28 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,162.01100000,162.50000000,162.37100000,162.50000000,round_number,0.2112,false,false,true,false,1.50,163.18900000,162.38700000,162.53200000,161.85200000,163.18900000,0.53500000,0.2710,6.51,0.00,0.00,6.51,0.070,1.499,24,0.17828571,30.00,4.700,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,16
2025.01.29 03:15:00,2025.01.29 05:24:54,tokyo_first120_reference,USDJPY,LONG,2025.01.29 03:00:00,3,0,9,tokyo,2025.01.29 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,155.62600000,155.75100000,155.64200000,155.75100000,h1_confirmed_swing_high,0.0440,false,true,true,false,1.50,156.11600000,155.74000000,155.49000000,155.49000000,156.11600000,0.25000000,-1.0000,-24.12,0.00,0.00,-24.12,0.150,1.504,8,0.08350000,16.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,18
2025.01.31 03:15:00,2025.01.31 07:10:41,tokyo_first120_reference,USDJPY,SHORT,2025.01.31 03:00:00,3,0,9,tokyo,2025.01.31 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,154.15500000,154.14900000,154.04100000,154.04100000,session_low,0.1561,false,true,true,false,1.50,153.49000000,154.10500000,154.51900000,154.51500000,153.49000000,0.41000000,-1.0098,-24.11,0.00,0.00,-24.11,0.090,1.500,15,0.13885714,16.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,20
2025.02.03 03:15:00,2025.02.03 09:15:00,tokyo_first120_reference,EURUSD,SHORT,2025.02.03 03:00:00,3,0,9,tokyo,2025.02.03 00:00,0,first_120min,true,true,3,EURUSD,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,1.02340000,1.02377000,1.02340000,1.02340000,neckline_level,0.0100,false,true,true,false,1.50,1.01742000,1.02344000,1.02446000,1.02745000,1.01742000,0.00401000,-0.2544,-6.12,0.00,0.00,-6.12,0.060,1.501,24,0.00263714,18.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_EXPERT,22
2025.02.04 03:15:00,2025.02.04 07:05:04,tokyo_first120_reference,EURJPY,SHORT,2025.02.04 03:00:00,3,0,9,tokyo,2025.02.04 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,double_top,neckline_break_retest,160.25100000,160.25100000,160.14600000,160.14600000,session_low,0.0036,false,true,true,false,1.50,159.73200000,160.14700000,159.73000000,160.42400000,159.73200000,0.27700000,1.5054,35.08,0.00,0.00,35.08,0.130,1.498,15,0.16550000,30.00,4.400,other,false,not_invalidated,DEAL_REASON_TP,24
2025.02.07 03:15:00,2025.02.07 09:00:58,tokyo_first120_reference,USDJPY,LONG,2025.02.07 03:00:00,3,0,9,tokyo,2025.02.07 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,151.48400000,151.52400000,151.48400000,151.52400000,current_day_high,0.0190,false,true,true,false,1.50,151.83700000,151.52000000,151.84100000,151.30900000,151.83700000,0.21100000,1.5213,38.05,0.00,0.00,38.05,0.180,1.502,23,0.14700000,22.00,4.700,other,false,not_invalidated,DEAL_REASON_TP,26
2025.02.10 03:15:00,2025.02.10 09:15:00,tokyo_first120_reference,USDJPY,LONG,2025.02.10 03:00:00,3,0,9,tokyo,2025.02.10 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,151.88100000,152.00000000,151.90800000,152.00000000,round_number,0.0791,false,true,true,false,1.50,152.64600000,151.96400000,151.96700000,151.50900000,152.64600000,0.45500000,0.0066,0.16,0.00,0.00,0.16,0.080,1.499,24,0.18628571,16.00,4.700,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,28
2025.02.13 03:15:00,2025.02.13 04:29:07,tokyo_first120_reference,USDJPY,LONG,2025.02.13 03:00:00,3,0,9,tokyo,2025.02.13 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,154.46100000,154.54700000,154.49100000,154.54700000,pre_session_high,0.0139,false,true,true,false,1.50,155.08300000,154.54200000,154.18000000,154.18100000,155.08300000,0.36100000,-1.0028,-23.48,0.00,0.00,-23.48,0.100,1.499,4,0.12021429,17.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,30
2025.02.14 03:15:00,2025.02.14 05:07:27,tokyo_first120_reference,USDJPY,SHORT,2025.02.14 03:00:00,3,0,9,tokyo,2025.02.14 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,152.57700000,152.56700000,152.50000000,152.50000000,round_number,0.0553,false,true,true,false,1.50,151.84700000,152.52500000,152.98200000,152.97700000,151.84700000,0.45200000,-1.0111,-23.90,0.00,0.00,-23.90,0.080,1.500,7,0.15071429,21.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,32
2025.02.17 03:15:00,2025.02.17 09:15:00,tokyo_first120_reference,USDJPY,SHORT,2025.02.17 03:00:00,3,0,9,tokyo,2025.02.17 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,151.89900000,151.78300000,151.74100000,151.74100000,current_day_low,0.0875,false,true,true,false,1.50,151.20900000,151.77400000,151.64300000,152.15100000,151.20900000,0.37700000,0.3475,8.64,0.00,0.00,8.64,0.100,1.499,24,0.12550000,22.00,4.700,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,34
2025.02.18 03:15:00,2025.02.18 09:15:00,tokyo_first120_reference,USDJPY,LONG,2025.02.18 03:00:00,3,0,9,tokyo,2025.02.18 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,151.64400000,151.67300000,151.64400000,151.67300000,recent_equal_highs,0.0054,false,true,true,false,1.50,152.22500000,151.67100000,151.82400000,151.30200000,152.22500000,0.36900000,0.4146,10.08,0.00,0.00,10.08,0.100,1.501,24,0.12300000,17.00,4.700,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,36
2025.02.21 03:15:00,2025.02.21 04:29:50,tokyo_first120_reference,USDJPY,LONG,2025.02.21 03:00:00,3,0,9,tokyo,2025.02.21 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,149.81400000,149.89200000,149.81400000,149.89200000,failed_breakout_level,0.0846,false,true,true,false,1.50,150.56200000,149.85200000,150.56400000,149.37900000,150.56200000,0.47300000,1.5053,37.83,0.00,0.00,37.83,0.080,1.501,4,0.15771429,16.00,4.700,other,false,not_invalidated,DEAL_REASON_TP,38
