feature,near_miss_group,m5_invalidation_quality_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,post_break_hold_bucket,retest_quality_bucket,m5_corrective_exhaustion_bucket,m15_wave2_completion_quality_bucket,m15_wave2_depth_bucket,target_room_bucket,sma75_granville_quality_bucket,entry_pattern,symbol,direction,session_label
m5_invalidation_quality_bucket,A_required_light_pass,none,11,5,0.45454545454545453,72.67,133.69,-61.02,2.19092100950508,3.2182000000000004,0.2925636363636364,2.213636535052985,47.03,0.4703,1.5451839251541568,0,0.0,4,0.36363636363636365,7,0.6363636363636364,0.8005363636363636,0.4864636363636363,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,A_required_light_pass,normal,1,1,1.0,29.17,29.17,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,A_required_light_pass,strong,2,2,1.0,37.74,37.74,0,inf,1.7651999999999999,0.8825999999999999,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,0.9671,0.43845,1.0,0.5,0.5,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,A_required_light_pass,very_strong,2,0,0.0,-27.83,0,-27.83,0.0,-1.3059,-0.65295,0.0,27.83,0.2783,-1.0,1,0.5,0,0.0,1,0.5,0.11565,0.65295,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,B_reject_mfe1_winner,none,10,10,1.0,192.51999999999998,192.51999999999998,0,inf,8.614700000000001,0.8614700000000001,inf,0.0,0.0,inf,0,0.0,5,0.5,5,0.5,1.2221699999999998,0.39211000000000007,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,B_reject_mfe1_winner,normal,1,1,1.0,1.05,1.05,0,inf,0.0454,0.0454,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.1443,0.5959,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,B_reject_mfe1_winner,strong,1,1,1.0,31.02,31.02,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.1842,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,1,1,1.0,29.17,29.17,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0,failed_1bar,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,1,1,1.0,28.77,28.77,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.4755,1.0,1.0,1.0,0.0,0.0,failed_2bars,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,2,1,0.5,2.4700000000000006,8.97,-6.5,1.3800000000000001,0.1603,0.08015,1.5240274599542334,6.5,0.065,0.3800000000000001,0,0.0,0,0.0,2,1.0,0.3784,0.35365,0.5,0.0,0.0,0.0,0.0,held_clean,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,1,0,0.0,-21.33,0,-21.33,0.0,-1.0,-1.0,0.0,21.33,0.2133,-1.0,1,1.0,0,0.0,0,0.0,0.1097,1.0,0.0,0.0,0.0,0.0,0.0,no_following_closed_bar,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,11,5,0.45454545454545453,72.67,133.69,-61.02,2.19092100950508,3.2182000000000004,0.2925636363636364,2.213636535052985,47.03,0.4703,1.5451839251541568,0,0.0,4,0.36363636363636365,7,0.6363636363636364,0.8005363636363636,0.4864636363636363,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,none,,,,,,,,,,
post_break_hold_bucket,B_reject_mfe1_winner,,2,2,1.0,32.07,32.07,0,inf,1.3444,0.6722,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,1.22165,0.39005,1.0,1.0,1.0,0.0,0.0,held_clean,,,,,,,,,,
post_break_hold_bucket,B_reject_mfe1_winner,,10,10,1.0,192.51999999999998,192.51999999999998,0,inf,8.614700000000001,0.8614700000000001,inf,0.0,0.0,inf,0,0.0,5,0.5,5,0.5,1.2221699999999998,0.39211000000000007,1.0,1.0,1.0,0.0,0.0,none,,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,2,1,0.5,22.67,29.17,-6.5,4.487692307692308,0.9976,0.4988,4.261196469434456,6.5,0.065,3.487692307692308,0,0.0,1,0.5,1,0.5,0.71255,0.3981,0.5,0.5,0.5,0.5,0.0,,clean_retest,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,1,0,0.0,-21.33,0,-21.33,0.0,-1.0,-1.0,0.0,21.33,0.2133,-1.0,1,1.0,0,0.0,0,0.0,0.1097,1.0,0.0,0.0,0.0,0.0,0.0,,no_retest,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,11,5,0.45454545454545453,72.67,133.69,-61.02,2.19092100950508,3.2182000000000004,0.2925636363636364,2.213636535052985,47.03,0.4703,1.5451839251541568,0,0.0,4,0.36363636363636365,7,0.6363636363636364,0.8005363636363636,0.4864636363636363,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,,none,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,1,1,1.0,8.97,8.97,0,inf,0.4662,0.4662,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.6352,0.4014,1.0,0.0,0.0,0.0,0.0,,strong_retest,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,1,1,1.0,28.77,28.77,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.4755,1.0,1.0,1.0,0.0,0.0,,weak_retest,,,,,,,,,
retest_quality_bucket,B_reject_mfe1_winner,,2,2,1.0,32.07,32.07,0,inf,1.3444,0.6722,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,1.22165,0.39005,1.0,1.0,1.0,0.0,0.0,,clean_retest,,,,,,,,,
retest_quality_bucket,B_reject_mfe1_winner,,10,10,1.0,192.51999999999998,192.51999999999998,0,inf,8.614700000000001,0.8614700000000001,inf,0.0,0.0,inf,0,0.0,5,0.5,5,0.5,1.2221699999999998,0.39211000000000007,1.0,1.0,1.0,0.0,0.0,,none,,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,2,0,0.0,-34.55,0,-34.55,0.0,-1.5960999999999999,-0.7980499999999999,0.0,34.55,0.3455,-1.0,1,0.5,0,0.0,1,0.5,0.23095000000000002,0.9384,0.0,0.0,0.0,0.0,0.0,,,mild_exhaustion,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,8,3,0.375,3.59,51.230000000000004,-47.64,1.075356842989085,0.3241999999999998,0.04052499999999998,1.1567319313512205,38.67,0.38670000000000004,0.09283682441168864,0,0.0,1,0.125,7,0.875,0.648925,0.440225,0.625,0.375,0.25,0.125,0.0,,,no_shrink,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,1,1,1.0,27.95,27.95,0,inf,1.3057,1.3057,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3599,0.0064,1.0,1.0,1.0,1.0,0.0,,,none,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,5,4,0.8,114.76,121.42,-6.66,18.23123123123123,4.9472000000000005,0.9894400000000001,17.884641638225258,6.659999999999997,0.06659999999999996,17.23123123123124,0,0.0,4,0.8,1,0.2,1.05234,0.52384,0.8,0.8,0.8,0.6,0.0,,,strong_exhaustion,,,,,,,,
m5_corrective_exhaustion_bucket,B_reject_mfe1_winner,,3,3,1.0,89.02,89.02,0,inf,3.8885000000000005,1.296166666666667,inf,0.0,0.0,inf,0,0.0,3,1.0,0,0.0,1.296166666666667,0.2796,1.0,1.0,1.0,0.0,0.0,,,no_shrink,,,,,,,,
m5_corrective_exhaustion_bucket,B_reject_mfe1_winner,,4,4,1.0,82.22,82.22,0,inf,3.6465,0.911625,inf,0.0,0.0,inf,0,0.0,2,0.5,2,0.5,1.180425,0.45930000000000004,1.0,1.0,1.0,0.0,0.0,,,none,,,,,,,,
m5_corrective_exhaustion_bucket,B_reject_mfe1_winner,,5,5,1.0,53.35,53.35,0,inf,2.4241,0.48482000000000003,inf,0.0,0.0,inf,0,0.0,1,0.2,4,0.8,1.21096,0.40503999999999996,1.0,1.0,1.0,0.0,0.0,,,strong_exhaustion,,,,,,,,
m15_wave2_completion_quality_bucket,A_required_light_pass,,5,2,0.4,28.569999999999997,62.44,-33.870000000000005,1.8435193386477706,1.1474000000000002,0.22948000000000005,1.774380778835122,33.870000000000005,0.3387,0.8435193386477707,0,0.0,2,0.4,3,0.6,0.7324200000000001,0.63402,0.6,0.4,0.4,0.4,0.0,,,,good,,,,,,,
m15_wave2_completion_quality_bucket,A_required_light_pass,,11,6,0.5454545454545454,83.18,138.16,-54.98,2.512913786831575,3.8335999999999997,0.3485090909090909,2.5483662506563274,27.83,0.2783,2.988860941430112,1,0.09090909090909091,4,0.36363636363636365,6,0.5454545454545454,0.7829818181818182,0.44128181818181816,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.0,,,,strong,,,,,,,
m15_wave2_completion_quality_bucket,B_reject_mfe1_winner,,5,5,1.0,125.83,125.83,0,inf,5.586399999999999,1.1172799999999998,inf,0.0,0.0,inf,0,0.0,4,0.8,1,0.2,1.2828,0.41362,1.0,1.0,1.0,0.0,0.0,,,,good,,,,,,,
m15_wave2_completion_quality_bucket,B_reject_mfe1_winner,,2,2,1.0,23.06,23.06,0,inf,1.0478,0.5239,inf,0.0,0.0,inf,0,0.0,0,0.0,2,1.0,1.0615,0.4667,1.0,1.0,1.0,0.0,0.0,,,,poor,,,,,,,
m15_wave2_completion_quality_bucket,B_reject_mfe1_winner,,2,2,1.0,14.3,14.3,0,inf,0.6556,0.3278,inf,0.0,0.0,inf,0,0.0,0,0.0,2,1.0,1.1600000000000001,0.5743,1.0,1.0,1.0,0.0,0.0,,,,strong,,,,,,,
m15_wave2_completion_quality_bucket,B_reject_mfe1_winner,,3,3,1.0,61.39999999999999,61.39999999999999,0,inf,2.6693,0.8897666666666666,inf,0.0,0.0,inf,0,0.0,2,0.6666666666666666,1,0.3333333333333333,1.2693333333333332,0.1837,1.0,1.0,1.0,0.0,0.0,,,,weak,,,,,,,
m15_wave2_depth_bucket,A_required_light_pass,,2,0,0.0,-19.880000000000003,0,-19.880000000000003,0.0,-0.8891,-0.44455,0.0,19.880000000000003,0.19880000000000003,-1.0,0,0.0,0,0.0,2,1.0,0.18685000000000002,0.636,0.0,0.0,0.0,0.0,0.0,,,,,deep_618_786,,,,,,
m15_wave2_depth_bucket,A_required_light_pass,,10,6,0.6,89.68,138.16,-48.48,2.84983498349835,4.1395,0.41395,2.9076036866359454,21.33,0.2133,4.204406938584154,1,0.1,4,0.4,5,0.5,0.8491199999999999,0.45481999999999995,0.7,0.6,0.5,0.3,0.0,,,,,preferred_382_618,,,,,,
m15_wave2_depth_bucket,A_required_light_pass,,4,2,0.5,41.949999999999996,62.44,-20.490000000000002,3.0473401659346018,1.7306,0.43265,2.9260990539788536,20.490000000000002,0.2049,2.0473401659346018,0,0.0,2,0.5,2,0.5,0.8525,0.551,0.75,0.5,0.5,0.5,0.0,,,,,shallow_236_382,,,,,,
m15_wave2_depth_bucket,B_reject_mfe1_winner,,1,1,1.0,28.56,28.56,0,inf,1.2937,1.2937,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2937,0.3095,1.0,1.0,1.0,0.0,0.0,,,,,deep_618_786,,,,,,
m15_wave2_depth_bucket,B_reject_mfe1_winner,,3,3,1.0,54.08,54.08,0,inf,2.3468,0.7822666666666667,inf,0.0,0.0,inf,0,0.0,1,0.3333333333333333,2,0.6666666666666666,1.1406666666666665,0.3725333333333334,1.0,1.0,1.0,0.0,0.0,,,,,none,,,,,,
m15_wave2_depth_bucket,B_reject_mfe1_winner,,2,2,1.0,42.56,42.56,0,inf,1.9098000000000002,0.9549000000000001,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,1.23765,0.3544,1.0,1.0,1.0,0.0,0.0,,,,,preferred_382_618,,,,,,
m15_wave2_depth_bucket,B_reject_mfe1_winner,,4,4,1.0,41.15,41.15,0,inf,1.8116,0.4529,inf,0.0,0.0,inf,0,0.0,1,0.25,3,0.75,1.2192,0.3721,1.0,1.0,1.0,0.0,0.0,,,,,shallow_236_382,,,,,,
m15_wave2_depth_bucket,B_reject_mfe1_winner,,2,2,1.0,58.24,58.24,0,inf,2.5972,1.2986,inf,0.0,0.0,inf,0,0.0,2,1.0,0,0.0,1.2986,0.53845,1.0,1.0,1.0,0.0,0.0,,,,,too_shallow,,,,,,
target_room_bucket,A_required_light_pass,,16,8,0.5,111.75,200.6,-88.85,2.257737760270118,4.981000000000001,0.31131250000000005,2.258591065292096,51.93,0.5193,2.151935297515887,1,0.0625,6,0.375,9,0.5625,0.7671812499999999,0.5015125000000001,0.625,0.5,0.4375,0.3125,0.0,,,,,,lt_1_0r,,,,,
target_room_bucket,B_reject_mfe1_winner,,12,12,1.0,224.59000000000003,224.59000000000003,0,inf,9.9591,0.8299249999999999,inf,0.0,0.0,inf,0,0.0,6,0.5,6,0.5,1.2220833333333332,0.39176666666666665,1.0,1.0,1.0,0.0,0.0,,,,,,lt_1_0r,,,,,
sma75_granville_quality_bucket,A_required_light_pass,,2,2,1.0,58.599999999999994,58.599999999999994,0,inf,2.6319,1.31595,inf,0.0,0.0,inf,0,0.0,2,1.0,0,0.0,1.34305,0.15560000000000002,1.0,1.0,1.0,1.0,0.0,,,,,,,expansion,,,,
sma75_granville_quality_bucket,A_required_light_pass,,7,2,0.2857142857142857,-22.24,37.74,-59.980000000000004,0.6292097365788596,-0.9296000000000002,-0.13280000000000003,0.6550393350155855,55.199999999999996,0.5519999999999999,-0.4028985507246377,1,0.14285714285714285,1,0.14285714285714285,5,0.7142857142857143,0.46568571428571426,0.5979571428571429,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,,,,,,,none,,,,
sma75_granville_quality_bucket,A_required_light_pass,,7,4,0.5714285714285714,75.39,104.26,-28.869999999999997,3.6113612746795987,3.2786999999999997,0.46838571428571424,3.5963731390560656,28.869999999999997,0.28869999999999996,2.6113612746795987,0,0.0,3,0.42857142857142855,4,0.5714285714285714,0.9041428571428572,0.5039,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.0,,,,,,,reclaim_only,,,,
sma75_granville_quality_bucket,B_reject_mfe1_winner,,5,5,1.0,112.32000000000001,112.32000000000001,0,inf,4.944,0.9888,inf,0.0,0.0,inf,0,0.0,3,0.6,2,0.4,1.20384,0.4389,1.0,1.0,1.0,0.0,0.0,,,,,,,expansion,,,,
sma75_granville_quality_bucket,B_reject_mfe1_winner,,7,7,1.0,112.27,112.27,0,inf,5.0151,0.7164428571428572,inf,0.0,0.0,inf,0,0.0,3,0.42857142857142855,4,0.5714285714285714,1.2351142857142856,0.3580999999999999,1.0,1.0,1.0,0.0,0.0,,,,,,,reclaim_only,,,,
entry_pattern,A_required_light_pass,,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0,,,,,,,,bos_down,,,
entry_pattern,A_required_light_pass,,3,2,0.6666666666666666,32.489999999999995,41.86,-9.37,4.467449306296692,1.513,0.5043333333333333,4.699266503667482,9.37,0.09369999999999999,3.4674493062966913,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.9282333333333334,0.40499999999999997,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,,,,,,,,double_bottom,,,
entry_pattern,A_required_light_pass,,4,2,0.5,25.54,60.86,-35.32,1.7231030577576443,1.0457,0.261425,1.6565992716312947,35.32,0.3532,0.7231030577576444,1,0.25,2,0.5,1,0.25,0.851825,0.674,0.75,0.5,0.5,0.5,0.0,,,,,,,,double_top,,,
entry_pattern,A_required_light_pass,,5,2,0.4,4.199999999999999,36.92,-32.72,1.128361858190709,0.3220000000000001,0.06440000000000003,1.222084281674598,17.25,0.1725,0.24347826086956517,0,0.0,1,0.2,4,0.8,0.65442,0.42767999999999995,0.6,0.4,0.2,0.2,0.0,,,,,,,,head_and_shoulders,,,
entry_pattern,A_required_light_pass,,3,1,0.3333333333333333,17.73,29.17,-11.440000000000001,2.5498251748251746,0.7974000000000001,0.26580000000000004,2.5755779490219326,11.440000000000001,0.1144,1.5498251748251748,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.5026333333333334,0.3839666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,,,,,inverse_head_and_shoulders,,,
entry_pattern,B_reject_mfe1_winner,,1,1,1.0,8.84,8.84,0,inf,0.3938,0.3938,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.2214,0.49,1.0,1.0,1.0,0.0,0.0,,,,,,,,double_bottom,,,
entry_pattern,B_reject_mfe1_winner,,6,6,1.0,103.18,103.18,0,inf,4.6532,0.7755333333333333,inf,0.0,0.0,inf,0,0.0,3,0.5,3,0.5,1.2214,0.3334166666666667,1.0,1.0,1.0,0.0,0.0,,,,,,,,double_top,,,
entry_pattern,B_reject_mfe1_winner,,4,4,1.0,82.72,82.72,0,inf,3.613,0.90325,inf,0.0,0.0,inf,0,0.0,2,0.5,2,0.5,1.2040250000000001,0.36575,1.0,1.0,1.0,0.0,0.0,,,,,,,,head_and_shoulders,,,
entry_pattern,B_reject_mfe1_winner,,1,1,1.0,29.85,29.85,0,inf,1.2991,1.2991,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2991,0.7477,1.0,1.0,1.0,0.0,0.0,,,,,,,,inverse_head_and_shoulders,,,
symbol,A_required_light_pass,,2,0,0.0,-19.880000000000003,0,-19.880000000000003,0.0,-0.8891,-0.44455,0.0,19.880000000000003,0.19880000000000003,-1.0,0,0.0,0,0.0,2,1.0,0.18685000000000002,0.636,0.0,0.0,0.0,0.0,0.0,,,,,,,,,EURJPY,,
symbol,A_required_light_pass,,2,1,0.5,-8.239999999999998,13.09,-21.33,0.6136896390060947,-0.377,-0.1885,0.623,21.33,0.2133,-0.38631036099390526,1,0.5,0,0.0,1,0.5,0.6700499999999999,0.6073500000000001,0.5,0.5,0.5,0.0,0.0,,,,,,,,,EURUSD,,
symbol,A_required_light_pass,,3,1,0.3333333333333333,-5.179999999999999,8.97,-14.149999999999999,0.633922261484099,-0.15589999999999998,-0.05196666666666666,0.7493972030220222,9.37,0.09369999999999999,-0.5528281750266808,0,0.0,0,0.0,3,1.0,0.35780000000000006,0.39753333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,,,,,,,,,GBPJPY,,
symbol,A_required_light_pass,,9,6,0.6666666666666666,145.05,178.54000000000002,-33.49,5.331143624962675,6.4030000000000005,0.7114444444444445,5.426852876106194,20.490000000000002,0.2049,7.0790629575402635,0,0.0,6,0.6666666666666666,3,0.3333333333333333,1.0541888888888888,0.4827666666666667,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.0,,,,,,,,,USDJPY,,
symbol,B_reject_mfe1_winner,,1,1,1.0,1.05,1.05,0,inf,0.0454,0.0454,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.1443,0.5959,1.0,1.0,1.0,0.0,0.0,,,,,,,,,AUDJPY,,
symbol,B_reject_mfe1_winner,,1,1,1.0,31.02,31.02,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.1842,1.0,1.0,1.0,0.0,0.0,,,,,,,,,EURJPY,,
symbol,B_reject_mfe1_winner,,1,1,1.0,29.44,29.44,0,inf,1.2958,1.2958,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.2958,0.3451,1.0,1.0,1.0,0.0,0.0,,,,,,,,,EURUSD,,
symbol,B_reject_mfe1_winner,,1,1,1.0,8.84,8.84,0,inf,0.3938,0.3938,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.2214,0.49,1.0,1.0,1.0,0.0,0.0,,,,,,,,,GBPJPY,,
symbol,B_reject_mfe1_winner,,8,8,1.0,154.24,154.24,0,inf,6.9251000000000005,0.8656375000000001,inf,0.0,0.0,inf,0,0.0,4,0.5,4,0.5,1.2130625,0.38575000000000004,1.0,1.0,1.0,0.0,0.0,,,,,,,,,USDJPY,,
direction,A_required_light_pass,,6,3,0.5,50.22,71.03,-20.81,3.413262854396925,2.3104,0.38506666666666667,3.524751393290351,20.81,0.2081,2.413262854396925,0,0.0,2,0.3333333333333333,4,0.6666666666666666,0.7154333333333334,0.39448333333333335,0.5,0.5,0.5,0.16666666666666666,0.0,,,,,,,,,,LONG,
direction,A_required_light_pass,,10,5,0.5,61.53,129.57,-68.03999999999999,1.904320987654321,2.6706000000000003,0.26706,1.8777649958915368,41.82,0.4182,1.4713055954088954,1,0.1,4,0.4,5,0.5,0.79823,0.5657300000000001,0.7,0.5,0.4,0.4,0.0,,,,,,,,,,SHORT,
direction,B_reject_mfe1_winner,,2,2,1.0,38.69,38.69,0,inf,1.6928999999999998,0.8464499999999999,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,1.26025,0.61885,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,LONG,
direction,B_reject_mfe1_winner,,10,10,1.0,185.90000000000003,185.90000000000003,0,inf,8.266200000000001,0.8266200000000001,inf,0.0,0.0,inf,0,0.0,5,0.5,5,0.5,1.2144499999999998,0.34635000000000005,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,SHORT,
session_label,A_required_light_pass,,5,3,0.6,68.65,88.15,-19.5,4.52051282051282,3.0608,0.61216,4.584914499882876,19.5,0.19499999999999998,3.520512820512821,0,0.0,3,0.6,2,0.4,0.9678799999999999,0.48808000000000007,0.8,0.8,0.6,0.4,0.0,,,,,,,,,,,london
session_label,A_required_light_pass,,4,2,0.5,9.559999999999999,44.879999999999995,-35.32,1.2706681766704415,0.33329999999999993,0.08332499999999998,1.2092804219515259,35.32,0.3532,0.27066817667044163,1,0.25,1,0.25,2,0.5,0.825575,0.7020000000000001,0.75,0.5,0.5,0.25,0.0,,,,,,,,,,,london_newyork_overlap
session_label,A_required_light_pass,,6,2,0.3333333333333333,2.889999999999997,36.92,-34.03,1.084925066118131,0.26070000000000015,0.04345000000000002,1.172511911064055,29.250000000000004,0.29250000000000004,0.09880341880341868,0,0.0,1,0.16666666666666666,5,0.8333333333333334,0.4678333333333334,0.41183333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,,,,,,,,,,,new_york
