run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpM15Wave2AdjacentMode,InpNearMissSeparatorMode,InpNearMissSeparatorCombineMask,InpExitMode,InpMaxHoldBars
q1_best_single,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,best_single,best_single_targetroom,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_best_single.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_best_single.ini,fx_session_reversal_nearmiss_separator_q1_best_single,16385,15,5,0,true,1,1,6,5,9,7,0,1,30
q1_best_two,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,best_two,best_two_mask_40,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_best_two.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_best_two.ini,fx_session_reversal_nearmiss_separator_q1_best_two,16385,15,5,0,true,1,1,6,5,9,9,40,1,30
q1_one_best_single,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_best_single,one_symbol_best_single_targetroom,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_one_best_single.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_one_best_single.ini,fx_session_reversal_nearmiss_separator_q1_one_best_single,16385,15,5,0,true,1,1,6,5,9,7,0,1,30
q1_one_best_two,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,one_best_two,one_symbol_best_two_mask_40,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_one_best_two.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_one_best_two.ini,fx_session_reversal_nearmiss_separator_q1_one_best_two,16385,15,5,0,true,1,1,6,5,9,9,40,1,30
full2025_base,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_base.ini,fx_session_reversal_nearmiss_separator_full2025_base,16385,15,5,0,false,0,0,0,0,0,0,0,1,30
full2025_light,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_light.ini,fx_session_reversal_nearmiss_separator_full2025_light,16385,15,5,0,true,2,3,0,0,0,0,0,1,30
full2025_nearmiss_diag,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,nearmiss_diag,near_miss_broad_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_nearmiss_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_nearmiss_diag.ini,fx_session_reversal_nearmiss_separator_full2025_nearmiss_diag,16385,15,5,0,true,1,1,6,5,9,1,0,1,30
full2025_invalidation,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,invalidation,separator_invalidation_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_invalidation.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_invalidation.ini,fx_session_reversal_nearmiss_separator_full2025_invalidation,16385,15,5,0,true,1,1,6,5,9,2,0,1,30
full2025_nofail,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,nofail,separator_no_immediate_failure,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_nofail.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_nofail.ini,fx_session_reversal_nearmiss_separator_full2025_nofail,16385,15,5,0,true,1,1,6,5,9,3,0,1,30
full2025_retest,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,retest,separator_retest_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_retest.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_retest.ini,fx_session_reversal_nearmiss_separator_full2025_retest,16385,15,5,0,true,1,1,6,5,9,4,0,1,30
full2025_exhaustion,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,exhaustion,separator_corrective_exhaustion,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_exhaustion.ini,fx_session_reversal_nearmiss_separator_full2025_exhaustion,16385,15,5,0,true,1,1,6,5,9,5,0,1,30
full2025_m15completion,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,m15completion,separator_m15_completion_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_m15completion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_m15completion.ini,fx_session_reversal_nearmiss_separator_full2025_m15completion,16385,15,5,0,true,1,1,6,5,9,6,0,1,30
full2025_targetroom,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,targetroom,separator_target_room,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_targetroom.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_targetroom.ini,fx_session_reversal_nearmiss_separator_full2025_targetroom,16385,15,5,0,true,1,1,6,5,9,7,0,1,30
full2025_granville,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,granville,separator_granville_quality,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_granville.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_granville.ini,fx_session_reversal_nearmiss_separator_full2025_granville,16385,15,5,0,true,1,1,6,5,9,8,0,1,30
full2025_best_single,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,best_single,best_single_targetroom,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_best_single.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_best_single.ini,fx_session_reversal_nearmiss_separator_full2025_best_single,16385,15,5,0,true,1,1,6,5,9,7,0,1,30
full2025_best_two,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,best_two,best_two_mask_40,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_best_two.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_best_two.ini,fx_session_reversal_nearmiss_separator_full2025_best_two,16385,15,5,0,true,1,1,6,5,9,9,40,1,30
full2025_one_best_single,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_best_single,one_symbol_best_single_targetroom,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_best_single.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_best_single.ini,fx_session_reversal_nearmiss_separator_full2025_one_best_single,16385,15,5,0,true,1,1,6,5,9,7,0,1,30
full2025_one_best_two,full2025_validation,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.12.31,one_best_two,one_symbol_best_two_mask_40,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_best_two.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_one_best_two.ini,fx_session_reversal_nearmiss_separator_full2025_one_best_two,16385,15,5,0,true,1,1,6,5,9,9,40,1,30
