group,trades,wins,losses,winrate,expectancy_r,profit_factor,total_r,avg_win_r,avg_loss_r
6.2-6.5,3,2,1,66.66666666666666,0.3693736666666667,2.108121,1.1081210000000001,1.0540605,-1.0
6.5-7.0,7,5,2,71.42857142857143,0.27125685714285713,2.2232726120131834,1.898798,0.6902052,-0.776114
7.0+,44,23,21,52.27272727272727,0.18711874999999997,1.4556351949946913,8.233225,1.143608652173913,-0.8604654285714285
