run_id,stage,count
"baseline_2024","symbols_scanned","447546"
"baseline_2024","parent_anchor_states_available","4306"
"baseline_2024","parent_flips_detected","4306"
"baseline_2024","parent_wave1_confirmed","4306"
"baseline_2024","parent_wave2_pending","4300"
"baseline_2024","parent_wave2_started_first_close","0"
"baseline_2024","parent_wave2_started_confirmed_pivot","0"
"baseline_2024","parent_wave2_started_child_trend","3827"
"baseline_2024","child_countertrend_confirmed","4269"
"baseline_2024","child_anchor_created","3828"
"baseline_2024","child_anchor_updated","4219"
"baseline_2024","child_flip_detected","3036"
"baseline_2024","fresh_first_flip_signal","3035"
"baseline_2024","valid_candidate","148"
"baseline_2024","signal_reserved","148"
"baseline_2024","portfolio_selected","148"
"baseline_2024","trades_taken","147"
"baseline_2024","candidate_invalid","2887"
"baseline_2024","position_cap_reject","1"
"baseline_2024","risk_reject","0"
"baseline_2024","order_failure","0"
"baseline_2024","expired","1"
"baseline_2024","parent_invalidated","492"
"baseline_2024","signals_consumed","3036"
