mode,category,invariant,checked_count,violation_count,status,formal_scope,evidence
IDEAL_EVENT_STUDY,CAUSAL,entry_quote_msc >= signal_event_msc + requested_delay_ms,7128,0,PASS,NO,independent scenario-grid comparison
IDEAL_EVENT_STUDY,CAUSAL,entry_quote_msc >= signal_processing_msc + submit_latency_ms,7128,6204,FAIL,NO,submit_latency_ms=0; IDEAL is diagnostic-only
IDEAL_EVENT_STUDY,CAUSAL,entry_quote_msc >= entry_eligible_msc,7128,0,PASS,NO,independent scenario-grid comparison
IDEAL_EVENT_STUDY,CAUSAL,entry_quote_msc > signal_event_msc,7128,0,PASS,NO,same signal tick cannot fill
IDEAL_EVENT_STUDY,CAUSAL,stale Detection boundary fill = 0,2508,0,PASS,NO,detection_quote_age_ms and grid clock checked separately
IDEAL_EVENT_STUDY,CAUSAL,reversal signal equals invalidation time,1518,0,PASS,NO,scenario signal_event compared with event invalidation clock
IDEAL_EVENT_STUDY,CAUSAL,realized RR >= requested RR (1.2),7128,0,PASS,NO,tick-rounded scenario values
IDEAL_EVENT_STUDY,CAUSAL,global order violation = 0,1,0,PASS,NO,order_violations=0;max_pending=319;pending_at_summary=0
IDEAL_EVENT_STUDY,CAUSAL,duplicate event = 0,19,0,PASS,NO,duplicate key is symbol + detector + detection_time_msc
IDEAL_EVENT_STUDY,CAUSAL,market cluster integrity,19,0,PASS,NO,recomputed_market_clusters=15
IDEAL_EVENT_STUDY,RECONCILIATION,CSV and summary reconciliation,8023,0,PASS,NO,mismatches=none
IDEAL_EVENT_STUDY,RECONCILIATION,net R = gross R - commission R exactly once,7128,0,PASS,NO,commission_source=STEP13_TESTER_DEAL_FIELDS_OBSERVED_ZERO_LIVE_UNVALIDATED
IDEAL_EVENT_STUDY,BROKER_CONSTRAINT,broker StopsLevel distance is respected,7128,0,PASS,NO,independent risk-distance comparison; symbol StopsLevel is preserved separately
IDEAL_EVENT_STUDY,BROKER_CONSTRAINT,FreezeLevel diagnostic is clear for valid scenarios,7128,0,PASS,NO,freeze is a modification diagnostic and is not treated as StopsLevel
IDEAL_EVENT_STUDY,DATA_INTEGRITY,run integrity status is VALIDATION_OK,1,1,FAIL,NO,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
IDEAL_EVENT_STUDY,DATA_INTEGRITY,event_pool_exhaustions = 0,1,0,PASS,NO,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
IDEAL_EVENT_STUDY,DATA_INTEGRITY,pending_capacity_hits = 0,1,0,PASS,NO,validation=VALIDATION_INVALID;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;stale_symbols=3;max_frontier_lag_ms=3707;incomplete_frontier=false;fatal_reason=INCOMPLETE_GLOBAL_FRONTIER
