detector,parameter,step15a,step15b,status
STRICT_V0,__UNCHANGED_PARAMETER_COUNT__,47,47,PASS
TAIL_V1_RAW,__UNCHANGED_PARAMETER_COUNT__,47,47,PASS
TAIL_V1_NOISE_ROBUST,__UNCHANGED_PARAMETER_COUNT__,47,47,PASS
TAIL_V1_PERSISTENT,__UNCHANGED_PARAMETER_COUNT__,47,47,PASS
