detector,runtime_seconds,average_memory_mb,max_memory_mb,events_csv_bytes,detector_features_bytes,controls_bytes,matches_bytes,funnel_bytes
STRICT_V0,455.875,27.000,27,5150505,10881,9884,3353,7375
TAIL_V1_RAW,553.859,27.930,28,10812680,44481151,17808066,6963247,26477922
TAIL_V1_NOISE_ROBUST,540.796,27.898,28,2708859,19222193,7288212,3124448,11877946
TAIL_V1_PERSISTENT,539.203,27.898,28,2709313,17477258,6506136,2722776,10687083
