detector,representative_clusters,eligible_control_candidates,matched_events,unmatched_events,match_rate,unique_controls,control_reuse_rate,matched_symbols,support_status
STRICT_V0,15,13,15,0,1.0,13,0.1333333333333333,4,CONTROL_SUPPORT_INSUFFICIENT
TAIL_V1_RAW,29180,6946,28404,776,0.9734064427690199,6946,0.755456977890438,6,PASS
TAIL_V1_NOISE_ROBUST,11409,4073,11279,130,0.9886054868963099,4073,0.6388864261016047,6,PASS
TAIL_V1_PERSISTENT,10245,3978,10128,117,0.9885797950219619,3978,0.6072274881516588,6,PASS
