detector,stage,input,passed,excluded,reconciles
STRICT_V0,statistical_shock,19,19,0,True
STRICT_V0,direction_available,19,19,0,True
STRICT_V0,directional_burst,19,19,0,True
STRICT_V0,activity_elevated,19,19,0,True
STRICT_V0,liquidity_normal,19,19,0,True
STRICT_V0,cost_feasible,19,19,0,True
STRICT_V0,common_strategy_eligible,19,19,0,True
STRICT_V0,detection_continuation_reachable,19,19,0,True
STRICT_V0,post_burst_continuation_reachable,19,19,0,True
STRICT_V0,pullback_continuation_reachable,19,5,14,True
STRICT_V0,failed_shock_reversal_reachable,19,11,8,True
STRICT_V0,strategy_signal,19,19,0,True
TAIL_V1_RAW,statistical_shock,56674,56674,0,True
TAIL_V1_RAW,direction_available,56674,56674,0,True
TAIL_V1_RAW,directional_burst,56674,56012,662,True
TAIL_V1_RAW,activity_elevated,56674,15371,41303,True
TAIL_V1_RAW,liquidity_normal,56674,55065,1609,True
TAIL_V1_RAW,cost_feasible,56674,94,56580,True
TAIL_V1_RAW,common_strategy_eligible,56674,40,56634,True
TAIL_V1_RAW,detection_continuation_reachable,56674,56674,0,True
TAIL_V1_RAW,post_burst_continuation_reachable,56674,56674,0,True
TAIL_V1_RAW,pullback_continuation_reachable,56674,9215,47459,True
TAIL_V1_RAW,failed_shock_reversal_reachable,56674,27878,28796,True
TAIL_V1_RAW,strategy_signal,56674,56674,0,True
TAIL_V1_NOISE_ROBUST,statistical_shock,23825,23825,0,True
TAIL_V1_NOISE_ROBUST,direction_available,23825,23825,0,True
TAIL_V1_NOISE_ROBUST,directional_burst,23825,18002,5823,True
TAIL_V1_NOISE_ROBUST,activity_elevated,23825,3552,20273,True
TAIL_V1_NOISE_ROBUST,liquidity_normal,23825,22833,992,True
TAIL_V1_NOISE_ROBUST,cost_feasible,23825,26,23799,True
TAIL_V1_NOISE_ROBUST,common_strategy_eligible,23825,10,23815,True
TAIL_V1_NOISE_ROBUST,detection_continuation_reachable,23825,23825,0,True
TAIL_V1_NOISE_ROBUST,post_burst_continuation_reachable,23825,23825,0,True
TAIL_V1_NOISE_ROBUST,pullback_continuation_reachable,23825,2296,21529,True
TAIL_V1_NOISE_ROBUST,failed_shock_reversal_reachable,23825,16269,7556,True
TAIL_V1_NOISE_ROBUST,strategy_signal,23825,23825,0,True
TAIL_V1_PERSISTENT,statistical_shock,21799,21799,0,True
TAIL_V1_PERSISTENT,direction_available,21799,21799,0,True
TAIL_V1_PERSISTENT,directional_burst,21799,17518,4281,True
TAIL_V1_PERSISTENT,activity_elevated,21799,3450,18349,True
TAIL_V1_PERSISTENT,liquidity_normal,21799,20866,933,True
TAIL_V1_PERSISTENT,cost_feasible,21799,26,21773,True
TAIL_V1_PERSISTENT,common_strategy_eligible,21799,10,21789,True
TAIL_V1_PERSISTENT,detection_continuation_reachable,21799,21799,0,True
TAIL_V1_PERSISTENT,post_burst_continuation_reachable,21799,21799,0,True
TAIL_V1_PERSISTENT,pullback_continuation_reachable,21799,2348,19451,True
TAIL_V1_PERSISTENT,failed_shock_reversal_reachable,21799,15825,5974,True
TAIL_V1_PERSISTENT,strategy_signal,21799,21799,0,True
