detector,event_id,market_cluster_id,symbol,event_msc,control_id,control_msc,time_difference_ms,delta_abs_return_1s,delta_abs_return_3s,delta_realized_volatility_120s,delta_abs_return_10s,delta_abs_return_30s,delta_abs_return_120s,delta_mfe_120s,delta_mae_120s,delta_spread_change_120s,delta_tick_activity_120s,delta_quote_reversion_ratio
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740972538500_10,6,USDJPY,1740972538500,USDJPY_TAIL_V1_RAW_ctrl_h1_1740972381250_1201,1740972381250,157250,0.0,1.659659e-05,0.00010580666699999997,6.9704039e-05,-1.6562765999999997e-05,-9.6214797e-05,0.012,0.013500000000000005,-0.003,39.0,-22.569414538108
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740972578000_11,7,USDJPY,1740972578000,USDJPY_TAIL_V1_RAW_ctrl_h1_1740972381250_1201,1740972381250,196750,1.6594233e-05,3.320873e-06,6.478287100000001e-05,-9.952178000000001e-06,-0.00012941369499999998,1.0007263999999976e-05,0.011,0.014500000000000006,-0.007,41.0,-22.532159628107998
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740973370750_13,8,USDJPY,1740973370750,USDJPY_TAIL_V1_RAW_ctrl_h1_1740973240250_3239,1740973240250,130500,3.6567253e-05,2.9920139000000005e-05,6.339336199999998e-05,4.6537426e-05,0.00014629206,0.00036241595200000004,0.0775,-0.0215,0.001,-14.0,-9.500268348595
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740973390750_15,9,USDJPY,1740973390750,USDJPY_TAIL_V1_RAW_ctrl_h1_1740973240250_3239,1740973240250,150500,-9.969112e-06,-3.318242999999999e-06,4.3841967000000015e-05,9.975487e-06,-3.9866041e-05,0.000189562401,0.0475,-0.017499999999999998,-0.001,-28.0,-9.500268348595
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740973904750_16,10,USDJPY,1740973904750,USDJPY_TAIL_V1_RAW_ctrl_h1_1740973778750_3930,1740973778750,126000,3.989333e-05,4.3217051e-05,-3.8449861e-05,6.981073899999999e-05,0.00022609416299999998,0.000488815486,-0.0275,0.0645,-0.001,-19.0,-2.0321882400150004
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w1000_1740974162250_17,11,USDJPY,1740974162250,USDJPY_TAIL_V1_RAW_ctrl_h2_1740974042000_3989,1740974042000,120250,6.650824400000001e-05,6.6477409999999995e-06,1.505394200000001e-05,9.972867e-06,2.325949000000001e-05,-0.000109757317,-0.054000000000000006,0.0075,0.001,12.0,1.07692308
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740988171500_21,12,USDJPY,1740988171500,USDJPY_TAIL_V1_RAW_ctrl_h1_1740988013000_4876,1740988013000,158500,1.6615982999999998e-05,-3.316723000000001e-06,1.9358678e-05,-6.639793000000001e-06,-6.9766464e-05,-0.000182732657,-0.046,0.031,-0.003,41.0,0.82352941
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740988405250_22,13,USDJPY,1740988405250,USDJPY_TAIL_V1_RAW_ctrl_h1_1740988013000_4876,1740988013000,392250,4.3202403e-05,6.979202299999999e-05,5.480129999999977e-06,0.000126280468,0.000136252815,-5.6469588999999995e-05,0.0010000000000000009,-0.0,-0.005,59.0,0.0
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w500_1740988677750_23,14,USDJPY,1740988677750,USDJPY_TAIL_V1_RAW_ctrl_h1_1740988013000_4876,1740988013000,664750,6.9783036e-05,4.6527259999999995e-05,2.3361989999999983e-05,6.646598199999999e-05,1.330857800000001e-05,0.00012968823500000002,-0.046,0.062,-0.007,34.0,4.20689655
TAIL_V1_RAW,ts15b_tail_v1_raw_realizable_202503_20260827_USDJPY_TAIL_V1_RAW_stat_w250_1740997685750_26,16,USDJPY,1740997685750,USDJPY_TAIL_V1_RAW_ctrl_h0_1740997565500_5200,1740997565500,120250,3.331584e-06,-3.9990702e-05,7.595444699999999e-05,4.6627492999999994e-05,-8.9973668e-05,-0.00012326822,-0.012999999999999998,0.0435,-0.001,-35.0,0.0
