detector,strategy,before_overlap_rows,after_market_cluster_dedup,cooldown_status,potential_trades
STRICT_V0,DETECTION_CONTINUATION,19,15,NOT_APPLIED_COUNTERFACTUAL,15
STRICT_V0,POST_BURST_CONTINUATION,19,15,NOT_APPLIED_COUNTERFACTUAL,15
STRICT_V0,PULLBACK_CONTINUATION,5,5,NOT_APPLIED_COUNTERFACTUAL,5
STRICT_V0,FAILED_SHOCK_REVERSAL,11,8,NOT_APPLIED_COUNTERFACTUAL,8
TAIL_V1_RAW,DETECTION_CONTINUATION,56674,29180,NOT_APPLIED_COUNTERFACTUAL,29180
TAIL_V1_RAW,POST_BURST_CONTINUATION,56674,29180,NOT_APPLIED_COUNTERFACTUAL,29180
TAIL_V1_RAW,PULLBACK_CONTINUATION,9215,4551,NOT_APPLIED_COUNTERFACTUAL,4551
TAIL_V1_RAW,FAILED_SHOCK_REVERSAL,27878,13477,NOT_APPLIED_COUNTERFACTUAL,13477
TAIL_V1_NOISE_ROBUST,DETECTION_CONTINUATION,23825,11409,NOT_APPLIED_COUNTERFACTUAL,11409
TAIL_V1_NOISE_ROBUST,POST_BURST_CONTINUATION,23825,11409,NOT_APPLIED_COUNTERFACTUAL,11409
TAIL_V1_NOISE_ROBUST,PULLBACK_CONTINUATION,2296,985,NOT_APPLIED_COUNTERFACTUAL,985
TAIL_V1_NOISE_ROBUST,FAILED_SHOCK_REVERSAL,16269,7428,NOT_APPLIED_COUNTERFACTUAL,7428
TAIL_V1_PERSISTENT,DETECTION_CONTINUATION,21799,10245,NOT_APPLIED_COUNTERFACTUAL,10245
TAIL_V1_PERSISTENT,POST_BURST_CONTINUATION,21799,10245,NOT_APPLIED_COUNTERFACTUAL,10245
TAIL_V1_PERSISTENT,PULLBACK_CONTINUATION,2348,1033,NOT_APPLIED_COUNTERFACTUAL,1033
TAIL_V1_PERSISTENT,FAILED_SHOCK_REVERSAL,15825,7282,NOT_APPLIED_COUNTERFACTUAL,7282
